,Spot,Shannon H,Richness,Evenness
0,1A,4.137773736426759,111,0.878595859789528
1,1B,4.126546538417248,113,0.8729020542979797
2,1C,4.005563130631684,113,0.847310033413491
3,1D,4.125817185228185,112,0.8743918983063708
4,1E,3.9224873242635447,109,0.8361109477985958
5,2A,3.3627385064784594,41,0.9055266589892239
6,2B,3.67194456809731,53,0.9248550605469491
7,2C,3.216539865254736,48,0.8308893948393495
8,2D,3.0892292276016664,39,0.8432311302486937
9,2E,3.498265066167929,44,0.9244423257260822
10,3A,3.56985980856449,48,0.9221582135636173
11,3B,3.4419058769792876,44,0.9095489946193414
12,3C,3.5140304660019672,45,0.923126354239509
13,3D,3.534306294581806,45,0.9284527598860106
14,3E,3.3400842356501013,43,0.8880368321041042
15,4A,3.303811017948183,47,0.8580998340117616
16,4B,3.556610694699236,50,0.9091487166011663
17,4C,3.598107564898567,50,0.9197562386279416
18,4D,3.578336115567192,49,0.9194504991158964
19,4E,3.294821863971533,36,0.9194375474379504
20,5A,3.3069827152892812,46,0.863748356877147
21,5B,3.300280640222866,37,0.9139727681613558
22,5C,3.1889653022075546,34,0.904321971604043
23,5D,3.5854524520144366,45,0.9418887179122544
24,5E,3.6052934948199806,49,0.9263771753722168
25,6A,3.39638228147434,43,0.9030049391158358
26,6B,3.780713559648256,60,0.9233989719703442
27,6C,3.397846159832134,49,0.8730737545825784
28,6D,3.5695472200054,51,0.9078600002747563
29,6E,3.4666063999303285,53,0.8731364029172458
30,7A,3.4035085229127406,37,0.9425604805345462
31,7B,3.4921841157760594,41,0.9403840973188049
32,7C,3.413401573894909,42,0.9132432564926942
33,7D,3.3604800155271053,36,0.9377598034893889
34,7E,3.3523144653238024,40,0.9087622696874013
35,8A,3.533858872178444,49,0.9080221082905696
36,8B,3.308739964785882,44,0.8743589208979243
37,8C,3.259311437668003,35,0.916734840386515
38,8D,3.3556917885416615,37,0.9293182148481286
39,8E,3.3740902396352643,39,0.920986342129607
40,9A,3.4337140296110595,38,0.9439540065407932
41,9B,3.441718945163677,41,0.9267947096064052
42,9C,3.4255619082422766,39,0.935035967488413
43,9D,3.416225956462202,42,0.9139989098424386
44,9E,3.5281806304637318,46,0.921522875895118
45,10A,3.3527399768103745,42,0.8970134653983185
46,10B,3.0089033477749116,30,0.8846600212024358
47,10C,3.151907262283376,32,0.9094481953276271
48,10D,3.2747872393142323,43,0.8706761508514853
49,10E,3.709633170602041,53,0.9343477133103606
