,francolin; crested,starling; superb,morning-thrush; spotted,northern white crowned shrike,dove; ring-necked,chanting-goshawk; eastern,bushshrike; rosy-patched,bulbul; common,boubou; slate-colored,northern pied babblers,brownbul; northern,cordonbleu; blue-capped,bushshrike; gray-headed,falcon; pygmy,green wood hoopoe,grey backed camaroptera,go-away-bird; white-bellied,lapwing; black-headed,sandgrouse; black-faced,puffback; black-backed,prinia; tawny-flanked,drongo; fork-tailed,starling; hildebrandt's,crombec; northern,bustard; buff-crested,starling; fischer's,vulture; white-backed,roller; lilac-breasted,shrike; white-rumped,scimitarbill; abyssinian,canary; white-bellied,sunbird; beautiful,wren-warbler; gray,african hoopoe,mousebird; blue-naped,parisoma; banded,woodpecker; bearded,northern pied babbler,buffalo-weaver; white-headed,scrub-robin; red-backed,cisticola; tiny,mousebird; white-headed,oxpecker; red-billed,starling; wattled,swift; white-rumped,oriole; african black-headed,flycatcher; african gray,francolin; yellow-necked,lesser masked weaver,sunbird; eastern violet-backed,sparrow-weaver; white-browed,bushshrike; sulphur-breasted,sparrow; parrot-billed,batis; chinspot,fiscal; taita,waxbill; black-faced,emerald spotted wood dove,spotted morning thrush,yellow necked spurfowl,woodpecker; nubian,lapwing; crowned,spotted thick knee,weaver; black-necked,buffalo-weaver; red-billed,woodpecker; cardinal,african mourning dove,pied-babbler; northern,chatterer; rufous,spotted palm thrush,social-weaver; gray-headed,verraux's eagle owl,white browed sparrow weaver,spotted thicknee,viteline masked weaver,eagle-owl; verreaux's,grey wren warbler,bee-eater; little,fiscal; long-tailed,grey headed sparrow,wood-dove; emerald-spotted,barbet; red-and-yellow,goshawk; gabar,cisticola; zitting,white browed scrub robin,siffling cisticola,black necked weaver,dove; laughing,ostrich; common,white-eye; abyssinian,bustard; white-bellied,pytilia; green-winged,brubru,hornbill; von der decken's,vitelline masked weaver,masked-weaver; lesser,tchagra; brown-crowned,gray headed social weaver,vitteline masked weaver,barbet; black-throated,tchagra; black-crowned,thrush; african bare-eyed,tit; red-throated,grenadier; purple,cisticola; rattling,sparrow-lark; fischer's,sandgrouse; chestnut-bellied,longclaw; pangani,secretary bird,eagle; tawny,courser; three-banded,eremomela; yellow-bellied,apalis; yellow-breasted,banded courser,guineafowl; helmeted,two banded courser,barbet; d'arnaud's,mourning dove,pied babblers,sparrow; yellow-spotted bush,ostrich,black headed weaver,hornbill; northern red-billed,flycatcher; southern black,lark; pink-breasted,oxpecker; yellow-billed,yellow spotted bush sparrow,weaver; speckle-fronted,grosbeak canary;northern,banded couser,yellow spotted petronia,bunting; somali,crombec; red-faced,southern grosbeak canary,cordonbleu; red-cheeked,gray backed camoroptera,tinkerbird; red-fronted,hornbill; african gray,owlet; pearl-spotted,white headed bufallo weaver,prinia; red-fronted,barbet; red-fronted,mousebird; speckled,sparrow; chestnut,red billed buffalo weaver,barbet; spot-flanked,honeyguide; lesser,purple grenadier,sunbird; scarlet-chested,harrier-hawk; african,african pied wagtail,openbill; african,southern crossbeak canary,hawk-eagle; african,nan,red backed scrub robin,pale chanting goshawk,bittern; little,eagle; martial,cisticola; desert,african paradise flycatcher,eastern pale chanting goshawk,parrot; red-bellied,hamerkop,swallow; lesser striped,swallow; red-rumped,bustard; kori,eastern violet backed sunbird
0,11.0,10.0,2.0,1.0,15.0,1.0,1.0,1.0,6.0,21.0,5.0,2.0,1.0,3.0,10.0,2.0,10.0,1.0,13.0,2.0,2.0,5.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,5.0,1.0,1.0,9.0,7.0,2.0,2.0,13.0,3.0,24.0,4.0,1.0,1.0,5.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,0.0,37.0,22.0,0.0,8.0,4.0,6.0,3.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,6.0,0.0,6.0,17.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,12.0,3.0,6.0,16.0,0.0,2.0,1.0,4.0,2.0,56.0,4.0,5.0,1.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,8.0,5.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,1.0,6.0,1.0,25.0,11.0,2.0,27.0,2.0,7.0,8.0,3.0,0.0,4.0,5.0,2.0,0.0,7.0,2.0,2.0,21.0,5.0,3.0,4.0,17.0,1.0,65.0,3.0,2.0,22.0,23.0,6.0,3.0,2.0,4.0,4.0,6.0,1.0,39.0,11.0,1.0,14.0,7.0,3.0,6.0,3.0,1.0,1.0,11.0,3.0,8.0,15.0,1.0,9.0,17.0,5.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,7.0,17.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,11.0,4.0,5.0,6.0,2.0,3.0,1.0,0.0,0.0,63.0,6.0,12.0,5.0,17.0,1.0,23.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,10.0,3.0,8.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,5.0,4.0,9.0,4.0,17.0,9.0,19.0,1.0,1.0,10.0,3.0,4.0,1.0,1.0,6.0,1.0,11.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,28.0,0.0,0.0,19.0,14.0,12.0,7.0,1.0,5.0,3.0,7.0,0.0,44.0,6.0,1.0,22.0,5.0,11.0,83.0,0.0,1.0,1.0,13.0,0.0,4.0,7.0,1.0,15.0,2.0,10.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,10.0,6.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,15.0,10.0,0.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,0.0,2.0,16.0,2.0,1.0,0.0,0.0,0.0,51.0,4.0,12.0,2.0,8.0,3.0,73.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,6.0,7.0,2.0,2.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,3.0,2.0,6.0,2.0,7.0,2.0,21.0,4.0,6.0,10.0,5.0,0.0,9.0,4.0,3.0,0.0,10.0,0.0,13.0,1.0,2.0,1.0,2.0,3.0,35.0,3.0,0.0,2.0,29.0,12.0,11.0,4.0,1.0,4.0,2.0,5.0,1.0,10.0,11.0,3.0,21.0,2.0,23.0,32.0,4.0,2.0,2.0,15.0,8.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,30.0,0.0,1.0,2.0,4.0,4.0,5.0,6.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,15.0,7.0,0.0,7.0,23.0,2.0,0.0,0.0,0.0,0.0,44.0,3.0,16.0,1.0,13.0,1.0,59.0,8.0,0.0,3.0,4.0,3.0,3.0,2.0,0.0,4.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
4,6.0,10.0,2.0,10.0,3.0,8.0,16.0,2.0,1.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,10.0,9.0,7.0,8.0,3.0,1.0,5.0,7.0,2.0,137.0,0.0,0.0,15.0,19.0,14.0,3.0,1.0,3.0,8.0,9.0,5.0,29.0,9.0,2.0,2.0,6.0,3.0,15.0,0.0,1.0,3.0,2.0,1.0,9.0,10.0,0.0,4.0,3.0,4.0,7.0,0.0,0.0,1.0,2.0,30.0,0.0,11.0,2.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,10.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,6.0,2.0,2.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,53.0,6.0,9.0,0.0,4.0,1.0,5.0,32.0,0.0,3.0,0.0,0.0,8.0,1.0,1.0,17.0,2.0,13.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,16.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
5,9.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,11.0,1.0,0.0,2.0,0.0,1.0,4.0,14.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9.0,4.0,1.0,1.0,12.0,1.0,2.0,0.0,8.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,10.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,0.0,7.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,21.0,4.0,0.0,7.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0,3.0,5.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,6.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,63.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,17.0,3.0,0.0,6.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.0,11.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,1.0,7.0,11.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
