Site,max(maxH),mean(maxH),sd(maxH),cv(maxH),median(maxH),iqr(maxH),mean(sdH),sd(sdH),mean(cvH),sd(cvH),cover_ground_maxH,cover_grass_maxH,cover_shrub_maxH,cover_tree_maxH,cover_woody_maxH,mean(sdH)_grass,sd(sdH)_grass,mean(cvH)_grass,sd(cvH)_grass,mean(sdH)_shrub,sd(sdH)_shrub,mean(cvH)_shrub,sd(cvH)_shrub,mean(sdH)_tree,sd(sdH)_tree,mean(cvH)_tree,sd(cvH)_tree,mean(sdH)_woody,sd(sdH)_woody,mean(cvH)_woody,sd(cvH)_woody,mean(coverG),sd(coverG),cv(coverG),median(coverG),iqr(coverG),max(coverG),mean(nlayers),sd(nlayers),cv(nlayers),median(nlayers),iqr(nlayers),max(nlayers),propMultiLayer,mean(gapsize),sd(gapsize),cv(gapsize),median(gapsize),iqr(gapsize),max(gapsize),mean(maxpeakh),sd(maxpeakh),cv(maxpeakh),median(maxpeakh),iqr(maxpeakh),max(maxpeakh),mean(ptoh),sd(ptoh),cv(ptoh),median(ptoh),iqr(ptoh),max(ptoh),mean(cscore),sd(cscore),cv(cscore),median(cscore),iqr(cscore),max(cscore),mean(FHD),sd(FHD),cv(FHD),median(FHD),iqr(FHD),max(FHD),mean(VDR),sd(VDR),cv(VDR),median(VDR),iqr(VDR),max(VDR),mean(VDRpeak),sd(VDRpeak),cv(VDRpeak),median(VDRpeak),iqr(VDRpeak),max(VDRpeak),mean(meanpeakh),sd(meanpeakh),cv(meanpeakh),median(meanpeakh),iqr(meanpeakh),max(meanpeakh),mean(stdpeakh),sd(stdpeakh),cv(stdpeakh),median(stdpeakh),iqr(stdpeakh),max(stdpeakh),mean(cvpeakh),sd(cvpeakh),cv(cvpeakh),median(cvpeakh),iqr(cvpeakh),max(cvpeakh),mean(herbh),sd(herbh),cv(herbh),median(herbh),iqr(herbh),max(herbh),25thPerc_plot,50thPerc_plot,75thPerc_plot,98thPerc_plot,100thPerc_plot,meanH_plot,stdH_plot,Cover0p0m_plot,Cover0p05m_plot,Cover0p5m_plot,Cover1p0m_plot,Cover3p0m_plot,nlayers_plot,gapsize_plot,maxpeakh_plot,ptoh_plot,cscore_plot,FHD_plot,VDR_plot,VDRpeak_plot,meanpeakh_plot,stdpeakh_plot,cvpeakh_plot,herbh_plot,Treatment,Soil
1E,8.167778606414794,0.964049484154115,1.8963580441752963,1.967075420240711,0.0689944364130497,0.5164866814514011,0.2692266676053068,0.5873683074455545,0.3544004136438206,0.32711824035818715,0.3995819543633513,0.3495035708064797,0.10834349416477966,0.1425709806653893,0.22783487197352378,0.02032680602787218,0.026701944099670544,0.19928123291486927,0.1874149835100811,0.46380338973254925,0.2631371420366366,0.7093124961866886,0.3745702098070676,1.4860829004440992,0.7077891641982474,0.4649579222461136,0.3016385505895952,1.1285515447590067,0.7428033366397864,0.5487399056044139,0.35380657523517184,0.20513460548173906,0.28932195986874243,1.4104005474322452,0.041166501906510375,0.3333333333333333,1.0,0.4183069151715729,0.6697140981142149,1.6010113001347939,0.0,1.0,4,0.08717993380944086,0.3731710503396621,1.2845831878033978,3.4423441653208737,0.0,0.0,7.45,0.8036883818150149,1.7990059308004114,2.2384371499033175,0.0,0.05,8.0,0.2247008734640407,0.3966648358644019,1.7653017086641674,0.0,0.33309690969383887,4.160328933782821,0.0853074377286187,0.0706433593055374,0.8281031664585814,0.0625,0.0625,0.46875,0.46625162407531107,0.5589828111642948,1.1988865717580972,0.2337916587064593,0.6779689907499326,2.482815368068282,0.8460918630665875,0.2860618043489812,0.33809780809399903,1.0,0.15863941609859467,1.0,0.03912011690142678,0.12861989411725408,3.2878197793054933,0.0,0.0,0.7272727272727273,0.6080753207919642,1.3718122317321524,2.2559906393594273,0.0,0.05,7.5,0.19163657959230174,0.6565836900122504,3.426191864878317,0.0,0.0,3.725,0.11824595882766473,0.4340898581563841,3.671075633028947,0.0,0.0,10.0,0.4211426815107572,0.9123887032401349,2.1664598324898825,0.0,0.22549236927602503,5.790353306361631,0.1351664960384369,1.2984286546707153,4.067175388336182,6.988966083526612,8.282605171203613,2.1676497,2.2151487,0.44548363751707315,0.23017370554820768,0.12876860284520772,0.11209531292155606,0.0721317043766987,4,2.95,7.0,1.0383951944988867,0.59375,1.2868912429346238,0.99996775,0.4642857142857143,3.6375,2.516290672795971,1.4455802103173556,0.6276536075595822,Inside,Black
1D,8.71094985961914,0.489719602183469,1.0174225423619283,2.0775614000861666,0.17638196647167206,0.16281209749480086,0.1364928880533621,0.3292008866405544,0.40320622123251404,0.23670683125712585,0.03369905956112853,0.7889237199582028,0.14019505398815743,0.03718216649251132,0.11468129571577848,0.03670091431963265,0.024390769189204357,0.3402710302410183,0.14793465577184267,0.3693145659121667,0.2082023442827666,0.716604651689942,0.3215527506878388,1.4997133291577287,0.6690702483129026,0.5568862150182103,0.35204859225652957,0.8117174787125808,0.6354660186670715,0.6559125689173289,0.3600008785011629,0.41004501613426925,0.25076455422496946,0.6115537181480011,0.3939393939393939,0.38721554009962456,1.0,0.7639324277255312,0.49103960079359893,0.6427788413899111,1.0,1.0,3,0.028648554510623477,0.11643591083246255,0.7282743964106464,6.254723231036057,0.0,0.0,7.5,0.3238984674329502,0.9268137238138463,2.8614328778993214,0.05,0.05,8.0,0.4266328948327761,0.5855160092350709,1.372411776791311,0.26165936802613504,0.44470320274288244,5.652600345462189,0.07933592389411355,0.04038755997356156,0.5090702671776434,0.0625,0.03125,0.40625,0.6545641634956471,0.32496468569328585,0.4964596350002392,0.6467238528694028,0.18208095962339121,2.3057599702741705,0.7947945828805507,0.19003994127575943,0.2391057329391995,0.8193655610084534,0.25071579217910767,1.0,0.01289038554908461,0.07596911523102523,5.893471141087789,0.0,0.0,0.5714285714285714,0.26452673284569833,0.6476254555302261,2.4482419926457637,0.05,0.05,8.0,0.0589179973056722,0.36834708031020763,6.2518601642073435,0.0,0.0,3.75,0.03767883514473335,0.24703784174950327,6.556408678786705,0.0,0.0,9.0,0.4720930354147768,0.6071477191504911,1.2860764163086127,0.2649878405924703,0.6870553451536252,5.491383550905641,0.07710936106741428,0.12325431779026985,0.32968921959400177,4.261532163619995,8.98176383972168,0.5159412,1.0376998,0.6632210267374786,0.4326033979354971,0.07852121985424264,0.04316705749821778,0.014229716991976298,3,5.95,7.0,1.7001895669129683,0.625,1.146218346630667,0.99546224,0.14285714285714285,4.3500000000000005,3.0678439769106034,1.417933908223247,0.9402953161734781,Inside,Black
1A,7.289660196304321,1.1667647289923773,1.5373164979676266,1.3175891075274955,0.2930310428142548,1.4642853812376662,0.3547818940759848,0.50782981988724,0.5048083370873294,0.3112655482217626,0.042997649926016186,0.5271128905910001,0.2662546783880233,0.1636347810949604,0.33936809121768646,0.040498788481991385,0.02858237590612468,0.3581884392180164,0.17008040020594262,0.4408546107333737,0.2600712596339461,0.7316968468637779,0.36861253393145765,1.3203480126375848,0.4095191363251115,0.6079350126673311,0.29784988261961437,0.9221054804178156,0.5115716661234456,0.6673377161633547,0.3519055785535043,0.46157260098462866,0.2737128640440738,0.5930006752137981,0.4716981132075472,0.438829937810141,1.0,0.8994690573592131,0.5965700232210477,0.6632468547306577,1.0,0.0,3,0.12350944381582384,0.4051484028200888,1.129637682052275,2.7882071709755816,0.0,0.0,6.45,0.8388589085211943,1.4162263577473542,1.6882771862600687,0.05,0.95,7.5,0.453853352111933,0.4984473925333904,1.0982564967603439,0.2915911526505307,0.7440332832493372,5.651080026323313,0.11179715379928627,0.07489372501574615,0.6699072603422958,0.0625,0.0625,0.53125,0.8511916717771532,0.5100543188060066,0.5992238125886431,0.6853142072764582,0.6159294272966438,2.5404989392412434,0.7646703825521038,0.24336861979072416,0.31826604684030807,0.8316333889961243,0.33085620403289795,1.0,0.05477502083882194,0.14749211282385494,2.692689305547822,0.0,0.0,0.7,0.6310267792381118,0.9983795835229743,1.5821508949721539,0.05,0.95,6.0,0.20563317638532577,0.5738217923000976,2.7905117373902812,0.0,0.0,3.225,0.16284492319244032,0.4597157903519519,2.8230280768942824,0.0,0.0,5.666666666666667,0.7255319247076967,0.8816737461078402,1.2152101321565556,0.4566804315084001,0.9439680372631886,5.782163094537916,0.11219832859933376,0.5811755955219269,2.340373456478119,5.302725152969357,7.335751056671143,1.3167168,1.5276196,0.650679841823991,0.4808629295895195,0.21628860632886823,0.1607510580565003,0.07189206125769076,2,2.95,3.0,0.5564700782115469,0.53125,1.7474213915610461,0.9904543,0.4916666666666667,1.525,1.475,1.0338983050847457,0.9987018122094379,Inside,Black
1B,6.055875720977784,0.8272480546179019,0.9850604180516517,1.1907678870355782,0.3231825771927833,1.077976040380696,0.2417330443148225,0.3101829351351008,0.4837638631284305,0.3195688815772935,0.03795264623955432,0.49321030640668523,0.4128655988857939,0.055971448467966575,0.3331302228412256,0.03157019821378036,0.028605293569878842,0.30487091563081903,0.18912252704274005,0.39882121785443125,0.19706125918709763,0.6876215376314426,0.3282428751092172,1.0988233806000527,0.2825967650359891,0.5564084826520371,0.22710228238648988,0.579304336819643,0.31575225747478614,0.6312770870849383,0.31478565661841507,0.4031866606048235,0.29508611264876194,0.7318846119712913,0.34,0.5135451901023809,1.0,0.6767931754874652,0.537174227617945,0.7937051481511191,1.0,1.0,3,0.034557799442896935,0.0909383704735376,0.5011291814574443,5.510646153520743,0.0,0.0,5.45,0.4411777506963788,0.8175139043007306,1.853026139714259,0.05,0.5,5.5,0.30089546382502286,0.3684096483748445,1.224377541926264,0.1793030514565398,0.5012865107563914,6.99296075883297,0.10300966225626741,0.05490264607866231,0.5329854003605557,0.09375,0.0625,0.46875,0.779008208780185,0.4603001851071899,0.5908797621374926,0.674895273743828,0.633483053506738,2.3969510629737805,0.8053593476845112,0.23967795095319608,0.29760373632254244,0.9048372209072113,0.28977735340595245,1.0,0.014891410624349344,0.07971296501400268,5.352949228574886,0.0,0.0,0.4954545454545455,0.39560628481894156,0.6902251840557364,1.7447275499468722,0.05,0.5,5.0,0.04553929455480906,0.25098815692193216,5.5114634377977465,0.0,0.0,2.725,0.04822971153454514,0.2719292134956763,5.638209411659108,0.0,0.0,4.333333333333333,0.6573260831745222,0.9196087682339862,1.3990145709611632,0.17018177588200023,1.0659748764187211,5.615984755179986,0.10816429182887077,0.5898925065994263,1.213222622871399,3.5446304798126196,6.147325038909912,0.8756378,0.96534854,0.6357104624761296,0.43974385537801974,0.21491759688516196,0.12208394844302198,0.017801058420311888,1,0.0,0.05,0.014173957380193867,0.46875,1.4906914441859742,0.99249995,0.0,0.05,0.0,0.0,1.147392183579061,Inside,Black
1C,6.817862129211425,0.3374096130326214,0.8872967283634549,2.6297316202359338,0.08523107208311556,0.10322705312942465,0.0865885829078222,0.25011485860329613,0.28363684262793937,0.26110912090855337,0.21406195614340412,0.6588061260006961,0.09554472676644622,0.031587191089453535,0.07709711103376261,0.02063773382442571,0.023852212536430734,0.21424697970182488,0.1730875875859816,0.3536557649382694,0.20520025708258469,0.7057608243554696,0.331145229979747,1.2410845236632122,0.3887242861554096,0.45404598939594165,0.267173331361192,0.795746352834707,0.4790154513796082,0.6119162916631968,0.3672651028543284,0.19968955797104795,0.25173039666613506,1.2606087129635104,0.09523809523809523,0.26237643998513593,1.0,0.3304037591367908,0.5135186832943645,1.55421561981007,0.0,1.0,2,0.021232161503654718,0.07926818656456666,0.5598758273034259,7.063058353774598,0.0,0.0,6.45,0.20441176470588235,0.7906380027569722,3.8678693660053316,0.0,0.05,6.5,0.1593913746766906,0.3521621530814917,2.2094178797053305,0.0,0.20796356584942777,6.862781018561933,0.07506580664810303,0.04255321847782256,0.5668788544071139,0.0625,0.03125,0.4375,0.42548811109582196,0.3706386208433152,0.8710904280938784,0.3575149762276164,0.4484179921661894,2.53111995469612,0.89153367479089,0.19318661275928645,0.21669020276166073,1.0,0.15988576908906305,1.0,0.009242557945786278,0.06352849752791002,6.873475708840207,0.0,0.0,0.49615384615384617,0.16477767142359903,0.5995309039711267,3.6384232086269392,0.0,0.05,6.0,0.03963409328228333,0.27993791365171294,7.063058353774598,0.0,0.0,3.225,0.02915721087085485,0.21114517280898898,7.241610788638457,0.0,0.0,4.333333333333333,0.21028501657477613,0.5289104261537276,2.515207382669845,0.0,0.10282046173670059,7.153553657713601,0.07434611022472382,0.1527755931019783,0.9655710309743881,5.479892005920409,6.992231845855713,0.9510473,1.507137,0.49453164478790723,0.2154762943921591,0.06866975089263758,0.04487269699944129,0.025144992467576833,2,2.95,3.0,0.613136089408508,0.5,0.9231004871702373,0.9994833,0.4916666666666667,1.525,1.475,1.0338983050847457,0.6800938890105153,Inside,Black
2C,2.663704538345337,0.05910916084511556,0.14361962328640956,2.429735445961376,0.0,0.07804231590280933,0.011492913305188826,0.04448178564893239,0.19866846898446985,0.20170219693575153,0.5874978234372279,0.4001393000174125,0.012362876545359568,0.0,0.005310813163851645,0.018814828208172433,0.023258809308344675,0.18359258636048834,0.17400561121009891,0.3206665618213969,0.19732302338691457,0.6866174587015056,0.3633596479553881,,,,,0.47678330565085175,0.18924867800508421,0.6741029276538001,0.3917741347510171,0.05845520843829332,0.1275516168091732,2.1820402358811135,0.0,0.05128205128205128,1.0,0.07591850948981368,0.26486768282797124,3.48884197816752,0.0,0.0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.009498519937314993,0.07189429107291344,7.568999333304158,0.0,0.0,2.0,0.029603061326451723,0.16039649935316738,5.418240282123984,0.0,0.0,6.663743083183708,0.04788166028208254,0.03300660663693547,0.6893371374861587,0.0625,0.03125,0.21875,0.18087475064646258,0.23844507486091404,1.3182883404604013,0.09267236446107743,0.2787693717685874,1.7161773224254762,0.7636683396949661,0.4146915363161104,0.54302570207605,1.0,0.18246795733769738,1.0,0.0,0.0,,0.0,0.0,0.0,0.009498519937314993,0.07189429107291344,7.568999333304158,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.029320660685724257,0.16047303612260116,5.473036158449623,0.0,0.0,3.322836562270278,0.0646834596991539,0.08885261416435242,0.1414806842803955,1.3604377746582026,2.769723892211914,0.16194348,0.25743276,0.23520813530631282,0.057735360252948335,0.002484588153132856,0.0013506950268768576,0.0,1,0.0,0.05,0.282493051504638,0.25,0.32766428982751444,1.0,0.0,0.05,0.0,0.0,0.4735031238537852,Inside,Black
2A,5.639729137420654,0.3109897250675759,0.645368103642107,2.0752071583775735,0.0700077012181282,0.22915026158094406,0.08439245126548468,0.19545292682407475,0.37592938383318936,0.3165580339096374,0.412466266213981,0.41699312266039873,0.15730826151301472,0.013232349612605554,0.10185427004439801,0.030531540202353727,0.03379757432897417,0.2558924851660156,0.20569475569783233,0.36937835846249867,0.21342733460421376,0.6875330826721069,0.34900347514786445,1.0243639235237711,0.38340332353912215,0.45427715234527993,0.2314100013581858,0.5586534508611434,0.29931836471874806,0.6277452279115686,0.36291258784715485,0.18134429821981993,0.2697891140604315,1.4877176548082118,0.037037037037037035,0.2619047619047619,1.0,0.28675894489422826,0.47313258949930115,1.649931407279439,0.0,1.0,2,0.00966309741446853,0.02692609036301907,0.2841664419832704,10.55357232157073,0.0,0.0,4.95,0.15470967180290762,0.5147041506891236,3.3269035134715486,0.0,0.05,5.0,0.13885526377284096,0.3416604557148059,2.46055098259539,0.0,0.06893263880251656,6.252801202506111,0.06730978497431879,0.03961728337592509,0.5885813391179392,0.0625,0.0625,0.375,0.35306193722690393,0.39875123039409394,1.1294087194050222,0.20619205063323187,0.5889221175228823,2.230369808054501,0.9107136822675246,0.1980408604101344,0.2174567751272231,1.0,0.06202082832654321,1.0,0.004369205837931354,0.04454806758576251,10.195918718000765,0.0,0.0,0.495,0.1412466266213981,0.4481846136630867,3.173064195468645,0.0,0.05,5.0,0.013463045181509535,0.1420832209916352,10.55357232157073,0.0,0.0,2.475,0.012096961108205377,0.1270696273541041,10.504260220189737,0.0,0.0,3.0,0.2300728036918187,0.5664501271383047,2.462047308716512,0.0,0.08574295540092376,5.70044204905641,0.0897553488612175,0.21900925040245056,1.0443395376205444,3.357699394226074,5.899012088775635,0.6931449,0.9067156,0.4188676632928402,0.19374202953619493,0.0655881472761652,0.04393145804695538,0.005547815332347396,1,0.0,0.05,0.018379598400848348,0.4375,0.8272957818428667,1.0,0.0,0.05,0.0,0.0,0.6508165916712793,Inside,Black
2D,5.489122714996338,0.2240208788002944,0.5353665953971816,2.3898066924129844,0.1315582200884819,0.1467100434936583,0.056291263209681974,0.16569821924582626,0.32960797443932793,0.2183242251626165,0.21388792203271842,0.7291159067177166,0.043073442394709366,0.013922728854855551,0.032457361642882,0.03375565033417245,0.025480029769559487,0.300513849974225,0.17376976250728393,0.3477628068151799,0.21051125604594684,0.7518201070001794,0.34101204957648207,1.1994875830132514,0.39486291756483105,0.5470121199110562,0.3272981734337152,0.8021713541496056,0.4636858654890363,0.5975166722067684,0.35146283332200434,0.19057930847347307,0.19578978011488307,1.0273401749809332,0.12903225806451613,0.2889059825833087,1.0,0.329707622694048,0.4854063983190638,1.4722328660550756,0.0,1.0,3,0.006787330316742082,0.02010964148973199,0.25321164733126983,12.591554526745792,0.0,0.0,4.95,0.082457361642882,0.44144056296671563,5.353561576206729,0.0,0.05,5.0,0.1136197607873781,0.2719367137109227,2.393392767476517,0.0,0.19072229467487933,4.399310782643491,0.07061977897667943,0.03876100679517654,0.5488689904846131,0.0625,0.03125,0.40625,0.44919334855033255,0.3469561775751222,0.7723982972918964,0.46341355882643,0.5438361088647314,2.4452084640758205,0.8650101142338346,0.2879484448961249,0.3328844832654581,1.0,0.11791480084260308,1.1693449020385742,0.0028192351891446915,0.034784501429225075,12.3382758427395,0.0,0.0,0.5,0.07217194570135746,0.366357035966446,5.076169589252951,0.0,0.05,5.0,0.010194346774848248,0.12816133397898097,12.571804433333961,0.0,0.0,2.475,0.01056276515008852,0.14276840255148726,13.516195856185519,0.0,0.0,6.0,0.1331076768461229,0.3482413752132018,2.616238097339652,0.0,0.10564073135678181,5.801668528489618,0.07399947941303253,0.10962732136249542,0.17771735787391663,3.5626140308380125,5.558574676513672,0.3490899,0.7699737,0.3588036795234302,0.19806510817933554,0.014402268745731583,0.010724890232265897,0.003607088902879141,2,3.45,3.5,1.660851580738583,0.4375,0.7324339164840716,1.0,0.4928571428571429,1.775,1.725,1.0289855072463767,0.6802801470895173,Inside,Black
2E,1.5718382215499878,0.03558532481426601,0.09505380071063506,2.6711516954463312,0.0,0.057074039205908776,0.005964647044034392,0.02712756558955647,0.1526125355895207,0.19506064807009896,0.7054061112562027,0.2848437363976669,0.009750152346130409,0.0,0.0015669887699138157,0.013324765828660969,0.0217569896839478,0.13516781558588156,0.16261770725999414,0.22247559645932466,0.10302266031231326,0.6622475699815497,0.32929764989245175,,,,,0.2423458516714163,0.15957535187503585,0.3050211216460061,0.2548600610012196,0.026285673343531015,0.07081040443265996,2.6938782776164496,0.0,0.02127659574468085,1.0,0.025158875250282927,0.15660749102908084,6.224741347581494,0.0,0.0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.002502829285279011,0.033434004406483496,13.358483777992205,0.0,0.0,1.5,0.009348022594093756,0.08747570448999926,9.357669347661606,0.0,0.0,2.9367380641741736,0.03331211369374075,0.03193749156474844,0.9587350673202525,0.03125,0.0625,0.1875,0.09447872942096959,0.16359409060981528,1.7315441434535794,0.0,0.13836110764001278,1.3619962375139643,0.598209576173557,0.4886280473880373,0.8168174948210339,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.002502829285279011,0.033434004406483496,13.358483777992205,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00701938739064851,0.07716315408598047,10.992861597691574,0.0,0.0,3.185541335439639,0.0603913739323616,0.0758964866399765,0.10997612774372101,0.6318003439903255,1.576548457145691,0.1149908,0.13573614,0.127518204102883,0.026028974713109124,0.000649888280679427,0.00014010108971531458,0.0,1,0.0,0.05,0.5716807968960739,0.1875,0.17039561046694543,1.0,0.0,0.05,0.0,0.0,0.46309514378297273,Inside,Black
2B,5.460114345550537,1.1137089875398059,1.1520283918394916,1.034407017208628,0.6969652497768402,1.9205060793831947,0.2971809250642474,0.33545964611460105,0.44794056089371215,0.3113933907592131,0.16131278836946114,0.3024288325933664,0.450509271350222,0.08574910768695046,0.4472011839470706,0.03472478899648147,0.03634181287700766,0.28427633184516704,0.21428409963730313,0.46177703317506735,0.23106908175751137,0.5615058697884538,0.33044321393420906,0.9171443883840202,0.30232828533239703,0.428518284938745,0.22397011898216618,0.5980911044275552,0.28189266848415956,0.5036007060816486,0.30854613524667596,0.4147486994174094,0.34238907851537664,0.8255338208325304,0.3942307692307692,0.6914196914196916,1.0,0.6720640724297031,0.612801634462877,0.9118202558387395,1.0,1.0,2,0.07756594411073388,0.2015887525028293,0.7125174817303022,3.5345100998147307,0.0,0.0,4.95,0.7496126055541046,1.0623762593605535,1.417233717108129,0.05,1.5,5.5,0.3717185026021872,0.42202271929081075,1.1353287940645211,0.16789539522009156,0.7877427893300726,3.7873623326077155,0.11205601984852442,0.061720624671283766,0.5508015076273166,0.09375,0.09375,0.375,0.7777752892188464,0.5523464315428229,0.7101619699149461,0.6911927820032008,1.0025318580549656,2.132832667994456,0.7452677057903898,0.3063068391961631,0.41100243149716376,0.9230135679244995,0.5470440636078517,1.0532636642456055,0.03565427858030366,0.12363220745241396,3.467527948264576,0.0,0.0,0.495,0.6488182293026901,0.9023597023015086,1.3907742747476584,0.05,1.025,4.5,0.10079437625141464,0.356258740865151,3.53451009981473,0.0,0.0,2.475,0.09329591085771859,0.3307903744745775,3.5456042117328277,0.0,0.0,3.0,0.7067992937483903,0.94422917341903,1.335922632875693,0.18427271516005045,1.185933731102038,5.442323583887188,0.21261455118656158,1.16928231716156,2.0725579261779785,3.3637795639038086,5.560452461242676,1.2707735,1.0277636,0.5933926133289832,0.4346659167217888,0.2821949627746786,0.2279035318969783,0.025824438471601326,1,0.0,0.05,0.01490789910634867,0.4375,1.6169406117445697,0.99208206,0.0,0.05,0.0,0.0,0.8946763819799184,Inside,Black
