,Abundance
horzcover_grass,0.5924270063947215
X,0.5665414910293355
sd_cvH_vegtype_tree,0.546371841553216
sd_cvH_vegtype_grass,0.5409658079983775
FHD_plot,0.5243380383321717
mean_sdH,0.5227022417608499
sd_FHD,0.4857997904298838
sd_PAI_AboveG,0.48359439535821946
mean_sdHgrasslayer,0.4694059370119259
mean_maxHgrasslayer,0.45918383221445574
mean_maxH,0.4585461978727548
mean_cvHgrasslayer,0.4489199216188902
mean_cvH_vegtype_grass,0.44746010993029184
sd_VDRpeak,0.4421686254219112
mean_PAI_AboveG,0.4342199459000845
ptoh_plot,0.4302144475850997
mean_nlayers,0.42189823545959504
sd_sdHgrasslayer,0.4203101425506962
mean_cscore,0.41788257800657763
mean_CD_AboveGgrasslayer,0.41535239602801916
sd_ptoh,0.40873806699259024
Y,0.4039062555486272
meanH_plot,0.40216320161763963
cv_maxHgrasslayer,0.39518230504650464
sd_CD_AboveGgrasslayer,0.3945155871958888
cv_nlayers,0.38623117208020685
mean_cvH_vegtype_shrub,0.3745893503777253
sd_maxHgrasslayer,0.3710853184388251
stdH_plot,0.3659435830525391
sd_herbh,0.3326283152185633
mean_sdH_vegtype_tree,0.3258625913662249
sd_gapsize,0.31740758188018253
cv_cscore,0.3017457159306659
mean_cvH,0.2930615189363654
sd_cvH_vegtype_woody,0.2866875742461609
mean_ptoh,0.28664852487108616
sd_CD_Ggrasslayer,0.28079551033703076
horzcover_tree,0.2686714870740379
sd_sdH_vegtype_tree,0.2669523910240982
mean_VDRpeak,0.24994529961390105
cv_herbh,0.2465368574883994
mean_FHD,0.23716394739817004
X75thPerc_plot,0.236054364050507
sd_CD_G,0.23524740867983326
sd_cvHgrasslayer,0.2271364063317163
sd_nlayers,0.22446209957014404
mean_stdpeakh,0.21159293207786994
Cover0p05m_plot,0.19951201527561097
Cover1p5m_plot,0.18121275423902844
X50thPerc_plot,0.17651399922858196
mean_gapsize,0.1661236352226224
sd_VDR,0.1648212735189832
herbh_plot,0.16456290376619664
mean_cvpeakh,0.1616369271436018
Cover0p5m_plot,0.15433110127846023
X98thPerc_plot,0.14282835226380255
horzcover_ground,0.10976853638167064
sd_cvpeakh,0.10738259025648828
sd_meanpeakh,-0.0006543442161870416
propMultiLayer,-0.001134516431417154
mean_VDR,-0.0033108922953539732
mean_cvH_vegtype_woody,-0.004848304490556288
cv_CD_Ggrasslayer,-0.006449176738628992
mean_meanpeakh,-0.008495955802968247
Cover0p25m_plot,-0.010507666238305902
mean_sdH_vegtype_woody,-0.010774037721944296
mean_herbh,-0.011254704760812473
sd_stdpeakh,-0.012987287664175007
mean_maxpeakh,-0.014088544462723007
maxpeakh_plot,-0.01747966710032145
cv_stdpeakh,-0.01792701544737607
sd_sdH_vegtype_grass,-0.018440152745545113
cv_CD_AboveG,-0.01882518446970316
sd_sdH,-0.019820731979079298
meanpeakh_plot,-0.020472235025159158
mean_sdH_vegtype_grass,-0.021565863056490997
sd_sdH_vegtype_shrub,-0.02181089129622471
cv_VDR,-0.02212987692008639
cvpeakh_plot,-0.022418723034501653
mean_CD_G,-0.029179654414914324
cv_meanpeakh,-0.030425047802975058
horzcover_woody,-0.031497654285630894
sd_PAI_G,-0.034383300591979804
sd_maxpeakh,-0.037028574421426264
cv_maxH,-0.03839951438896705
sd_maxH,-0.039931480447411793
cv_gapsize,-0.040740032753039834
cv_CD_G,-0.041928600092914436
VDR_plot,-0.043096002906008124
cv_ptoh,-0.04536147028201842
sd_cvH_vegtype_shrub,-0.048958285124221845
cv_VDRpeak,-0.04927727556044115
sd_sdH_vegtype_woody,-0.04935978756380255
Cover0p0m_plot,-0.049430095484430225
sd_cscore,-0.05121946389117671
cv_maxpeakh,-0.05263365763249439
mean_CD_Ggrasslayer,-0.053071214598009675
mean_CD_AboveG,-0.054800285983056085
cv_cvpeakh,-0.05588376421675356
cv_CD_AboveGgrasslayer,-0.058237676490993984
sd_CD_AboveG,-0.058862657306868904
cv_FHD,-0.059991485277662626
mean_sdH_vegtype_shrub,-0.07581551282950194
X25thPerc_plot,-0.07901551782016103
horzcover_shrub,-0.08025139457386299
VDRpeak_plot,-0.08186535539920747
nlayers_plot,-0.08607302702100217
sd_cvH,-0.09167389795334557
mean_cvH_tree,-0.09177936757688165
stdpeakh_plot,-0.09301584316064915
mean_PAI_G,-0.09539502346327389
gapsize_plot,-0.09843119428849967
cscore_plot,-0.10546092011916741
X100thPerc_plot,-0.11156894003923412
