,Abundance
Y,0.6949212394646276
X,0.6703109806024218
sd_maxH,0.6678811731106853
mean_cvH_tree,0.6323340810140552
mean_ptoh,0.6231254572173771
sd_meanpeakh,0.6085110326041945
sd_nlayers,0.6050820302786786
mean_maxpeakh,0.604038435351658
sd_maxpeakh,0.6018272000880688
mean_cvH_vegtype_grass,0.5998017333445825
mean_cvHgrasslayer,0.5922827682029516
mean_maxH,0.5756642804827148
sd_stdpeakh,0.5710148154120608
mean_sdH,0.5579490218839811
cv_nlayers,0.5507745742948645
mean_meanpeakh,0.533977119690152
mean_VDR,0.5295249206334002
cv_FHD,0.5148450033087426
cv_maxHgrasslayer,0.506070595045944
cv_cscore,0.5055028385195448
mean_sdH_vegtype_woody,0.4870246669502549
sd_herbh,0.47840448196810054
sd_sdH,0.47826325960455157
cv_CD_AboveGgrasslayer,0.4673075569837819
sd_sdH_vegtype_woody,0.4663138806465911
mean_sdH_vegtype_tree,0.4523637834330649
mean_cvH,0.4410456446036074
cv_CD_Ggrasslayer,0.4406320252720386
horzcover_grass,0.43969579163101075
meanH_plot,0.4336285254946525
mean_sdHgrasslayer,0.4264214746106916
mean_cscore,0.4228570027531301
mean_cvH_vegtype_shrub,0.41726881194385446
mean_CD_AboveGgrasslayer,0.40497687709749847
cv_herbh,0.4040480405187876
sd_CD_AboveGgrasslayer,0.392319881382463
sd_sdHgrasslayer,0.3670534425322244
mean_nlayers,0.360238526362015
sd_cvpeakh,0.3589513779256714
cvpeakh_plot,0.35821083724306313
mean_sdH_vegtype_grass,0.35769079199339915
mean_PAI_AboveG,0.3560499207058153
sd_cscore,0.35291741108338
mean_cvH_vegtype_woody,0.3446622521076376
mean_maxHgrasslayer,0.34238078259387883
cv_CD_G,0.33830892574712773
sd_gapsize,0.3289679652597221
sd_maxHgrasslayer,0.32023011109231064
cv_cvpeakh,0.3079200021935223
cv_VDRpeak,0.3031560113716412
sd_PAI_AboveG,0.2880173443391521
cv_stdpeakh,0.2879656541611424
sd_cvH_vegtype_shrub,0.27734608723246307
horzcover_ground,0.27376125254787437
cv_gapsize,0.27220245295781464
cv_maxpeakh,0.2661839214451595
sd_cvH,0.25569518258085155
sd_cvH_vegtype_woody,0.2541673782987847
sd_PAI_G,0.2503089302553674
FHD_plot,0.24194299728048058
mean_FHD,0.2414718937116428
cv_CD_AboveG,0.23656109330967717
cv_maxH,0.2111649942868968
sd_CD_Ggrasslayer,0.18034034907978388
gapsize_plot,0.1781453148225798
sd_CD_AboveG,0.1710240951810655
mean_CD_AboveG,0.16072161158806558
stdpeakh_plot,0.149383532096499
horzcover_tree,0.13518422475175904
mean_sdH_vegtype_shrub,0.0753592999740232
sd_FHD,0.05662355342028463
mean_cvpeakh,0.055587948902380946
sd_VDR,-0.003697175704968636
cv_VDR,-0.007905985586698527
meanpeakh_plot,-0.008546101223292801
sd_cvH_vegtype_tree,-0.009698253513144905
herbh_plot,-0.014035159474146575
sd_sdH_vegtype_tree,-0.014523168018531152
horzcover_shrub,-0.015975531503157114
nlayers_plot,-0.018225854802006225
VDRpeak_plot,-0.02094610423647314
Cover0p05m_plot,-0.021134045281607783
Cover0p25m_plot,-0.022089583950085867
propMultiLayer,-0.023769061158371407
Cover0p5m_plot,-0.025709630880114354
mean_VDRpeak,-0.02629719882230841
X50thPerc_plot,-0.02868170948157811
X25thPerc_plot,-0.031957486141084956
mean_gapsize,-0.03779618436110255
mean_herbh,-0.03885878515832175
horzcover_woody,-0.045698072881068086
sd_ptoh,-0.04662927297743025
cv_ptoh,-0.046792652550474045
Cover0p0m_plot,-0.047169202568229984
maxpeakh_plot,-0.04816261484130191
mean_CD_G,-0.05142913940827132
mean_stdpeakh,-0.055830816377171466
cscore_plot,-0.057944439911580936
mean_PAI_G,-0.05858279262562416
mean_CD_Ggrasslayer,-0.06055639757380593
X100thPerc_plot,-0.06129738327995948
X98thPerc_plot,-0.0674078613053064
sd_cvHgrasslayer,-0.07961402262060613
VDR_plot,-0.08102867356615207
sd_VDRpeak,-0.0817885491486523
Cover1p5m_plot,-0.09097501761048044
ptoh_plot,-0.09529912062580692
stdH_plot,-0.09950063906989381
sd_CD_G,-0.10516590863498987
cv_meanpeakh,-0.10792558739564662
sd_sdH_vegtype_grass,-0.11855896940116306
sd_sdH_vegtype_shrub,-0.14817726653654884
sd_cvH_vegtype_grass,-0.15093133498522793
X75thPerc_plot,-0.17979666275496164
