,Abundance
sd_sdHgrasslayer,0.6387087682083117
meanH_plot,0.6283909077911854
horzcover_ground,0.612524489004421
sd_maxHgrasslayer,0.5980476740811179
maxpeakh_plot,0.5881346190561721
mean_cvHgrasslayer,0.5737029904903193
mean_PAI_G,0.5729831004326384
sd_PAI_AboveG,0.5629665731754678
mean_CD_Ggrasslayer,0.5513696363444552
sd_sdH_vegtype_tree,0.5402988761241372
sd_sdH_vegtype_grass,0.5400535515763405
cv_maxHgrasslayer,0.536872337199785
sd_CD_AboveGgrasslayer,0.5353374081205888
cv_CD_Ggrasslayer,0.5309433929448344
nlayers_plot,0.5263794248927568
sd_maxH,0.5205408899792794
sd_CD_AboveG,0.5196500266251776
sd_nlayers,0.5175766704212766
mean_maxHgrasslayer,0.5086000743573065
mean_maxpeakh,0.5047956191158146
mean_PAI_AboveG,0.4960103021876859
X50thPerc_plot,0.4861792873084115
sd_VDR,0.48512210488126034
gapsize_plot,0.48099095096436406
sd_cvHgrasslayer,0.4809422581091059
cv_cscore,0.4783115234326497
X98thPerc_plot,0.476012816985767
mean_CD_AboveG,0.47335705398193795
sd_cscore,0.46960802847105787
mean_meanpeakh,0.4681516107946815
VDR_plot,0.4649745678000206
Cover0p05m_plot,0.45773146059307257
stdpeakh_plot,0.45616647925855214
meanpeakh_plot,0.45466542092319423
mean_CD_AboveGgrasslayer,0.4453169366747299
horzcover_tree,0.4441408809972733
mean_gapsize,0.44210780996741716
sd_stdpeakh,0.43618670384079566
mean_stdpeakh,0.4274225442965117
cv_CD_AboveG,0.42550972235651047
Cover0p5m_plot,0.422747743528362
cv_VDR,0.42040157381767407
mean_maxH,0.41673394146496817
Cover1p5m_plot,0.40671882070931203
X75thPerc_plot,0.40376052437249127
cv_nlayers,0.4003237922444789
horzcover_grass,0.3958505572476628
cv_CD_AboveGgrasslayer,0.39304112555198795
herbh_plot,0.3890825541469727
sd_cvH_vegtype_grass,0.3876898470234384
sd_herbh,0.37425117554620563
VDRpeak_plot,0.3522876254658057
sd_maxpeakh,0.3508111456572652
cv_FHD,0.34932194652101084
ptoh_plot,0.34431986526240915
sd_PAI_G,0.3432679489948316
cv_ptoh,0.33800071705973783
mean_sdHgrasslayer,0.33187681112536943
sd_CD_Ggrasslayer,0.3305079423364149
mean_sdH,0.3274148061895258
cv_herbh,0.32340377936923026
mean_cvH_vegtype_grass,0.31912452048826306
X,0.31301910914581893
mean_herbh,0.3127694853802069
Cover0p25m_plot,0.30955804255095065
horzcover_shrub,0.3002924048569421
cv_stdpeakh,0.2959213465294054
horzcover_woody,0.29109964444160663
cvpeakh_plot,0.28593202148466157
mean_cvH_vegtype_shrub,0.28591160160344375
sd_FHD,0.27649032461661416
sd_meanpeakh,0.2753000417413919
mean_cvH_tree,0.27226266832353435
mean_nlayers,0.271326933263264
mean_sdH_vegtype_grass,0.26995831106272755
Y,0.2686136180218909
cv_cvpeakh,0.24974621445210388
mean_ptoh,0.2319513481222949
propMultiLayer,0.1988073737182943
cv_gapsize,0.195367673173998
sd_VDRpeak,0.18122802202964594
cv_VDRpeak,0.16256900913445
mean_cvpeakh,0.16181136211035815
sd_gapsize,0.14221741573349497
cscore_plot,0.1410194844863948
mean_cvH_vegtype_woody,0.09483354843735382
FHD_plot,0.08342487500275587
sd_CD_G,0.08040224435951503
mean_FHD,0.07455980909906422
cv_meanpeakh,-0.0014599633781093857
X100thPerc_plot,-0.0019262528632486564
mean_CD_G,-0.004547331758580242
X25thPerc_plot,-0.012631796857745847
cv_maxpeakh,-0.014296432595171105
cv_maxH,-0.016314077181672992
mean_VDRpeak,-0.017311431122382537
sd_cvpeakh,-0.018010012579461332
sd_cvH_vegtype_shrub,-0.018092905958013716
mean_VDR,-0.020258506082146077
sd_cvH_vegtype_woody,-0.021087784108761554
sd_cvH_vegtype_tree,-0.022285629139194185
mean_sdH_vegtype_woody,-0.03289324863132048
cv_CD_G,-0.04258443329916162
sd_sdH,-0.04363540944689337
mean_cvH,-0.04456600375613018
sd_sdH_vegtype_woody,-0.04562128608936078
mean_cscore,-0.06061735179774086
sd_sdH_vegtype_shrub,-0.06641736040125412
sd_ptoh,-0.08836792010741323
stdH_plot,-0.09005304481065224
mean_sdH_vegtype_shrub,-0.0905899532580765
Cover0p0m_plot,-0.09952236575591833
sd_cvH,-0.10402034359047985
mean_sdH_vegtype_tree,-0.11121321638751613
