,Richness
cv_CD_AboveGgrasslayer,0.6393932586034905
mean_FHD,0.5441110700549684
FHD_plot,0.5332375859078922
sd_CD_G,0.5318037916633112
mean_sdH_vegtype_grass,0.5288051943825794
herbh_plot,0.5216691888791035
mean_cvHgrasslayer,0.5157787431062438
cv_CD_AboveG,0.5138069012459875
mean_CD_Ggrasslayer,0.4960013900135648
mean_sdHgrasslayer,0.4903800202664933
sd_CD_Ggrasslayer,0.4876716498938584
mean_PAI_AboveG,0.4765839289605531
mean_CD_AboveGgrasslayer,0.4762582719137244
sd_sdHgrasslayer,0.4716600524739347
mean_maxH,0.458510399394832
sd_CD_AboveGgrasslayer,0.456721380051738
mean_ptoh,0.4440189526241944
sd_herbh,0.44327969995608935
cv_CD_G,0.4334758662453192
mean_PAI_G,0.42977103793890026
sd_cvH_vegtype_woody,0.42333451352305357
sd_cvH_vegtype_shrub,0.42119507395234185
sd_PAI_AboveG,0.41921866567477684
mean_cvH_tree,0.40138961975216136
meanH_plot,0.39727206659570125
cv_CD_Ggrasslayer,0.39486503958744
cv_meanpeakh,0.3897882771587704
sd_nlayers,0.3880382143629075
sd_sdH_vegtype_shrub,0.376299136703323
sd_sdH_vegtype_tree,0.3728969834246107
mean_cscore,0.37254199695886914
mean_maxpeakh,0.3619968693480762
mean_nlayers,0.3529741776137598
sd_cvpeakh,0.3515675696255577
cv_cscore,0.346820203232105
mean_maxHgrasslayer,0.3465886020173122
mean_sdH_vegtype_tree,0.3424246881305264
X,0.34082003020317414
mean_gapsize,0.33916453979377403
horzcover_grass,0.33659080834443955
sd_ptoh,0.3351084471462516
mean_stdpeakh,0.33284672819788585
horzcover_ground,0.3298688856392001
horzcover_shrub,0.312141903265989
Cover0p25m_plot,0.3036600503911292
cv_maxHgrasslayer,0.30162043500406566
cv_maxpeakh,0.29193671537631644
mean_CD_G,0.28971084677338016
cscore_plot,0.28947074277973234
Cover0p05m_plot,0.2886038638958767
Cover1p5m_plot,0.28537907761500075
mean_herbh,0.28521318017423536
cv_nlayers,0.28429446743995196
sd_VDRpeak,0.2751284726382117
mean_cvH_vegtype_grass,0.272566639541162
sd_maxpeakh,0.2722660700698327
mean_cvpeakh,0.2595091416964058
X100thPerc_plot,0.25813084310656736
cv_VDR,0.24794140119463687
Y,0.24415608070549133
stdH_plot,0.24125067668668557
mean_sdH,0.2378448991807707
mean_meanpeakh,0.23339074237786364
sd_gapsize,0.23162883008966167
sd_maxH,0.2255012395923412
sd_meanpeakh,0.1991458835324231
mean_CD_AboveG,0.19631798928742586
sd_PAI_G,0.16048026587540548
gapsize_plot,0.15489623587840062
sd_cvHgrasslayer,0.15431267073439087
horzcover_woody,0.15381471047133544
mean_VDR,0.14251392941921237
sd_stdpeakh,0.11535516104405125
Cover0p0m_plot,0.10732114924509562
propMultiLayer,0.06947107158911342
cv_FHD,0.04481475160377988
cvpeakh_plot,-0.0018274954104446905
X75thPerc_plot,-0.007496226127477357
sd_sdH_vegtype_grass,-0.007656394018721535
X50thPerc_plot,-0.013036032306497525
mean_cvH,-0.013106782222863878
sd_sdH,-0.013809578557568258
mean_cvH_vegtype_woody,-0.014917882945693073
mean_sdH_vegtype_shrub,-0.023045991392448784
mean_VDRpeak,-0.02378874847606305
Cover0p5m_plot,-0.030838283949709222
sd_FHD,-0.03352718025607526
sd_maxHgrasslayer,-0.03791662078681135
nlayers_plot,-0.040830584936850656
VDR_plot,-0.04206590774551344
sd_cscore,-0.043945342754199146
maxpeakh_plot,-0.04468117071926603
sd_sdH_vegtype_woody,-0.04653340857210253
sd_CD_AboveG,-0.05043803493490007
horzcover_tree,-0.05450686388413306
meanpeakh_plot,-0.05469721713976039
sd_VDR,-0.05509669686357466
cv_ptoh,-0.058413495887149836
cv_herbh,-0.05850993528074966
VDRpeak_plot,-0.058588513333316605
cv_cvpeakh,-0.06084256164760937
X25thPerc_plot,-0.06230905193800229
cv_gapsize,-0.06368486414352326
cv_stdpeakh,-0.06408642630187433
cv_VDRpeak,-0.06683945828710769
X98thPerc_plot,-0.07445508771534204
sd_cvH,-0.07914622439776053
sd_cvH_vegtype_tree,-0.08336929053965036
stdpeakh_plot,-0.11071665634996286
cv_maxH,-0.12174379836382965
sd_cvH_vegtype_grass,-0.12354493481040141
mean_sdH_vegtype_woody,-0.12627603242550123
ptoh_plot,-0.13427934716192436
mean_cvH_vegtype_shrub,-0.14317536934845254
