,Richness
sd_stdpeakh,0.6940064682168113
cv_VDR,0.67993249735008
X50thPerc_plot,0.6232823572978264
sd_sdHgrasslayer,0.6130997810670861
Cover0p25m_plot,0.6130514853059192
sd_maxpeakh,0.5839132544727604
cv_meanpeakh,0.5651310021379009
mean_CD_AboveG,0.5431958300379418
horzcover_grass,0.5226427430831743
horzcover_shrub,0.5132128432126354
sd_sdH_vegtype_grass,0.510107516084514
sd_PAI_G,0.5078044371880612
sd_CD_AboveG,0.4861395860632439
mean_cvHgrasslayer,0.46710257854230947
sd_ptoh,0.4544312242132052
sd_cvH_vegtype_grass,0.4533295724351463
X,0.45315200935484545
sd_gapsize,0.43241918092775666
Cover0p5m_plot,0.43004182631184446
mean_cvH_vegtype_shrub,0.42635135406599756
sd_maxH,0.42619365114683866
VDRpeak_plot,0.42067557667417643
cv_maxpeakh,0.4186942366188157
sd_herbh,0.4184736613941484
meanpeakh_plot,0.4141680936314254
mean_cvH,0.41220796035441515
cv_maxH,0.41159024398181004
mean_sdH,0.41074087759518824
cv_CD_AboveG,0.40388463993506574
sd_maxHgrasslayer,0.39916886000561264
X25thPerc_plot,0.393742809713983
mean_CD_AboveGgrasslayer,0.39317180301749927
cv_CD_G,0.3899462948907151
sd_sdH,0.38101354443848096
sd_CD_AboveGgrasslayer,0.3801380617674192
cscore_plot,0.36961379370984815
FHD_plot,0.3693131690246841
mean_cvH_vegtype_woody,0.36520117168981486
sd_PAI_AboveG,0.3624589539546227
sd_cvHgrasslayer,0.3587901096138391
cv_ptoh,0.35196203024068623
mean_PAI_AboveG,0.34481372495774226
Cover0p0m_plot,0.3306291731742514
mean_meanpeakh,0.3280708997279863
X100thPerc_plot,0.32252428070278216
mean_FHD,0.3157984525876471
sd_cvH_vegtype_woody,0.30719721193296146
cv_gapsize,0.3065861308627975
mean_cvH_vegtype_grass,0.3057189603677492
cv_cvpeakh,0.29475517967783177
mean_stdpeakh,0.2905609191304027
sd_VDRpeak,0.28946275373393865
mean_cvpeakh,0.2796384856987417
mean_cscore,0.27728128563456583
mean_nlayers,0.2727170236346805
mean_CD_G,0.2676041507572822
herbh_plot,0.2581619275782728
Cover1p5m_plot,0.24238523807606693
Cover0p05m_plot,0.237816664515705
cv_CD_Ggrasslayer,0.23515706440840883
mean_gapsize,0.23121098495284456
sd_meanpeakh,0.21623416669211165
horzcover_woody,0.21322912354649498
mean_sdH_vegtype_grass,0.2107206102222543
sd_FHD,0.20284784254499275
cv_stdpeakh,0.20012028835943685
mean_maxpeakh,0.19548823958812586
sd_nlayers,0.18771205874931562
cv_maxHgrasslayer,0.1814684591009332
mean_maxH,0.175521270275477
cv_VDRpeak,0.17208438982533397
sd_CD_G,0.16110125810704623
sd_CD_Ggrasslayer,0.15428696272328263
horzcover_ground,0.14675849939451113
Y,0.11946692435680191
sd_sdH_vegtype_tree,0.11645805547913252
mean_VDRpeak,0.10938083948863961
VDR_plot,0.10366887343495378
sd_cscore,0.061248555305080686
cv_CD_AboveGgrasslayer,0.05042165489581471
cv_herbh,-0.000893776903525989
propMultiLayer,-0.005029462223112624
mean_sdH_vegtype_tree,-0.006683593834940993
horzcover_tree,-0.009543631200215508
mean_herbh,-0.009642972484637191
cvpeakh_plot,-0.01111106989074262
mean_ptoh,-0.01359884778155962
meanH_plot,-0.01914467135155018
ptoh_plot,-0.022202666794902015
maxpeakh_plot,-0.02497345281852592
mean_cvH_tree,-0.03847771138591849
sd_VDR,-0.03906669277255315
nlayers_plot,-0.040918971658459036
mean_PAI_G,-0.054921727112525964
mean_VDR,-0.05689832739330125
mean_sdHgrasslayer,-0.057041125944716775
mean_CD_Ggrasslayer,-0.05797270027488732
cv_FHD,-0.057999532796848996
sd_cvpeakh,-0.07469367639910196
cv_nlayers,-0.08265824280353673
sd_cvH_vegtype_tree,-0.08475621230877906
gapsize_plot,-0.08499362002614674
cv_cscore,-0.0922530969338009
mean_maxHgrasslayer,-0.09521772757011604
stdpeakh_plot,-0.09587147945379915
sd_sdH_vegtype_woody,-0.10867330845234058
X75thPerc_plot,-0.1181491657813103
X98thPerc_plot,-0.12104276517166213
sd_sdH_vegtype_shrub,-0.12697846948441782
mean_sdH_vegtype_woody,-0.13795352962037288
sd_cvH_vegtype_shrub,-0.15072973423220937
sd_cvH,-0.15306212808743513
mean_sdH_vegtype_shrub,-0.16007061013084023
stdH_plot,-0.18915268106404604
