,Richness
sd_CD_AboveGgrasslayer,0.706560879750433
stdH_plot,0.7059204755192396
mean_FHD,0.703116129552588
mean_VDRpeak,0.7011312973042453
sd_PAI_AboveG,0.7001180587231682
propMultiLayer,0.6955193634936627
horzcover_woody,0.6872767929916198
cv_CD_AboveGgrasslayer,0.6844047807097867
sd_herbh,0.6817801090030312
mean_sdHgrasslayer,0.6766852709175801
mean_maxHgrasslayer,0.6657796089183562
mean_cvpeakh,0.6547764802285446
mean_PAI_AboveG,0.6533337219960247
mean_CD_AboveGgrasslayer,0.6498742727960736
sd_cvH,0.6442340058425944
X98thPerc_plot,0.642339035536651
sd_ptoh,0.6385477852952682
sd_VDRpeak,0.6379350735986468
sd_maxHgrasslayer,0.6352419520076908
cv_cscore,0.6154067658076688
sd_maxpeakh,0.6103536650717541
horzcover_shrub,0.6095324143776293
sd_meanpeakh,0.608511644665109
horzcover_ground,0.6042355365669639
sd_CD_G,0.6032562514689562
sd_sdHgrasslayer,0.6027949322671317
sd_maxH,0.5975384086001859
mean_stdpeakh,0.5963740733705836
cv_maxpeakh,0.5921171901116744
mean_gapsize,0.5910088675293949
sd_CD_Ggrasslayer,0.5905641330532462
sd_FHD,0.587768895359702
herbh_plot,0.5863946706632308
sd_PAI_G,0.5827170915074278
mean_cscore,0.5750786130717985
mean_CD_Ggrasslayer,0.5713192480391287
Cover1p5m_plot,0.5677665158238295
sd_sdH,0.5647578350688421
mean_CD_G,0.557189444046327
sd_stdpeakh,0.554124268307142
sd_nlayers,0.5516943915266921
sd_cscore,0.5507630013719153
VDR_plot,0.5481129968562674
Cover0p05m_plot,0.5438908576136393
cv_CD_AboveG,0.5392249045965443
sd_cvpeakh,0.5286253334502642
FHD_plot,0.5265097220057212
meanH_plot,0.5237164540540119
mean_CD_AboveG,0.5188282357271337
sd_gapsize,0.5185854231213561
mean_cvH_vegtype_woody,0.5153299511309114
mean_nlayers,0.514701435967916
cv_stdpeakh,0.5081308585176728
mean_sdH,0.5080334761348807
Cover0p25m_plot,0.507608783350817
mean_meanpeakh,0.5048400524555919
horzcover_grass,0.5014449234522986
mean_maxH,0.4962602022667643
cscore_plot,0.4952853620353863
mean_PAI_G,0.49143012939550557
mean_cvHgrasslayer,0.488871345298214
cv_cvpeakh,0.4869211160624488
mean_maxpeakh,0.47319745347055386
mean_herbh,0.46712342661720896
sd_sdH_vegtype_shrub,0.46677481149040145
sd_CD_AboveG,0.4640739302279239
Cover0p5m_plot,0.46147974221050253
horzcover_tree,0.4610748529378444
cv_nlayers,0.4574590344492105
cv_VDRpeak,0.45708375164396975
cv_gapsize,0.45404707313361203
cv_maxHgrasslayer,0.4523350529395566
X100thPerc_plot,0.44011998781842065
Y,0.4342478717065072
cv_CD_G,0.43042989949780924
cv_maxH,0.4281981762659735
mean_sdH_vegtype_woody,0.41506182818688053
mean_VDR,0.40812990247418174
cv_herbh,0.3970528209541253
mean_cvH_vegtype_grass,0.3965856723648894
cv_ptoh,0.39375836612236403
X50thPerc_plot,0.39326148762522173
cv_CD_Ggrasslayer,0.3865513655634061
cv_FHD,0.3783728087054812
mean_sdH_vegtype_shrub,0.3769993642593675
X25thPerc_plot,0.36647276975065135
mean_sdH_vegtype_grass,0.352957841947458
X,0.3507689483238961
mean_ptoh,0.3457986173318114
cv_VDR,0.33466826798022276
Cover0p0m_plot,0.3290203692831025
X75thPerc_plot,0.3218940597642488
sd_sdH_vegtype_woody,0.3200207973227358
sd_VDR,0.2930790191120327
mean_sdH_vegtype_tree,0.2703041740711211
VDRpeak_plot,0.2670541822501456
cvpeakh_plot,0.2641695525233193
sd_sdH_vegtype_tree,0.25406196881436655
sd_cvH_vegtype_shrub,0.23213591699141575
mean_cvH,0.23176320934624722
mean_cvH_tree,0.21050217306691563
stdpeakh_plot,0.1832126676166078
gapsize_plot,0.16347307072709993
sd_cvHgrasslayer,0.16339144659731225
ptoh_plot,0.15478359158565075
sd_sdH_vegtype_grass,0.12079496670180594
meanpeakh_plot,0.11631877351506179
sd_cvH_vegtype_grass,-0.01074074349730747
mean_cvH_vegtype_shrub,-0.01670100233794347
maxpeakh_plot,-0.01672999752484383
cv_meanpeakh,-0.06238750049619313
sd_cvH_vegtype_woody,-0.09548139573583292
nlayers_plot,-0.10348614116309651
sd_cvH_vegtype_tree,-0.18190231935913825
