,Simpson
sd_CD_AboveG,0.717810273388081
sd_CD_G,0.685629773265674
ptoh_plot,0.6622828082265141
FHD_plot,0.6617851345262271
X50thPerc_plot,0.6557097894706134
sd_stdpeakh,0.6510868139957289
sd_maxpeakh,0.6457955753037075
sd_nlayers,0.6454583361972167
cv_CD_AboveG,0.6436204205108201
sd_maxH,0.6373095342146494
sd_VDR,0.6349943672475197
cv_CD_AboveGgrasslayer,0.6325011929159517
sd_sdH,0.6311100028993103
sd_meanpeakh,0.6239433050653143
mean_cscore,0.6192694995953912
meanH_plot,0.6187927358143972
Cover1p5m_plot,0.6159399746980664
sd_gapsize,0.6080962436909964
sd_FHD,0.5870497547506517
sd_PAI_AboveG,0.5790846634279155
mean_sdH,0.574032106199047
mean_maxH,0.5673027425956271
horzcover_tree,0.5652784522939609
sd_cscore,0.5647575770588283
cv_herbh,0.5598892765637892
sd_sdH_vegtype_grass,0.5523992726630897
sd_maxHgrasslayer,0.5471349966485277
cv_nlayers,0.5467371566532672
mean_maxpeakh,0.5173034087072009
cv_maxpeakh,0.517142864170301
sd_sdHgrasslayer,0.515099032466579
stdH_plot,0.511779884511171
mean_nlayers,0.5065321045798706
sd_cvHgrasslayer,0.5012825049922811
sd_cvpeakh,0.4977343216824819
cv_stdpeakh,0.49718715971567295
X25thPerc_plot,0.49615563064148793
sd_VDRpeak,0.49072838030678156
cv_meanpeakh,0.4897859728110089
mean_meanpeakh,0.4896743853427831
sd_CD_AboveGgrasslayer,0.4894102513166774
cv_gapsize,0.4882458344608801
mean_ptoh,0.4824568556430411
Cover0p5m_plot,0.46885195234234955
mean_stdpeakh,0.45760682134217173
mean_CD_AboveG,0.45688944433458534
sd_herbh,0.4565599272187504
cv_VDR,0.4537356976553166
cv_VDRpeak,0.4529905576713765
Cover0p25m_plot,0.45260884219167274
cv_cvpeakh,0.44468819444007573
sd_cvH_vegtype_woody,0.44015657369102557
cv_cscore,0.4394729791322617
sd_CD_Ggrasslayer,0.4317539224817408
sd_cvH_vegtype_grass,0.42966133911502075
meanpeakh_plot,0.4244503619069166
mean_PAI_AboveG,0.4005636626107068
X98thPerc_plot,0.40014264732111193
sd_PAI_G,0.39530216419049713
mean_maxHgrasslayer,0.3952480204831426
mean_gapsize,0.3891713658536748
sd_sdH_vegtype_tree,0.38653431956622386
mean_cvH,0.3747899441861649
X75thPerc_plot,0.3746080939309771
cv_maxH,0.372643255146756
mean_cvH_tree,0.36086887712959925
mean_CD_AboveGgrasslayer,0.357207000434849
Y,0.3367256971616231
mean_cvpeakh,0.32908804887553894
nlayers_plot,0.3247532115570999
maxpeakh_plot,0.32436468930151985
horzcover_woody,0.3210973478509136
propMultiLayer,0.3106310807356963
mean_FHD,0.28605806666683065
mean_cvH_vegtype_woody,0.26791792888013527
horzcover_grass,0.26015684099222214
mean_CD_G,0.25580061471915516
mean_VDRpeak,0.2521381421812861
mean_cvHgrasslayer,0.2491800220607585
sd_cvH_vegtype_shrub,0.2437691745021824
stdpeakh_plot,0.21821091487901678
mean_VDR,0.20307235283497735
herbh_plot,0.19844757901044305
cscore_plot,0.1916215931151842
mean_CD_Ggrasslayer,0.18340715476048913
sd_cvH,0.13214731727007656
mean_sdH_vegtype_grass,0.09371748322945192
mean_herbh,0.09302523396288581
mean_sdH_vegtype_shrub,0.0863744163976879
sd_sdH_vegtype_woody,0.06406404734506241
Cover0p05m_plot,0.03909048515178069
sd_ptoh,-0.00039766112230932293
X100thPerc_plot,-0.0016973470667345225
sd_sdH_vegtype_shrub,-0.0035010531500807573
horzcover_shrub,-0.009151419168501818
mean_sdH_vegtype_tree,-0.014050717257748424
mean_sdHgrasslayer,-0.019407953682823553
VDR_plot,-0.019524774751507934
cvpeakh_plot,-0.025952510984967425
mean_sdH_vegtype_woody,-0.02975095048839993
mean_PAI_G,-0.03623905675324046
mean_cvH_vegtype_grass,-0.03886640790359053
horzcover_ground,-0.042261152239024824
cv_CD_G,-0.048925576461809506
cv_CD_Ggrasslayer,-0.049389628735834634
Cover0p0m_plot,-0.05001496406360317
mean_cvH_vegtype_shrub,-0.06526541210708281
gapsize_plot,-0.08532408745714726
X,-0.09999998012246891
cv_FHD,-0.10088017384794767
sd_cvH_vegtype_tree,-0.10442398281003706
VDRpeak_plot,-0.10903604948329448
cv_maxHgrasslayer,-0.12147720799274886
cv_ptoh,-0.1272380638638575
