,Simpson
sd_CD_AboveGgrasslayer,0.6315366801583535
sd_PAI_AboveG,0.622746701334126
mean_PAI_AboveG,0.5940511971486877
sd_PAI_G,0.5650315277734984
mean_sdH_vegtype_tree,0.5517776163247117
sd_herbh,0.5480248550145815
sd_CD_AboveG,0.5473822043897071
mean_CD_AboveGgrasslayer,0.5468307484367492
sd_cvpeakh,0.5405271171487559
horzcover_woody,0.5286448513256569
sd_cvHgrasslayer,0.5276693297978756
sd_FHD,0.5218912279844209
cv_CD_AboveGgrasslayer,0.5175230999437184
cv_CD_AboveG,0.5155620567505762
sd_maxHgrasslayer,0.5075587762976544
sd_sdHgrasslayer,0.5065445833273621
gapsize_plot,0.5059065904239073
propMultiLayer,0.5058139999472314
Cover0p05m_plot,0.4932575339958041
mean_VDRpeak,0.4843979713847012
meanH_plot,0.4765483624996728
mean_CD_AboveG,0.47632064621373565
sd_CD_G,0.46985690306335504
mean_cscore,0.4662138585220638
mean_cvH_vegtype_grass,0.4513710036301733
sd_CD_Ggrasslayer,0.4511041152208795
mean_cvH,0.4483591926516626
sd_VDRpeak,0.4451840901005532
X75thPerc_plot,0.4430522228223881
mean_cvH_vegtype_woody,0.43364722681291523
cv_maxH,0.430892958564581
sd_sdH_vegtype_tree,0.4243491869215062
horzcover_shrub,0.41007506045680936
Cover0p25m_plot,0.40764166773732163
mean_FHD,0.40058689471788445
cvpeakh_plot,0.40022660431269075
X100thPerc_plot,0.3947507392938498
mean_herbh,0.38390326828131244
mean_nlayers,0.38146968921511454
sd_cvH_vegtype_tree,0.37595830613596065
stdH_plot,0.372569797657468
sd_sdH_vegtype_woody,0.356152552932384
mean_cvpeakh,0.3536282043277587
cv_herbh,0.35215404682907
stdpeakh_plot,0.3398503848154156
mean_maxHgrasslayer,0.3391063061716139
Y,0.3273546943075451
cscore_plot,0.32336621178412545
cv_CD_G,0.3156768217377855
cv_meanpeakh,0.31033888923077246
FHD_plot,0.30461868472811277
mean_stdpeakh,0.2992338121568482
sd_cvH_vegtype_grass,0.2955858903205681
sd_gapsize,0.2955463878690733
cv_VDR,0.29315359511471817
Cover0p5m_plot,0.27654084828455583
X,0.2726892990572102
cv_maxpeakh,0.2703622344659724
mean_cvHgrasslayer,0.2678964243079301
sd_nlayers,0.2536327133424668
sd_cscore,0.2497924856715798
mean_CD_G,0.24773294605903795
mean_sdH_vegtype_woody,0.24518895404873092
sd_VDR,0.24224078026259774
sd_sdH_vegtype_shrub,0.2359291777490028
mean_sdH_vegtype_shrub,0.23363180787501184
mean_maxpeakh,0.22546157110712156
Cover1p5m_plot,0.21266515175976114
cv_cscore,0.21247162252077934
mean_gapsize,0.2098324759494595
cv_nlayers,0.19628438654388317
nlayers_plot,0.17781942319508773
mean_maxH,0.16278240205029165
mean_sdHgrasslayer,0.1596749458147283
cv_VDRpeak,0.13660368994371946
cv_cvpeakh,0.09802715440222509
cv_FHD,0.08827726917584641
sd_ptoh,0.08383682463565978
mean_PAI_G,0.07337375938924967
VDRpeak_plot,-0.00030758602089786535
mean_ptoh,-0.0006865651660934446
sd_cvH_vegtype_woody,-0.003965071469161252
meanpeakh_plot,-0.004663078940638776
maxpeakh_plot,-0.005150634220465022
X98thPerc_plot,-0.005708874499118721
X25thPerc_plot,-0.008008131174866762
cv_gapsize,-0.008254950716009013
cv_stdpeakh,-0.010820342360321256
mean_cvH_vegtype_shrub,-0.016523912160511856
mean_cvH_tree,-0.018644688901753526
sd_cvH_vegtype_shrub,-0.021843972641710785
cv_CD_Ggrasslayer,-0.02298490707317047
sd_meanpeakh,-0.02655125782179013
mean_sdH_vegtype_grass,-0.02956602795563157
mean_sdH,-0.031073939452255672
sd_sdH,-0.031486459274890244
X50thPerc_plot,-0.03900657702329369
mean_CD_Ggrasslayer,-0.04070585757119627
herbh_plot,-0.04089314247900777
mean_meanpeakh,-0.041990913342293545
VDR_plot,-0.042198649554626044
cv_maxHgrasslayer,-0.04332448763210994
sd_maxH,-0.04525233686342123
sd_stdpeakh,-0.04657578092080339
horzcover_ground,-0.06008243385424006
horzcover_grass,-0.06309326929261339
Cover0p0m_plot,-0.06389719488092815
sd_cvH,-0.06769548728824049
sd_maxpeakh,-0.06772028985076695
sd_sdH_vegtype_grass,-0.08174202983210765
horzcover_tree,-0.08942362730125275
ptoh_plot,-0.09117191445404149
mean_VDR,-0.12965229608832018
cv_ptoh,-0.16643167563013872
