,Simpson
mean_cvH_vegtype_woody,0.697663512222513
cv_CD_Ggrasslayer,0.6435807701358832
sd_CD_AboveGgrasslayer,0.6273570400828303
stdpeakh_plot,0.6238730724085891
cv_maxHgrasslayer,0.6144873118201091
mean_maxHgrasslayer,0.608696571216247
sd_PAI_AboveG,0.6072045163437259
X,0.6046619594239296
mean_CD_AboveGgrasslayer,0.6030904294454404
mean_PAI_AboveG,0.585219502920076
sd_ptoh,0.5765852037543762
maxpeakh_plot,0.575063739574313
horzcover_grass,0.5606551871311837
horzcover_ground,0.5556098167905731
sd_cvH_vegtype_tree,0.5517809361429753
cv_CD_AboveGgrasslayer,0.5394438917003233
mean_herbh,0.5351441087913756
mean_cvH_tree,0.5264084790574178
sd_PAI_G,0.5231155623770792
mean_PAI_G,0.5153741446682631
mean_CD_Ggrasslayer,0.505213747540662
Cover0p0m_plot,0.491635762699827
VDRpeak_plot,0.48518985731937003
herbh_plot,0.47524695067076744
sd_cvH_vegtype_woody,0.44477230579563176
mean_cvH_vegtype_grass,0.43026705969377504
X100thPerc_plot,0.40278145006109506
mean_sdHgrasslayer,0.3845031978245995
X25thPerc_plot,0.3706251189568886
ptoh_plot,0.366613457426312
meanpeakh_plot,0.3592659423839832
cv_CD_G,0.35597017253410457
cscore_plot,0.34040285963932276
sd_cvH,0.3399833366482115
VDR_plot,0.3353950615546894
cv_FHD,0.32494908718688115
X50thPerc_plot,0.3151844914619257
sd_sdH_vegtype_shrub,0.31222194680515497
cv_cscore,0.30140640419788367
sd_cvHgrasslayer,0.28310676541093766
mean_ptoh,0.27467993743141
Y,0.2691948101672979
sd_herbh,0.25234775843960816
sd_FHD,0.24696362774388805
cv_meanpeakh,0.23926637192486142
sd_sdHgrasslayer,0.23835877639508796
cv_ptoh,0.22095494696236095
mean_sdH_vegtype_tree,0.2147144494201297
mean_sdH_vegtype_grass,0.21191063720411443
nlayers_plot,0.2110096396010003
sd_cvH_vegtype_grass,0.18737209860847756
horzcover_shrub,0.16219617205122028
sd_sdH,0.1621877490293904
mean_cscore,0.16186405357091607
mean_VDRpeak,0.15516985671436867
mean_cvH_vegtype_shrub,0.14962949633140238
sd_cscore,0.13483312430852307
mean_FHD,0.12577984101345424
cv_cvpeakh,0.11661448893626421
cv_maxH,-0.00030256040606424506
cv_gapsize,-0.0006366734339984248
cv_stdpeakh,-0.002874324953697993
propMultiLayer,-0.004481524563929362
sd_maxHgrasslayer,-0.01033834015092605
sd_sdH_vegtype_woody,-0.017714773934376815
cv_nlayers,-0.02031195588419621
sd_sdH_vegtype_grass,-0.02267559274087283
sd_VDR,-0.02500304146265009
sd_CD_AboveG,-0.025393159850847447
Cover0p05m_plot,-0.027994035810614548
cv_VDRpeak,-0.02936066780666824
sd_VDRpeak,-0.040972504057180004
cv_maxpeakh,-0.04235584527726566
horzcover_woody,-0.04435453919020027
cv_herbh,-0.04528799021021879
mean_cvpeakh,-0.053958178463037854
mean_nlayers,-0.05421741026726057
sd_sdH_vegtype_tree,-0.060540240292194625
sd_CD_G,-0.061604191263942454
X75thPerc_plot,-0.061657524281828024
gapsize_plot,-0.06209671577873355
sd_cvpeakh,-0.06290989787185808
cv_VDR,-0.06879984222774027
mean_CD_G,-0.0693757507921795
sd_nlayers,-0.07826394717005947
mean_sdH_vegtype_shrub,-0.08277534738193193
Cover0p5m_plot,-0.0831851546206277
X98thPerc_plot,-0.08363163224608527
meanH_plot,-0.08503546702289455
stdH_plot,-0.0914160789909344
Cover1p5m_plot,-0.10005415939681672
horzcover_tree,-0.10110882183955106
mean_sdH_vegtype_woody,-0.10196292761192094
cv_CD_AboveG,-0.10220458697945212
mean_cvHgrasslayer,-0.109354869377154
sd_gapsize,-0.1199513180391536
mean_CD_AboveG,-0.1290723032550236
cvpeakh_plot,-0.13056100794722258
sd_CD_Ggrasslayer,-0.1353527127517058
mean_maxH,-0.13817753247316222
FHD_plot,-0.14086020316769599
sd_maxH,-0.14213132680799756
Cover0p25m_plot,-0.14342395161541077
mean_sdH,-0.14472968306698508
mean_gapsize,-0.14964377280045227
mean_meanpeakh,-0.15168546957916984
mean_cvH,-0.15506282858421816
mean_maxpeakh,-0.16046469004173858
sd_maxpeakh,-0.16312988441609644
sd_meanpeakh,-0.1637455261775731
mean_stdpeakh,-0.16467781054332242
sd_stdpeakh,-0.19732433594500964
sd_cvH_vegtype_shrub,-0.20430168481249833
mean_VDR,-0.22948357235217554
