,logRichness
sd_sdHgrasslayer,0.7122573001078895
mean_sdH_vegtype_grass,0.651641499548738
sd_maxHgrasslayer,0.6370214194506584
sd_CD_G,0.6279198515250275
sd_herbh,0.617371075640425
sd_cvH_vegtype_shrub,0.5627819929383711
sd_PAI_G,0.5553970635758738
mean_PAI_AboveG,0.5215417497704177
sd_stdpeakh,0.5212266633173311
horzcover_grass,0.5184820898238778
cv_ptoh,0.5161920627113706
mean_cvpeakh,0.49113611992986606
X50thPerc_plot,0.4828633439346491
VDRpeak_plot,0.45806204089919833
mean_CD_AboveGgrasslayer,0.45087817333925
mean_gapsize,0.44816056403139587
sd_cvH_vegtype_grass,0.43024051243584777
cv_maxpeakh,0.42403585817017925
sd_cvpeakh,0.4209209144202616
horzcover_shrub,0.4162227863661016
mean_cvHgrasslayer,0.41584760191880765
horzcover_woody,0.403723107952171
mean_stdpeakh,0.40232179427493764
X,0.39332989442552246
sd_VDRpeak,0.38979109762287456
herbh_plot,0.3857586642115296
Cover0p5m_plot,0.3831007933213137
stdH_plot,0.3765940964182185
stdpeakh_plot,0.37197158736844216
sd_gapsize,0.3714343069895749
mean_cvH,0.3582686695678508
X25thPerc_plot,0.35726471310541513
propMultiLayer,0.3533544522373928
cv_CD_G,0.35216418424264867
mean_PAI_G,0.3349926608487559
horzcover_tree,0.33434038721387277
mean_meanpeakh,0.33410281387798185
sd_meanpeakh,0.3210640726076437
sd_PAI_AboveG,0.3201926529510856
mean_cvH_vegtype_woody,0.31863393903405685
sd_cvHgrasslayer,0.31622696996765265
sd_sdH_vegtype_grass,0.3160729114475555
VDR_plot,0.31215698408604886
cv_CD_AboveG,0.31089793832612234
sd_CD_AboveG,0.3085973571612952
cv_cscore,0.3055621818166937
mean_cvH_tree,0.30385577875086045
cv_stdpeakh,0.2982852192785854
cv_gapsize,0.29773455579452646
Cover1p5m_plot,0.2956886197506751
cv_CD_AboveGgrasslayer,0.28424751414657057
mean_nlayers,0.28141202096649637
mean_maxH,0.2753922352946718
cv_herbh,0.2580350933680903
mean_maxpeakh,0.25619306835714567
sd_FHD,0.25520553061909473
mean_CD_G,0.2526391090858919
horzcover_ground,0.2521117561493565
sd_sdH_vegtype_woody,0.25207235720078996
mean_cscore,0.24318392949178996
maxpeakh_plot,0.2385606597211082
Y,0.22670277296176952
cv_CD_Ggrasslayer,0.22517359054450228
sd_sdH_vegtype_tree,0.21771050670607747
sd_maxpeakh,0.21328664592905447
mean_cvH_vegtype_grass,0.2071635505508369
mean_VDRpeak,0.20645859491343024
cv_VDRpeak,0.20509542471686054
mean_herbh,0.19759193097750685
Cover0p25m_plot,0.19740173056161
mean_CD_Ggrasslayer,0.17808267240030526
sd_ptoh,0.1771080356578268
cv_cvpeakh,0.1607821248523356
cv_maxH,0.13819474274925073
mean_cvH_vegtype_shrub,0.1271663353108543
Cover0p05m_plot,0.1266323538769127
sd_sdH_vegtype_shrub,0.11359388766544426
cv_meanpeakh,0.103453612842315
sd_CD_AboveGgrasslayer,0.09475282341441456
sd_CD_Ggrasslayer,0.07228671371571113
mean_sdHgrasslayer,0.05884034535997058
cv_maxHgrasslayer,-0.0005923995255532333
X98thPerc_plot,-0.005169373680703693
cv_FHD,-0.005182056672267343
meanH_plot,-0.006594629551091913
mean_sdH,-0.012069783430280978
sd_maxH,-0.01956350641986937
gapsize_plot,-0.02352896768491952
sd_cvH_vegtype_woody,-0.023690255339735344
meanpeakh_plot,-0.025675653140597277
cvpeakh_plot,-0.03042004705712742
Cover0p0m_plot,-0.0394419789343905
ptoh_plot,-0.044153190366080786
sd_cscore,-0.053732845319660605
nlayers_plot,-0.0570373275886773
sd_nlayers,-0.06055857109023588
mean_maxHgrasslayer,-0.07148018937374712
mean_VDR,-0.07862275436758193
cv_nlayers,-0.07898356663423112
mean_sdH_vegtype_woody,-0.08567538482053205
mean_CD_AboveG,-0.09224427137084312
sd_sdH,-0.09394749681197379
FHD_plot,-0.10627227110974857
mean_ptoh,-0.10650568651822212
cv_VDR,-0.11259660769815483
sd_cvH,-0.11531365618946232
mean_sdH_vegtype_shrub,-0.11564892398194004
sd_VDR,-0.11653674023060567
X75thPerc_plot,-0.11844986720205508
mean_FHD,-0.12978676400310007
cscore_plot,-0.13488590307779003
X100thPerc_plot,-0.1354780538882876
sd_cvH_vegtype_tree,-0.14054930783369457
mean_sdH_vegtype_tree,-0.15370799768467158
