,logRichness
sd_sdHgrasslayer,0.6912901216893933
sd_maxHgrasslayer,0.6602131521142333
mean_cscore,0.6420886205193662
sd_herbh,0.6237810190456389
sd_CD_AboveG,0.5807744069469819
mean_PAI_AboveG,0.5671630055805877
stdH_plot,0.5662295524778201
sd_CD_G,0.563816837264384
FHD_plot,0.5596587284159081
mean_CD_AboveGgrasslayer,0.5591971744504709
sd_maxH,0.550945897414824
sd_CD_AboveGgrasslayer,0.5503558737768944
sd_maxpeakh,0.5459431301253709
sd_stdpeakh,0.5387812933279731
sd_PAI_AboveG,0.5174588897799823
sd_cvH_vegtype_shrub,0.5130690936987479
sd_gapsize,0.5040135772434454
cv_herbh,0.4828030347797095
cv_maxHgrasslayer,0.48037813052754763
mean_sdH,0.4802591183556993
sd_meanpeakh,0.4790751777765563
X75thPerc_plot,0.4778963815855805
sd_cvpeakh,0.477482210216194
sd_PAI_G,0.47635318190833476
mean_CD_AboveG,0.45267614380714716
mean_FHD,0.4497083594602265
horzcover_shrub,0.44676618582803496
mean_cvH_vegtype_grass,0.44547844877466386
sd_sdH,0.4415588529703295
Cover0p25m_plot,0.4372750548101227
cv_ptoh,0.4361673869346741
herbh_plot,0.4256673624515797
mean_maxHgrasslayer,0.4082210005509421
cv_CD_AboveGgrasslayer,0.40747363000766484
mean_cvH,0.39868913075968443
cv_CD_AboveG,0.3981811056637173
meanH_plot,0.397859705033941
cv_stdpeakh,0.37566448906884076
mean_cvpeakh,0.3756360025301759
Cover0p5m_plot,0.37531602786534823
horzcover_woody,0.3710708188484375
X,0.36601947986490385
sd_cvH,0.36427087634575167
cv_maxH,0.3613905298834431
cv_gapsize,0.3502046795699146
mean_herbh,0.34532273105860073
mean_PAI_G,0.33466169055184336
X98thPerc_plot,0.33296493543695427
mean_CD_Ggrasslayer,0.32541998535466005
sd_nlayers,0.3231202098081854
cv_CD_G,0.320961315396953
VDR_plot,0.308672940249909
cv_cscore,0.30692854939095754
sd_cvH_vegtype_grass,0.2970837538092486
sd_CD_Ggrasslayer,0.29423448372960465
Y,0.292512856986002
X100thPerc_plot,0.28676422228688786
sd_sdH_vegtype_shrub,0.27927456910282317
mean_nlayers,0.2759632576273264
cv_VDRpeak,0.27477946562168004
mean_sdHgrasslayer,0.26080557382332653
mean_ptoh,0.23439049938881737
horzcover_ground,0.23430882969548017
sd_VDRpeak,0.2179570690737509
propMultiLayer,0.20616125118774542
cv_cvpeakh,0.2047082257936913
mean_VDR,0.19139543861532293
mean_CD_G,0.18818063663954954
Cover1p5m_plot,0.18783466276626204
cscore_plot,0.1852735361382671
mean_stdpeakh,0.17798267667590237
mean_cvH_vegtype_shrub,0.1735279474020885
mean_sdH_vegtype_shrub,0.16596645839571975
mean_gapsize,0.14755941525927502
cv_CD_Ggrasslayer,0.11537618232854858
Cover0p05m_plot,0.08663934040475574
cv_VDR,0.0766255885002786
mean_maxH,0.06353640457203995
mean_sdH_vegtype_grass,0.02069810923626657
sd_cscore,-0.0012773723991266195
X50thPerc_plot,-0.0014025667708619238
cvpeakh_plot,-0.003259913095072342
sd_FHD,-0.006880123801840554
sd_sdH_vegtype_tree,-0.011428590810775852
cv_nlayers,-0.01368229020209455
gapsize_plot,-0.014163933669287587
mean_VDRpeak,-0.01445046807744177
mean_maxpeakh,-0.015899912427172147
VDRpeak_plot,-0.016089256661528495
sd_ptoh,-0.016187647747615053
sd_cvHgrasslayer,-0.01676068354911031
mean_meanpeakh,-0.01781336372871767
X25thPerc_plot,-0.01812994831205028
horzcover_grass,-0.020644110485093847
mean_cvHgrasslayer,-0.02124120059509771
sd_sdH_vegtype_woody,-0.02962289948027852
mean_cvH_vegtype_woody,-0.03089245863720702
cv_meanpeakh,-0.03864178191747758
sd_VDR,-0.03870156607696895
horzcover_tree,-0.041595755105436005
sd_cvH_vegtype_woody,-0.042168402766979085
Cover0p0m_plot,-0.04314202615643037
sd_sdH_vegtype_grass,-0.04999318164125288
ptoh_plot,-0.05614140295010994
nlayers_plot,-0.061022081898642
mean_cvH_tree,-0.06268299529918142
stdpeakh_plot,-0.07722307689315322
cv_FHD,-0.07979834119596685
cv_maxpeakh,-0.08205993408510892
mean_sdH_vegtype_woody,-0.1081027679166926
maxpeakh_plot,-0.11583906511564557
sd_cvH_vegtype_tree,-0.13462908123916772
meanpeakh_plot,-0.1369155192930842
mean_sdH_vegtype_tree,-0.14013727508262708
