,logRichness
mean_FHD,0.7163924193566569
sd_CD_AboveGgrasslayer,0.7000189506096899
sd_PAI_AboveG,0.6977775570461189
mean_maxHgrasslayer,0.6926351775661114
mean_sdHgrasslayer,0.6875734460919379
propMultiLayer,0.6815500775337519
sd_herbh,0.6794568964357254
cv_CD_AboveGgrasslayer,0.6713624148177801
mean_VDRpeak,0.6685440821993593
horzcover_woody,0.6623145347573806
stdH_plot,0.6565324035317748
mean_cvpeakh,0.654394105856889
sd_cvH,0.6513366173201023
sd_maxHgrasslayer,0.6457155329736755
mean_CD_AboveGgrasslayer,0.6439513089544456
sd_ptoh,0.6331991005521638
horzcover_ground,0.6293376740119149
sd_CD_Ggrasslayer,0.6291879590457612
mean_PAI_AboveG,0.6262316949588962
sd_sdH,0.6242365073140276
sd_sdHgrasslayer,0.6237627264394325
sd_meanpeakh,0.6185591228853896
cv_maxpeakh,0.618188766612056
sd_VDRpeak,0.6128522460987624
mean_cscore,0.6103619749639171
FHD_plot,0.6084936044908621
X98thPerc_plot,0.60591412688243
sd_PAI_G,0.6039499551001816
sd_maxpeakh,0.5969026551187183
mean_stdpeakh,0.5938677455714937
sd_FHD,0.5931108475656502
sd_maxH,0.5901502265477564
cv_cscore,0.5871518484288412
mean_CD_G,0.5835775608857658
mean_gapsize,0.580770050774617
sd_cscore,0.5636291185276893
sd_CD_G,0.5605709744945393
herbh_plot,0.5582468260410455
Cover0p05m_plot,0.5568027268446316
horzcover_shrub,0.5532452049842362
mean_CD_AboveG,0.5524663454535377
cv_stdpeakh,0.5406733684887554
sd_nlayers,0.5398150533424007
sd_stdpeakh,0.5378376049259496
cv_cvpeakh,0.5343721437984372
VDR_plot,0.5243796018986541
mean_CD_Ggrasslayer,0.5243762253993571
Cover0p25m_plot,0.5226843039799047
cv_gapsize,0.5171851611623577
horzcover_grass,0.5147833108416306
cv_CD_AboveG,0.5117151404782382
cv_CD_Ggrasslayer,0.5108640355398487
mean_cvH_vegtype_woody,0.5074014923561788
Cover1p5m_plot,0.49622555170183646
meanH_plot,0.49617184096708955
sd_gapsize,0.4946260176880544
mean_cvHgrasslayer,0.48208119646260505
mean_sdH,0.4784804643290468
sd_cvpeakh,0.478259972682068
mean_PAI_G,0.47151090963875103
horzcover_tree,0.471217858443358
mean_nlayers,0.46990445554721877
cv_maxH,0.467294939352382
X100thPerc_plot,0.46595451896179974
mean_herbh,0.4647404366742937
cv_VDRpeak,0.46245346298474316
mean_meanpeakh,0.4530706755765346
cv_nlayers,0.4503679360605889
sd_sdH_vegtype_shrub,0.4466204645804424
cscore_plot,0.4419499198059101
cv_CD_G,0.4341510424599689
Cover0p5m_plot,0.43232755306392223
mean_sdH_vegtype_woody,0.424028006140463
mean_maxpeakh,0.4233610531249834
cv_FHD,0.4217359923350247
sd_CD_AboveG,0.41921543436797704
Y,0.4178179634469334
cv_maxHgrasslayer,0.40719642114387977
mean_VDR,0.4009253059739286
mean_maxH,0.3974980922785882
cv_ptoh,0.39556988822269334
sd_sdH_vegtype_tree,0.39172009627369403
cv_herbh,0.3769071567636136
mean_sdH_vegtype_tree,0.37199065214733934
mean_sdH_vegtype_shrub,0.36728915955296887
X50thPerc_plot,0.3598339172827586
mean_cvH_vegtype_grass,0.3497553455318724
X75thPerc_plot,0.349613517440629
mean_cvH,0.34119152620164944
X25thPerc_plot,0.332461741944584
mean_sdH_vegtype_grass,0.3262185297552744
sd_sdH_vegtype_grass,0.2893529094495146
mean_ptoh,0.2860327870912453
cv_VDR,0.27901087131101926
meanpeakh_plot,0.2736381475925596
sd_cvHgrasslayer,0.27148610445308313
Cover0p0m_plot,0.26513836527865253
gapsize_plot,0.24458448955218348
sd_sdH_vegtype_woody,0.2381039798524409
stdpeakh_plot,0.23382092092780637
sd_cvH_vegtype_shrub,0.22116572996530254
X,0.196204144748542
maxpeakh_plot,0.1890790276474823
sd_VDR,0.17180449169494522
ptoh_plot,0.16627334357662896
sd_cvH_vegtype_grass,0.15769839294471996
mean_cvH_tree,0.1196832099941338
VDRpeak_plot,0.037240569104745214
mean_cvH_vegtype_shrub,-0.006983310781246921
cvpeakh_plot,-0.0122851276744953
sd_cvH_vegtype_woody,-0.06649713844747485
cv_meanpeakh,-0.07092133507200415
nlayers_plot,-0.13938805127188392
sd_cvH_vegtype_tree,-0.1685526811849405
