,shannonH
sd_CD_Ggrasslayer,0.6374527488300574
sd_cvH,0.609277616154913
sd_PAI_AboveG,0.5988457223617165
sd_CD_AboveGgrasslayer,0.5599838051095405
sd_herbh,0.5491784356234253
sd_CD_AboveG,0.5453584342654848
mean_maxH,0.5340736160847718
mean_sdHgrasslayer,0.5302343045132476
Y,0.5286247123123023
mean_PAI_AboveG,0.5259768427992854
mean_CD_AboveGgrasslayer,0.5114702941461166
mean_meanpeakh,0.5006989068713266
sd_sdH_vegtype_grass,0.4977748260936121
sd_PAI_G,0.476594065608178
X25thPerc_plot,0.4757930288764039
X50thPerc_plot,0.4668175230536976
mean_sdH_vegtype_grass,0.44812413504431503
Cover1p5m_plot,0.44263017388334897
sd_maxHgrasslayer,0.42600311825530396
cv_CD_AboveGgrasslayer,0.42067940909773793
sd_sdHgrasslayer,0.41325634279390955
sd_cvHgrasslayer,0.40540082280260514
cv_VDR,0.40451933004436474
mean_maxHgrasslayer,0.4012533577194256
mean_sdH,0.39944029301540074
cv_cvpeakh,0.3900396852810592
mean_cscore,0.38980040533057025
cv_VDRpeak,0.38362664034773203
sd_CD_G,0.3835697844128158
FHD_plot,0.3783442752566765
maxpeakh_plot,0.37534705538289376
mean_PAI_G,0.3749604762325438
sd_VDRpeak,0.37474423171612276
cv_CD_AboveG,0.36629141854656977
Cover0p25m_plot,0.353028807707922
mean_CD_G,0.3521140410590016
Cover0p05m_plot,0.34933570509979406
horzcover_ground,0.3459853445475422
sd_VDR,0.342604498160111
Cover0p5m_plot,0.32698706178366993
cv_stdpeakh,0.3151009876707802
mean_herbh,0.3102025961541395
mean_CD_AboveG,0.3040885764173053
mean_maxpeakh,0.2970636282698153
sd_cvH_vegtype_grass,0.2947844678853784
mean_nlayers,0.2888572795355173
mean_cvHgrasslayer,0.2834027101570856
sd_sdH_vegtype_woody,0.28280645074265137
mean_gapsize,0.27825408913035
cv_gapsize,0.2733435352400883
sd_ptoh,0.2571184449686755
mean_cvH,0.24957343517742847
X100thPerc_plot,0.2411145454678765
VDR_plot,0.23979852182431743
mean_cvH_tree,0.2334043170517164
meanpeakh_plot,0.2099173810203573
mean_CD_Ggrasslayer,0.2084518192037804
horzcover_woody,0.18462419412873593
mean_sdH_vegtype_shrub,0.18092127331338467
stdpeakh_plot,0.14716314870761044
mean_stdpeakh,0.14310814088265023
X,0.13386499052256684
mean_cvpeakh,0.09292063982943703
mean_FHD,0.06100999664606461
cv_ptoh,0.060139138461797886
cv_maxH,0.047902483641448425
sd_nlayers,-0.003180035658269631
mean_VDRpeak,-0.004847134351511073
mean_cvH_vegtype_woody,-0.006498360733184327
sd_cvpeakh,-0.008648186395484814
cscore_plot,-0.008665888146427214
mean_cvH_vegtype_grass,-0.01202550374345357
cv_FHD,-0.012890601693245962
mean_ptoh,-0.015407553893374448
propMultiLayer,-0.016702302111410994
cv_cscore,-0.020488177683184006
sd_cscore,-0.023257620132346446
gapsize_plot,-0.025693389387936527
cv_herbh,-0.027860102317615265
herbh_plot,-0.036275935377504176
sd_cvH_vegtype_tree,-0.04196463788011906
sd_stdpeakh,-0.04343442093066496
Cover0p0m_plot,-0.04393759247268214
sd_maxH,-0.04768759142577306
sd_maxpeakh,-0.04795889471091197
sd_gapsize,-0.050757835490140124
sd_cvH_vegtype_woody,-0.051698467163153516
cv_CD_Ggrasslayer,-0.053485952999207775
sd_cvH_vegtype_shrub,-0.053966612725668384
sd_sdH_vegtype_shrub,-0.054478892904386456
sd_meanpeakh,-0.05448457143366081
mean_sdH_vegtype_woody,-0.06031671726755228
cvpeakh_plot,-0.060896809178400346
sd_sdH,-0.060995445216518895
horzcover_tree,-0.06158932396300276
mean_sdH_vegtype_tree,-0.06673326629739806
mean_VDR,-0.06803992901839795
cv_nlayers,-0.07517124341050518
nlayers_plot,-0.07775668345701625
sd_FHD,-0.08269360344714194
horzcover_grass,-0.08423732240958337
cv_CD_G,-0.08997008015968166
VDRpeak_plot,-0.0915831197565593
horzcover_shrub,-0.09466795724938937
cv_maxpeakh,-0.09641608778994737
cv_maxHgrasslayer,-0.10418549631920282
X98thPerc_plot,-0.10708996760020817
ptoh_plot,-0.11471167915162894
stdH_plot,-0.1150258064155727
mean_cvH_vegtype_shrub,-0.11634855409500666
cv_meanpeakh,-0.13996486196806757
sd_sdH_vegtype_tree,-0.1480493297541461
meanH_plot,-0.16459717232716997
X75thPerc_plot,-0.20702238441674847
