,shannonH
sd_FHD,0.7314839628451043
sd_sdH_vegtype_grass,0.7217893963710499
mean_cvHgrasslayer,0.7177807660772336
X100thPerc_plot,0.7066871794107362
mean_sdH_vegtype_tree,0.7027644968545946
sd_VDRpeak,0.6978053735924479
cscore_plot,0.6972433707078242
cv_VDRpeak,0.6945666331916871
cv_CD_AboveG,0.6941430277832733
cv_cvpeakh,0.6758811773556421
propMultiLayer,0.6722154246884501
cv_stdpeakh,0.6685250329417541
sd_cvpeakh,0.6677855103037869
cv_CD_AboveGgrasslayer,0.6661500816118879
mean_VDRpeak,0.6623959057082451
sd_sdH,0.6532007234804297
gapsize_plot,0.6523636671965055
mean_CD_AboveG,0.6509018977560578
mean_cvpeakh,0.6494385775725062
mean_nlayers,0.6425255103154812
cv_gapsize,0.641578905281821
mean_cvH_vegtype_shrub,0.6365951428309682
Cover0p25m_plot,0.632365995175886
horzcover_woody,0.630277180309254
Cover0p5m_plot,0.6233029787622248
horzcover_grass,0.6224535920710623
maxpeakh_plot,0.6131451495783002
horzcover_shrub,0.6128318256916567
mean_sdHgrasslayer,0.6084052892634478
Cover1p5m_plot,0.6068458852313967
X75thPerc_plot,0.6036957706796373
mean_PAI_AboveG,0.6015840701573123
sd_cvH_vegtype_grass,0.6009121967652941
sd_stdpeakh,0.5955958055569437
sd_gapsize,0.5913005835990826
mean_CD_AboveGgrasslayer,0.5902911994549286
horzcover_ground,0.590055943609432
mean_gapsize,0.5897044419114778
sd_cvH_vegtype_woody,0.5815860151352714
cv_CD_Ggrasslayer,0.5806134140446735
sd_cvHgrasslayer,0.5797988520338341
sd_PAI_G,0.5786846646882613
sd_cvH,0.5775095091604225
mean_sdH_vegtype_shrub,0.5691434180323038
mean_maxHgrasslayer,0.569101639018309
sd_meanpeakh,0.564091406322456
sd_CD_Ggrasslayer,0.5598290689481661
sd_CD_AboveGgrasslayer,0.5571948188257907
sd_PAI_AboveG,0.5537105360589379
sd_cscore,0.5529010278501025
sd_CD_AboveG,0.5525934852482024
Y,0.5516688638828762
meanH_plot,0.5357557323402015
stdpeakh_plot,0.5306605688659513
sd_herbh,0.530651330252425
mean_stdpeakh,0.5287848077011384
sd_sdHgrasslayer,0.5231877487141277
sd_sdH_vegtype_shrub,0.5225294029023783
sd_maxH,0.5214380090758453
mean_cvH,0.5209190479233601
mean_cvH_vegtype_grass,0.5201748863322126
sd_nlayers,0.5144541514229934
mean_sdH_vegtype_grass,0.5133184985170742
FHD_plot,0.5119350337180031
X25thPerc_plot,0.5066302358922818
sd_maxpeakh,0.5032845457198323
cv_herbh,0.4861509791265886
X50thPerc_plot,0.48358696336974466
mean_sdH,0.4823198828073763
mean_cscore,0.47925193940725747
horzcover_tree,0.47691187910938815
cv_CD_G,0.4754023034630158
sd_CD_G,0.46883289459684974
mean_cvH_tree,0.46839940617435377
X98thPerc_plot,0.4591670132952413
mean_maxH,0.45890791902169153
cv_meanpeakh,0.45714683560248565
cv_maxH,0.4565007916076193
mean_sdH_vegtype_woody,0.44885705445575474
mean_ptoh,0.44321218424923886
cv_maxHgrasslayer,0.43720697752256105
mean_cvH_vegtype_woody,0.43470272076656374
sd_cvH_vegtype_tree,0.4192366219730125
Cover0p05m_plot,0.4165993189624886
mean_meanpeakh,0.410825694908252
mean_maxpeakh,0.40664065924676335
mean_herbh,0.4047963075089868
cv_cscore,0.40330414810758114
herbh_plot,0.40109026784875124
mean_PAI_G,0.3997605151152855
X,0.3845812538503541
sd_maxHgrasslayer,0.38195259758682815
cv_maxpeakh,0.37715626493926474
mean_CD_G,0.3689408145404942
Cover0p0m_plot,0.3528185754434557
mean_FHD,0.3359375243292595
cv_nlayers,0.3216366253616504
mean_CD_Ggrasslayer,0.2895064303286315
nlayers_plot,0.28931426376898356
meanpeakh_plot,0.28019920266949216
cv_VDR,0.2579491881623742
stdH_plot,0.2510421677525041
ptoh_plot,0.23735918107087128
sd_sdH_vegtype_woody,0.23675018825498673
sd_VDR,0.18303282176062316
cv_ptoh,0.15355252175380496
VDRpeak_plot,-0.0017867550971910617
cv_FHD,-0.0026904698530803017
sd_ptoh,-0.021115118947256484
sd_sdH_vegtype_tree,-0.024874955761982953
mean_VDR,-0.03152644514794112
cvpeakh_plot,-0.03482017232540091
VDR_plot,-0.08989997899691549
sd_cvH_vegtype_shrub,-0.1374833271453033
