,shannonH
maxpeakh_plot,0.848358808386281
meanpeakh_plot,0.8168023458326589
mean_cvH_vegtype_shrub,0.8045892187131016
mean_ptoh,0.778014163874131
ptoh_plot,0.777449517783635
stdpeakh_plot,0.7720750894531417
mean_cvH_vegtype_woody,0.7644619694090188
X100thPerc_plot,0.7569219082348605
horzcover_grass,0.7541984315488671
mean_sdH_vegtype_tree,0.7498051294667117
sd_cvH_vegtype_woody,0.7327188546585791
cscore_plot,0.7277882713004338
herbh_plot,0.7231741128648373
mean_cvH_tree,0.7157323951960146
gapsize_plot,0.7082145040800298
mean_PAI_G,0.6984054167346534
X,0.6964663411543978
mean_CD_AboveGgrasslayer,0.6917622874754097
cv_CD_AboveGgrasslayer,0.6871747082916023
mean_herbh,0.6788565123270437
sd_sdH_vegtype_grass,0.6782972961750331
sd_FHD,0.6688359439578608
cv_ptoh,0.6677249537373524
sd_PAI_G,0.6570235094168685
cv_CD_Ggrasslayer,0.6494622034437216
X50thPerc_plot,0.6488829946793244
cv_CD_AboveG,0.6423162183644501
sd_cvH_vegtype_tree,0.6332933382934876
sd_cvH_vegtype_grass,0.627557737128217
sd_cvHgrasslayer,0.6238195908347199
mean_maxHgrasslayer,0.6232775970501072
mean_cvH_vegtype_grass,0.6177771179149824
mean_sdHgrasslayer,0.5920380927697056
sd_cvH,0.5867725511382273
mean_CD_Ggrasslayer,0.5781443766616092
cv_maxHgrasslayer,0.5735790312173609
sd_ptoh,0.5618893821827134
X25thPerc_plot,0.5590013663557435
cv_herbh,0.5422143262071569
mean_sdH_vegtype_grass,0.518523297552911
mean_PAI_AboveG,0.5153872861443276
Y,0.5133884147332036
sd_sdH,0.5124663202656959
sd_cvH_vegtype_shrub,0.5089614788712052
sd_VDRpeak,0.5059365535736173
mean_sdH_vegtype_woody,0.4967031145516852
cv_maxH,0.4943942630721763
mean_stdpeakh,0.4912878448520611
sd_sdH_vegtype_woody,0.4905567944133459
sd_CD_AboveGgrasslayer,0.4798694330051509
Cover1p5m_plot,0.47539262860918985
horzcover_shrub,0.46826153440827295
mean_VDRpeak,0.462981184512635
Cover0p5m_plot,0.46114798608091206
cv_stdpeakh,0.4606894848650796
X98thPerc_plot,0.4579635537479155
propMultiLayer,0.4508884949922621
horzcover_ground,0.4377056533287662
mean_FHD,0.43231478703326826
sd_PAI_AboveG,0.43046244822070145
cv_maxpeakh,0.4282414844470516
cv_gapsize,0.42663387438724915
horzcover_woody,0.42174168800107853
stdH_plot,0.4214378128316923
cv_VDR,0.41797762052685
mean_gapsize,0.4099348777060501
Cover0p25m_plot,0.4031169268251729
sd_nlayers,0.391097178976541
sd_stdpeakh,0.3806438981464833
cv_cscore,0.37836259456782123
mean_cscore,0.37828294316322775
mean_maxH,0.37704495023741813
sd_maxH,0.37200914120830464
mean_cvH,0.37034324283834286
cv_meanpeakh,0.3579819981549078
mean_maxpeakh,0.35503983847021053
mean_CD_AboveG,0.35412294560517477
sd_meanpeakh,0.34671101012618244
sd_gapsize,0.34397739185945414
cv_cvpeakh,0.3424741291667381
meanH_plot,0.3347667768354306
horzcover_tree,0.323338173398373
cv_VDRpeak,0.3215722437454573
FHD_plot,0.31766236899265704
Cover0p0m_plot,0.31410029677352913
sd_maxpeakh,0.3114366506899425
sd_sdH_vegtype_shrub,0.3037533726047693
cvpeakh_plot,0.2939224195106484
mean_meanpeakh,0.26769485042183583
mean_nlayers,0.24066584583344192
sd_VDR,0.2120162980284572
mean_cvpeakh,0.2086702173204055
X75thPerc_plot,0.16891057722233827
mean_CD_G,0.1658175375004916
mean_sdH_vegtype_shrub,-0.001842169870505117
mean_sdH,-0.007439147022685333
sd_CD_Ggrasslayer,-0.008779276662687963
VDRpeak_plot,-0.025886997141887136
sd_herbh,-0.03389946457827442
sd_CD_AboveG,-0.03740838643973632
mean_cvHgrasslayer,-0.03815197558478278
sd_sdHgrasslayer,-0.04265672885069538
sd_cscore,-0.04558295004673152
cv_CD_G,-0.04585492554200865
mean_VDR,-0.05003674590101159
sd_cvpeakh,-0.05118801250014737
Cover0p05m_plot,-0.052156416426461405
sd_CD_G,-0.05878906927424321
nlayers_plot,-0.06532433616877675
VDR_plot,-0.06825999027484375
sd_sdH_vegtype_tree,-0.0894256049505957
cv_FHD,-0.10794046644323263
sd_maxHgrasslayer,-0.11346740244651166
cv_nlayers,-0.12659733935991202
