,Abundance
mean_CD_Ggrasslayer,0.5570302084190998
mean_PAI_G,0.5543373828259135
mean_cvH_tree,0.5470719218161134
X,0.5316407099690579
mean_herbh,0.5204847182258577
herbh_plot,0.5016349390735539
sd_PAI_G,0.4850932961439812
Cover0p0m_plot,0.4758607512530569
mean_CD_G,0.47470668314169134
Cover0p05m_plot,0.44508560161664257
VDRpeak_plot,0.42749875390462194
mean_maxHgrasslayer,0.4235429968711525
horzcover_grass,0.4100788689052212
sd_cvH_vegtype_woody,0.3746874468233447
mean_sdHgrasslayer,0.34775919089148216
sd_cvH_vegtype_tree,0.33160366715321776
mean_cvH_vegtype_shrub,0.32621658614599214
gapsize_plot,0.3036041865994138
mean_cvH_vegtype_woody,0.30275053454822615
sd_CD_Ggrasslayer,0.2950567471391226
ptoh_plot,0.25658781009360465
mean_sdH_vegtype_tree,0.24956758854303276
mean_cvHgrasslayer,0.23042893290265246
mean_CD_AboveGgrasslayer,0.2238892136049144
mean_cvH,0.22196576675263852
mean_PAI_AboveG,0.20311598760033472
mean_sdH_vegtype_woody,0.20311598760033472
sd_sdH_vegtype_shrub,0.20080785137760362
mean_cvH_vegtype_grass,0.16849394425936856
sd_CD_AboveGgrasslayer,0.13733410525249903
mean_FHD,0.13348721154794724
sd_PAI_AboveG,0.13002500721385063
sd_cvH,0.12040777295247114
FHD_plot,0.12002308358201597
sd_cvH_vegtype_shrub,0.11348336428427792
cv_VDRpeak,0.1061742662456295
cv_stdpeakh,0.1046355087638088
nlayers_plot,0.10003721084204613
sd_herbh,0.0988651682069811
cv_gapsize,0.09617234261379484
sd_sdHgrasslayer,0.09347951702060858
cv_VDR,0.09117138079787751
sd_sdH_vegtype_woody,0.08732448709332571
sd_sdH,0.08655510835241537
Y,0.08001538905467731
maxpeakh_plot,0.07874970012817598
meanpeakh_plot,0.07816713908280197
cv_maxH,0.07616849535012551
mean_sdH_vegtype_grass,0.06462781423647014
cv_cvpeakh,0.06231967801373906
stdpeakh_plot,0.05890280096682237
cvpeakh_plot,0.05004813154043731
mean_cscore,0.046547413825076704
cv_CD_AboveG,0.039623005156883474
mean_sdH,0.033467975229600606
mean_meanpeakh,0.030390460265959172
sd_maxHgrasslayer,0.026543566561407377
sd_gapsize,0.021542604745490045
cv_maxpeakh,0.01154068111365538
horzcover_shrub,0.008847855520469126
sd_CD_G,0.004231583075006973
mean_maxH,0.0026928255931862556
sd_cvpeakh,-0.008847855520469126
sd_maxpeakh,-0.01154068111365538
sd_stdpeakh,-0.01154068111365538
sd_meanpeakh,-0.016926332300027894
sd_CD_AboveG,-0.02385074096822112
Cover0p5m_plot,-0.02385074096822112
Cover1p5m_plot,-0.026928255931862558
stdH_plot,-0.030390460265959172
mean_maxpeakh,-0.03385266460005579
mean_cvpeakh,-0.035391422081876504
X98thPerc_plot,-0.04193114137961455
sd_maxH,-0.04346989886143527
horzcover_woody,-0.04385458823189045
Cover0p25m_plot,-0.05000961815917332
mean_gapsize,-0.05462589060463547
mean_stdpeakh,-0.05616464808645619
X100thPerc_plot,-0.060780920531918345
cscore_plot,-0.06163332312691071
sd_VDR,-0.06231967801373906
mean_CD_AboveG,-0.07386035912739444
horzcover_tree,-0.07733743747595229
mean_nlayers,-0.085785729611505
sd_cscore,-0.09117138079787751
X25thPerc_plot,-0.09117138079787751
propMultiLayer,-0.1061742662456295
cv_nlayers,-0.1080977130979054
mean_sdH_vegtype_shrub,-0.11232929617291237
sd_nlayers,-0.12271590917520223
cv_meanpeakh,-0.12617811350929883
mean_VDRpeak,-0.13156376469567135
cv_cscore,-0.13925755210477495
sd_VDRpeak,-0.16080015685026497
meanH_plot,-0.18542027655939647
mean_VDR,-0.24081554590494228
X50thPerc_plot,-0.2715906955413566
X75thPerc_plot,-0.28082324043228096
sd_sdH_vegtype_tree,-0.28366692242316993
cv_CD_AboveGgrasslayer,-0.28851702784138455
sd_sdH_vegtype_grass,-0.3058280495118676
sd_FHD,-0.3227543818118955
mean_ptoh,-0.36276207633923413
VDR_plot,-0.38764909580607926
cv_FHD,-0.39315253660519334
sd_cvHgrasslayer,-0.4212348606484214
sd_cvH_vegtype_grass,-0.4235429968711525
cv_herbh,-0.44277746539391144
cv_maxHgrasslayer,-0.5012502497030987
cv_CD_G,-0.5139449989281196
cv_ptoh,-0.53625698241452
horzcover_ground,-0.5801115706464105
cv_CD_Ggrasslayer,-0.6101173415419145
sd_ptoh,-0.6293518100646734
