,Abundance
X,0.5390535220100149
mean_cvH_tree,0.4655886000562507
mean_FHD,0.4190073415195619
cv_VDR,0.4182378147215462
mean_cvH,0.41054254674138896
cv_nlayers,0.4043863323572631
mean_CD_Ggrasslayer,0.402077751963216
mean_cvHgrasslayer,0.3947672473820666
sd_herbh,0.38091576501778357
mean_CD_G,0.38091576501778357
mean_sdH_vegtype_tree,0.3805942352640757
sd_cvH_vegtype_tree,0.37984207274379095
mean_sdHgrasslayer,0.37783765782572065
mean_PAI_G,0.3766833676286971
mean_cvH_vegtype_woody,0.3720662068406027
Cover0p05m_plot,0.3674490460525084
mean_maxHgrasslayer,0.36629475585548477
herbh_plot,0.3585994878753275
mean_sdH,0.3585994878753275
mean_sdH_vegtype_woody,0.3578299610773118
sd_PAI_AboveG,0.3485956395011231
FHD_plot,0.3459022957080681
sd_nlayers,0.3428241885160052
mean_cscore,0.3416698983189816
sd_CD_AboveGgrasslayer,0.34128513491997375
sd_cvH_vegtype_woody,0.3332051035408086
mean_PAI_AboveG,0.326664125757675
mean_CD_AboveGgrasslayer,0.326664125757675
mean_cvH_vegtype_grass,0.32281649176759636
mean_sdH_vegtype_grass,0.32281649176759636
Cover0p0m_plot,0.31896885777751777
sd_CD_Ggrasslayer,0.31896885777751777
mean_cvH_vegtype_shrub,0.31088882639835264
mean_maxH,0.30858024600430545
Y,0.3074259558072819
horzcover_grass,0.3058869022112504
sd_sdH,0.30050021462514037
mean_herbh,0.29934592442811675
sd_PAI_G,0.2962678172360539
mean_meanpeakh,0.29242018324597524
sd_VDR,0.28587920546284157
sd_maxHgrasslayer,0.28357062506879444
sd_sdHgrasslayer,0.2804925178767315
mean_maxpeakh,0.27895346428070006
meanpeakh_plot,0.27737118559150553
mean_nlayers,0.2643324551184013
sd_sdH_vegtype_tree,0.26400904461994185
sd_meanpeakh,0.262408638123362
sd_CD_G,0.262408638123362
Cover0p25m_plot,0.2593305309312991
stdpeakh_plot,0.25631166124162685
horzcover_tree,0.2560849772021645
cv_herbh,0.2524047897491576
maxpeakh_plot,0.2475901247788867
sd_cvpeakh,0.24586381196602392
mean_CD_AboveG,0.24547904856701608
sd_maxH,0.2450942851680082
sd_cscore,0.24278570477396103
cscore_plot,0.24215592363939056
horzcover_shrub,0.2420161779759453
cvpeakh_plot,0.24012355632110302
sd_maxpeakh,0.23739901718785095
ptoh_plot,0.23355138319777233
Cover0p5m_plot,0.23316661979876446
gapsize_plot,0.23281964345289438
X100thPerc_plot,0.22931898580868584
sd_CD_AboveG,0.22547135181860722
mean_stdpeakh,0.21893037403547358
sd_stdpeakh,0.21546750344440282
sd_sdH_vegtype_woody,0.2146979766463871
mean_VDRpeak,0.21008081585829275
propMultiLayer,0.20892652566126915
horzcover_woody,0.20777223546424559
nlayers_plot,0.2031445898898527
sd_VDRpeak,0.20200078447912764
mean_gapsize,0.2012312576811119
mean_cvpeakh,0.19584457009500184
sd_gapsize,0.18353214132675025
Cover1p5m_plot,0.17929974393766376
sd_cvH_vegtype_shrub,0.17622163674560087
sd_FHD,0.16737207856842004
X25thPerc_plot,0.1565987033961999
mean_sdH_vegtype_shrub,0.13389766285473603
cv_cscore,0.08618700137776113
X98thPerc_plot,0.046556371279951325
sd_cvH,0.026163911132534627
cv_ptoh,0.019238169950393107
X50thPerc_plot,0.007695267980157243
sd_cvHgrasslayer,-0.007695267980157243
sd_sdH_vegtype_shrub,-0.059638326846218635
stdH_plot,-0.07656791640256458
VDRpeak_plot,-0.0778721049193664
meanH_plot,-0.09849943014601271
sd_sdH_vegtype_grass,-0.12543286807656306
X75thPerc_plot,-0.13774529684481465
cv_gapsize,-0.17545210994758514
cv_stdpeakh,-0.19007311910988392
cv_cvpeakh,-0.1943055164989704
cv_VDRpeak,-0.19815315048904902
cv_meanpeakh,-0.23970759758189814
cv_CD_AboveG,-0.27818393748268433
sd_cvH_vegtype_grass,-0.2824163348717708
sd_ptoh,-0.2828010982707787
cv_maxpeakh,-0.30165450482216394
cv_CD_AboveGgrasslayer,-0.3062716656102583
cv_maxHgrasslayer,-0.3416698983189816
horzcover_ground,-0.40554062255428674
cv_CD_G,-0.4113120735394047
cv_CD_Ggrasslayer,-0.41477494413047544
VDR_plot,-0.4235093964075814
cv_maxH,-0.42362450230765625
mean_ptoh,-0.42670260949971917
cv_FHD,-0.4821085389568513
mean_VDR,-0.5921508710730998
