,Abundance
horzcover_grass,0.4797079959808361
X,0.4133327005818057
sd_cvH_vegtype_woody,0.4090101415471366
mean_cvH_vegtype_shrub,0.3882618581807248
mean_cvH_vegtype_woody,0.36981893963280316
sd_cvH_vegtype_tree,0.35137602108488153
mean_cvH_tree,0.3416742774737353
mean_PAI_G,0.32539263844314825
mean_CD_Ggrasslayer,0.32111810784219763
herbh_plot,0.29292541724941124
mean_sdH_vegtype_tree,0.2822150765301755
mean_cvH_vegtype_grass,0.28005379701284094
mean_herbh,0.2532059025641738
mean_maxHgrasslayer,0.22424475703189065
mean_CD_G,0.22405264329701646
sd_sdH_vegtype_woody,0.2096441131814527
sd_cvH_vegtype_shrub,0.20392872956894575
Cover0p05m_plot,0.2002305401726177
Cover0p0m_plot,0.2001344833051806
mean_sdHgrasslayer,0.19725277728206786
Y,0.18572595318961685
cv_VDRpeak,0.18318044620253393
cv_gapsize,0.18068296764916955
sd_PAI_G,0.18015465487826554
cv_stdpeakh,0.1761202664459077
cv_cvpeakh,0.17597618114475205
sd_sdH_vegtype_tree,0.16833966018350324
mean_sdH_vegtype_woody,0.16219202066752939
cv_maxpeakh,0.1562364948864297
sd_PAI_AboveG,0.1515297083820122
cv_meanpeakh,0.14864800235889944
cv_cscore,0.1479756042868398
mean_PAI_AboveG,0.1453340404323198
cv_CD_AboveG,0.13731329200132264
cv_maxH,0.13255847706318657
mean_sdH_vegtype_grass,0.1265068944146498
mean_CD_AboveGgrasslayer,0.12127179513932831
sd_CD_AboveGgrasslayer,0.11882234501968247
mean_cvHgrasslayer,0.11080159658868531
sd_herbh,0.1028288765914067
cv_VDR,0.07425195852887191
cv_ptoh,0.06935305828958023
sd_maxHgrasslayer,0.06709572190480857
cvpeakh_plot,0.039272674910805584
sd_sdHgrasslayer,0.03515681348197557
sd_CD_Ggrasslayer,0.03328370456695228
cv_nlayers,0.019115316619981254
mean_cvH,0.0030257913242683894
horzcover_shrub,-0.019787714692040895
stdH_plot,-0.02598338264173331
sd_cvH,-0.0278564915567566
sd_VDR,-0.03395610263901193
X98thPerc_plot,-0.036501609626094854
sd_sdH,-0.04884491709176114
mean_sdH_vegtype_shrub,-0.0597953999795896
mean_FHD,-0.06426204431541437
sd_CD_AboveG,-0.08443398647720363
cscore_plot,-0.09182721959097814
sd_gapsize,-0.0988425165927674
X100thPerc_plot,-0.09965899996598267
sd_cvpeakh,-0.10897651610738057
sd_CD_G,-0.10902454454109911
sd_meanpeakh,-0.1092166582759733
sd_stdpeakh,-0.11555641152682135
FHD_plot,-0.11622880959888099
sd_sdH_vegtype_shrub,-0.11800586164646719
sd_maxH,-0.1207434823684243
sd_maxpeakh,-0.12285673345204032
sd_ptoh,-0.1270352071855538
mean_cscore,-0.13010902694354073
sd_nlayers,-0.13039719754585202
sd_cscore,-0.13179002212368984
cv_CD_AboveGgrasslayer,-0.1341434153758986
mean_CD_AboveG,-0.140867396096495
Cover0p25m_plot,-0.14288459031267395
mean_gapsize,-0.14874405922633654
cv_herbh,-0.15023294067161147
mean_meanpeakh,-0.15167379368316783
mean_sdH,-0.1525863339238202
mean_maxH,-0.1539311300679395
mean_stdpeakh,-0.15397915850165805
VDR_plot,-0.15686536650203137
horzcover_tree,-0.157581291030549
horzcover_woody,-0.15863791657235699
mean_maxpeakh,-0.15902214404210535
Cover0p5m_plot,-0.16118342355943993
mean_cvpeakh,-0.16137553729431411
sd_VDRpeak,-0.16372893054652285
Cover1p5m_plot,-0.1667066934370727
mean_VDRpeak,-0.17400701536229166
propMultiLayer,-0.17419912909716584
nlayers_plot,-0.17802048432009884
mean_nlayers,-0.18034676861313972
mean_VDR,-0.18611018065936522
sd_FHD,-0.21694443510667166
cv_FHD,-0.23101676618620562
X25thPerc_plot,-0.23620383702780856
meanpeakh_plot,-0.2464387824352862
gapsize_plot,-0.25822664188705613
meanH_plot,-0.2620431343683862
sd_cvHgrasslayer,-0.2639162432834095
sd_sdH_vegtype_grass,-0.26602949436702555
cv_CD_G,-0.2723692476178736
X50thPerc_plot,-0.2767878635199798
X75thPerc_plot,-0.2849046688184141
stdpeakh_plot,-0.28706283661103216
maxpeakh_plot,-0.2908091752025247
sd_cvH_vegtype_grass,-0.3205417666375751
horzcover_ground,-0.3265933492861119
VDRpeak_plot,-0.3573316074399597
ptoh_plot,-0.3671293473445646
cv_maxHgrasslayer,-0.38254647456821783
cv_CD_Ggrasslayer,-0.4048316678136231
mean_ptoh,-0.416262435038637
