,Correlation,pvalue
X,0.5134178511753585,0.014975064489706272
mean_cvH_tree,0.5084264296494972,0.00948197477110811
VDRpeak_plot,0.4817406504571564,0.0862375844986956
sd_cvH_vegtype_tree,0.45490785810744494,0.014348817624811
horzcover_grass,0.42964967545727367,0.04000521750251827
sd_cvH_vegtype_woody,0.4014695979115585,0.058020451485898544
mean_PAI_G,0.38371228877316266,0.020287577455065948
Cover0p0m_plot,0.3578483819846296,0.06165249701547576
mean_CD_Ggrasslayer,0.3566902966060385,0.01705567294179825
mean_cvH_vegtype_woody,0.3563042681465082,0.08077968701321105
herbh_plot,0.31036688146239716,0.01592586161853881
cv_CD_AboveG,0.30843673916474545,0.11794839330078181
cv_stdpeakh,0.30843673916474545,0.24330631617178206
sd_PAI_G,0.30496248302897233,0.09707808972969105
cv_VDRpeak,0.29994411305507784,0.2642860489216465
cv_gapsize,0.29801397075742614,0.24458162709018844
sd_sdH_vegtype_shrub,0.2899073731072889,0.3865946565261014
mean_herbh,0.2872051738905765,0.031027637572105964
Y,0.2771684339427875,0.2494451192770705
ptoh_plot,0.27292212088795376,0.36978260736831137
gapsize_plot,0.2656317890664444,0.2637026361303524
cv_cvpeakh,0.24126778720646547,0.3372780600111139
mean_cvH_vegtype_shrub,0.22737076266337305,0.34434968470021765
cv_maxpeakh,0.2227384211490089,0.24369807755936213
mean_CD_G,0.2088413966059165,0.10382282355188795
sd_cvH_vegtype_shrub,0.19610245744141513,0.9423539817360298
mean_sdH_vegtype_tree,0.19276596601720705,0.7074475479818241
cv_maxH,0.192628201305642,0.22063641987219854
Cover0p05m_plot,0.18606571749362616,0.12899418967429105
mean_maxHgrasslayer,0.17911720522207997,0.10275510294579873
mean_sdHgrasslayer,0.08415420417761516,0.18653086656375817
stdpeakh_plot,0.07803780100871263,0.9163975364946225
maxpeakh_plot,0.07437536455601929,0.8744020190635333
mean_cvHgrasslayer,0.06562483812015861,0.6969763885810761
sd_sdH_vegtype_woody,0.05944838276767309,0.7120984409427732
mean_sdH_vegtype_woody,0.04979767127941447,0.5720068512434776
mean_sdH_vegtype_shrub,0.04014695979115585,0.9451296545946831
sd_cvH,0.02200362219322965,0.8732930918619008
meanpeakh_plot,0.02105880964422945,0.6362042232818483
cv_meanpeakh,0.01544113838121379,0.6262702795584176
sd_CD_Ggrasslayer,-0.013124967624031722,0.6426141962415425
mean_CD_AboveGgrasslayer,-0.029724191383836546,0.46084604114824645
mean_cvH_vegtype_grass,-0.033198447519609646,0.7190039631685499
mean_VDR,-0.04130504516974689,0.2587815618712713
mean_PAI_AboveG,-0.05713221201049102,0.4302238921419569
cv_CD_AboveGgrasslayer,-0.05944838276767309,0.5732539327571144
X100thPerc_plot,-0.06137852506532481,0.3336906182019431
cscore_plot,-0.0736376159108511,0.36446531860734577
nlayers_plot,-0.07459471175969129,0.40373955131980793
cv_VDR,-0.10731591174943583,0.8484084297667269
sd_PAI_AboveG,-0.1096320825066179,0.743846532508726
VDR_plot,-0.11853353417847469,0.5587772850459288
sd_sdH,-0.1258452778068924,0.27533340721856214
mean_cvH,-0.12816144856407446,0.6612549774929815
sd_CD_AboveGgrasslayer,-0.12893350548313515,0.8665071718722789
sd_sdHgrasslayer,-0.12970556240219583,0.9675549049141892
mean_FHD,-0.13009159086172617,0.40128810565423406
FHD_plot,-0.13510996083562066,0.35870234858485
sd_maxHgrasslayer,-0.14128641618810617,0.9570828098487689
X98thPerc_plot,-0.14437464386434892,0.25741553074026957
mean_sdH_vegtype_grass,-0.14862095691918273,0.8129654088316375
cv_cscore,-0.15132315613589514,0.35802619183654777
stdH_plot,-0.15209521305495582,0.22677019755310446
sd_sdH_vegtype_tree,-0.1565913759934124,0.4598402207377685
sd_herbh,-0.15904372532650204,0.8872131024158638
mean_meanpeakh,-0.16792237989569997,0.12870892048284824
sd_gapsize,-0.16946649373382133,0.29445469165135046
sd_stdpeakh,-0.17564294908630684,0.21649132647697206
sd_maxpeakh,-0.17564294908630684,0.17136895796521212
X25thPerc_plot,-0.17834514830301926,0.15122169792386078
sd_CD_G,-0.17834514830301926,0.7091983858497196
mean_ptoh,-0.18220543289832272,0.3797929205628864
cvpeakh_plot,-0.1947081767742137,0.9785307873416587
Cover1p5m_plot,-0.19533040052235442,0.1774902411774856
mean_cscore,-0.1957164289818848,0.14600305918789505
sd_maxH,-0.19648848590094548,0.14702588467830782
sd_meanpeakh,-0.1976465712795365,0.1722962784630369
cv_FHD,-0.20575316892967374,0.35382456562722225
mean_maxH,-0.2165619657965234,0.08816356963470452
cv_nlayers,-0.22196636422994823,0.19527097572594856
mean_sdH,-0.22312444960853925,0.11383077678843126
horzcover_woody,-0.22544062036572132,0.1483811924800288
horzcover_shrub,-0.226212677284782,0.6048139536184168
mean_cvpeakh,-0.22891487650149442,0.1264484253834629
Cover0p5m_plot,-0.23431927493491925,0.25553238823374047
mean_maxpeakh,-0.23663544569210132,0.10113552061600103
mean_gapsize,-0.24474204334223856,0.08879290657812797
cv_CD_G,-0.24628615718035995,0.1735055338761693
sd_VDR,-0.24976041331613305,0.1589840030527201
sd_cvpeakh,-0.2520765840733151,0.248700383149203
mean_stdpeakh,-0.25439275483049717,0.08089378918968106
sd_CD_AboveG,-0.2570949540472096,0.36988708034041673
horzcover_tree,-0.2640942585605104,0.06607834928849318
cv_maxHgrasslayer,-0.27253609242842336,0.08560990098671573
Cover0p25m_plot,-0.2740802062665448,0.3097650263160016
sd_VDRpeak,-0.2787125477809089,0.20334110793684948
mean_nlayers,-0.2814147469976213,0.09241176348463248
mean_VDRpeak,-0.2864331169715158,0.10919249992491872
sd_cscore,-0.2899073731072889,0.10563707887241935
sd_nlayers,-0.2906794300263496,0.07387926679094285
meanH_plot,-0.29222354386447097,0.0689452848913201
propMultiLayer,-0.3030323407313206,0.11426844193176622
mean_CD_AboveG,-0.31615730835535233,0.20002398517741246
X50thPerc_plot,-0.33352858903421784,0.13392383029534263
horzcover_ground,-0.3802380326373896,0.18185603257956004
cv_ptoh,-0.3914328579637696,0.10499673347813479
sd_cvHgrasslayer,-0.4118923663188778,0.02595949038275203
cv_herbh,-0.41806882167136333,0.03790216727011269
cv_CD_Ggrasslayer,-0.4246313054833792,0.04829122313005439
X75thPerc_plot,-0.4331239315930468,0.03989728981180315
sd_FHD,-0.4358261308097592,0.05584496532992241
