,Richness
X,0.40890374993986267
Y,0.35572749435747497
mean_PAI_G,0.35057830037800397
mean_CD_Ggrasslayer,0.3465840657957975
mean_cvH_tree,0.3441702268061529
mean_herbh,0.3365262943779522
herbh_plot,0.32492857709708756
sd_PAI_G,0.31660324477513907
mean_CD_G,0.3160257650765068
Cover0p05m_plot,0.30688233651482927
mean_cvHgrasslayer,0.2885473560832549
Cover0p0m_plot,0.2841200117270742
mean_maxHgrasslayer,0.28200258616542256
VDRpeak_plot,0.2705001828716878
mean_sdHgrasslayer,0.26602564783659655
gapsize_plot,0.24395176939666696
horzcover_grass,0.23421614110360264
sd_sdH_vegtype_shrub,0.21823920277477665
mean_CD_AboveGgrasslayer,0.21684362683641534
sd_cvH_vegtype_tree,0.21526436462416662
mean_PAI_AboveG,0.21135756969940883
sd_PAI_AboveG,0.21126132308297013
sd_CD_Ggrasslayer,0.20976950052817012
FHD_plot,0.20409095015828618
mean_cvH_vegtype_grass,0.20004859226786031
mean_FHD,0.19138639678837635
sd_cvH_vegtype_shrub,0.19085704039796345
stdpeakh_plot,0.18851368036754682
sd_herbh,0.18330168100752464
Cover0p5m_plot,0.1832535576993053
mean_cvH_vegtype_woody,0.17392758334020464
sd_CD_AboveG,0.17362889605543422
sd_CD_G,0.17136710056912452
mean_sdH_vegtype_tree,0.16990859830087515
sd_maxHgrasslayer,0.169538414856789
sd_CD_AboveGgrasslayer,0.16693975621294382
maxpeakh_plot,0.16518530596285738
mean_meanpeakh,0.1639561111033438
sd_sdHgrasslayer,0.16227179531566635
sd_cvH_vegtype_woody,0.16207135658343022
sd_sdH,0.16010624644579535
sd_gapsize,0.1574151207055712
Cover0p25m_plot,0.15611201186358886
cscore_plot,0.15388333786934855
X100thPerc_plot,0.1530321201375501
mean_sdH_vegtype_grass,0.15264713367179528
cv_VDR,0.15009659833616942
cv_nlayers,0.1432149652608016
mean_cscore,0.14239686902107257
meanpeakh_plot,0.13859863409329526
mean_cvH,0.13180974121281439
sd_maxpeakh,0.12892234271965305
sd_stdpeakh,0.12858856695973286
mean_maxpeakh,0.12800799986348532
mean_CD_AboveG,0.12762301339773047
mean_sdH,0.12699741039087886
mean_maxH,0.12497623144566593
X98thPerc_plot,0.12334003896620785
Cover1p5m_plot,0.12132901193800956
cv_cscore,0.11506282995247871
mean_sdH_vegtype_woody,0.11355872233094036
horzcover_woody,0.10900191024094123
mean_stdpeakh,0.1082800432857032
sd_meanpeakh,0.10606377131545926
mean_gapsize,0.10486320636424323
sd_sdH_vegtype_woody,0.10126740468400908
sd_maxH,0.0979309322263882
ptoh_plot,0.09701658937022045
sd_nlayers,0.09634286305514947
mean_cvpeakh,0.09105148528735577
sd_cvpeakh,0.0876346483658958
stdH_plot,0.08719943449347195
sd_cscore,0.08051029465098156
X25thPerc_plot,0.08046217134276219
horzcover_tree,0.0764440473066179
mean_nlayers,0.07502423751397504
mean_VDRpeak,0.07483354102634154
propMultiLayer,0.07331938089530193
sd_VDRpeak,0.07079108607700862
horzcover_shrub,0.06499208820326319
mean_sdH_vegtype_shrub,0.06405212323996201
mean_cvH_vegtype_shrub,0.06010601196597487
nlayers_plot,0.05097037568472316
sd_VDR,0.036092481164516535
cv_maxH,0.006592893226051688
meanH_plot,0.002646781952064546
X50thPerc_plot,0.0016843157876774383
cv_meanpeakh,-0.00885468871236139
sd_cvH,-0.008902812020580745
cvpeakh_plot,-0.01125959690480349
sd_FHD,-0.016169431561703407
cv_stdpeakh,-0.02762827152496059
cv_herbh,-0.027767148842568055
cv_VDRpeak,-0.029368635085588027
cv_gapsize,-0.03301252129065173
X75thPerc_plot,-0.04157853830152305
cv_maxpeakh,-0.05163630971936833
cv_cvpeakh,-0.05890042925498487
sd_sdH_vegtype_grass,-0.09066431268526554
cv_CD_AboveG,-0.09085680591814296
sd_cvHgrasslayer,-0.09104929915102038
sd_sdH_vegtype_tree,-0.10419188424731352
cv_maxHgrasslayer,-0.16679538628828575
cv_ptoh,-0.17887433665134395
mean_ptoh,-0.1819542283773827
sd_cvH_vegtype_grass,-0.19475502836373124
cv_FHD,-0.2133306253364024
VDR_plot,-0.21575387411828734
cv_CD_AboveGgrasslayer,-0.260395220774932
sd_ptoh,-0.2659775245283772
mean_VDR,-0.26751747039139656
horzcover_ground,-0.2846493681174871
cv_CD_G,-0.2864299305216032
cv_CD_Ggrasslayer,-0.3170844778573326
