,Correlation,pvalue
mean_cvH_tree,0.4199239875220951,0.001640277608946479
X,0.40890374993986267,0.004494422322010361
mean_PAI_G,0.4064975845288949,0.00065545952234242
sd_PAI_G,0.39340804469323026,0.0011033961307334041
mean_sdH_vegtype_tree,0.39307118153569476,0.0017789612932256156
mean_CD_Ggrasslayer,0.3896063033439012,0.001270381379921259
mean_maxHgrasslayer,0.38335027327538496,0.0014528933184386034
herbh_plot,0.3824359304192172,0.0006973271382343567
sd_cvH_vegtype_tree,0.37925979207673977,0.007381818491517558
mean_herbh,0.37324437854932035,0.0015120756572623206
mean_PAI_AboveG,0.36289786728215895,0.002296246025484076
Y,0.35572749435747497,0.010925666342385225
sd_PAI_AboveG,0.34581409286428777,0.002065668918499623
mean_CD_G,0.3441779003848297,0.004657666945909276
mean_sdHgrasslayer,0.3418198582820813,0.0019192898217199577
horzcover_grass,0.3361894312204167,0.06496497870778793
sd_CD_AboveGgrasslayer,0.33503447182315216,0.003106600663666386
mean_CD_AboveGgrasslayer,0.33493822520671346,0.0027319427201472715
mean_cvH_vegtype_grass,0.3347938552820554,0.002676860939661259
Cover0p05m_plot,0.325265440254623,0.00566528888668102
sd_sdH_vegtype_woody,0.3170844778573326,0.005989104414297469
sd_sdH_vegtype_tree,0.31583327184362936,0.049252960784339446
sd_CD_Ggrasslayer,0.3027918553161841,0.006278383545136372
sd_herbh,0.3018775124600163,0.004114020113516368
X100thPerc_plot,0.2879217530764033,0.061573859376042324
Cover0p0m_plot,0.2875367666106484,0.10096575821294826
cscore_plot,0.2866784267446578,0.06507336086599265
mean_cvHgrasslayer,0.2803182703777451,0.005582760726421033
sd_cvH_vegtype_woody,0.27964454406267414,0.06075548143217295
sd_maxHgrasslayer,0.25245487491873836,0.007920643516373683
mean_sdH_vegtype_woody,0.24533262530227373,0.04952504420112119
mean_sdH_vegtype_grass,0.2412902674118479,0.008304271115350148
sd_sdHgrasslayer,0.21973102532957667,0.00997411844754796
X98thPerc_plot,0.21251252909667337,0.062491578681526085
sd_sdH_vegtype_shrub,0.19653559076784738,0.03893390316083757
stdH_plot,0.18806588852124084,0.08748664296406254
cv_cscore,0.18537098326095694,0.046650875708401325
mean_cvH_vegtype_woody,0.1787299667266859,0.17546313494005003
sd_CD_AboveG,0.16968278478144708,0.014460297722212306
sd_cvH_vegtype_shrub,0.1659772900485567,0.6491277789936188
