,Richness
X,0.5134178511753585
horzcover_grass,0.4350540738906985
mean_PAI_G,0.3976093133162551
cv_cvpeakh,0.328124190600793
mean_CD_Ggrasslayer,0.3273521336817323
sd_cvH_vegtype_woody,0.3142271660577006
mean_cvH_vegtype_shrub,0.3138411375981703
cv_gapsize,0.3130690806791096
cv_maxpeakh,0.30727865378615443
cv_CD_AboveG,0.3068926253266241
cv_stdpeakh,0.305734539948033
cv_VDRpeak,0.2995580845955475
herbh_plot,0.2953117715407137
Y,0.2771684339427875
mean_herbh,0.27678240548325717
sd_PAI_G,0.2760103485641965
cv_maxH,0.25670892558767927
Cover0p0m_plot,0.23856558798975305
mean_cvH_vegtype_woody,0.23316118955632822
sd_cvH_vegtype_shrub,0.2242825349871303
cv_meanpeakh,0.21463182349887167
sd_cvH_vegtype_tree,0.192628201305642
mean_maxHgrasslayer,0.192628201305642
Cover0p05m_plot,0.17371280678865514
cvpeakh_plot,0.1639006034487378
mean_CD_G,0.16329003838133582
mean_cvH_tree,0.10229754177554136
mean_CD_AboveGgrasslayer,0.08994463107057032
sd_sdH_vegtype_shrub,0.08608434647526687
mean_sdHgrasslayer,0.07566157806794757
mean_PAI_AboveG,0.07257335039170482
sd_CD_Ggrasslayer,0.0629226389034462
sd_herbh,0.037830789033973786
sd_CD_AboveGgrasslayer,0.027408020626654477
mean_sdH_vegtype_tree,0.02547787832900275
sd_PAI_AboveG,0.016599223759804823
mean_cvH_vegtype_grass,-0.00810659765013724
mean_sdH_vegtype_woody,-0.018143337597926204
sd_sdH_vegtype_woody,-0.02123156527416896
ptoh_plot,-0.027408020626654477
mean_sdH_vegtype_shrub,-0.03165433368148827
cv_cscore,-0.054043984334248264
cv_nlayers,-0.06794100887734067
sd_CD_G,-0.07295937885123516
cv_FHD,-0.07643363498700825
cv_ptoh,-0.08415420417761516
mean_VDR,-0.08724243185385791
cv_VDR,-0.08762846031338825
sd_maxHgrasslayer,-0.08878654569197929
meanpeakh_plot,-0.09287557276332606
VDR_plot,-0.09496300104446481
nlayers_plot,-0.12443088549765388
sd_sdHgrasslayer,-0.12700336318548341
cv_CD_G,-0.13240776161890824
mean_sdH_vegtype_grass,-0.13395187545702963
stdpeakh_plot,-0.14652598117502003
stdH_plot,-0.15634152610978963
maxpeakh_plot,-0.15671547032521213
sd_cvpeakh,-0.15981578224556273
sd_CD_AboveG,-0.1613598960836841
mean_FHD,-0.16483415221945721
X100thPerc_plot,-0.16869443681476065
cv_CD_AboveGgrasslayer,-0.169080465274291
cscore_plot,-0.17411507550205663
mean_cvHgrasslayer,-0.1795032336816103
sd_ptoh,-0.18838188825080823
FHD_plot,-0.18876791671033857
X98thPerc_plot,-0.1957164289818848
sd_cscore,-0.20227891279390064
VDRpeak_plot,-0.20795632404595046
horzcover_tree,-0.2096134535249772
sd_sdH_vegtype_tree,-0.20999948198450755
sd_nlayers,-0.21424579503934132
mean_meanpeakh,-0.22119430731088754
mean_cscore,-0.22737076266337305
sd_VDR,-0.23586338877304064
Cover1p5m_plot,-0.23663544569210132
mean_ptoh,-0.24203984412552615
sd_cvH,-0.2424258725850565
mean_maxpeakh,-0.24319792950411717
sd_sdH,-0.24358395796364754
mean_maxH,-0.24628615718035995
gapsize_plot,-0.24738278086234372
sd_maxH,-0.25130452715425444
mean_CD_AboveG,-0.2516905556137848
sd_gapsize,-0.25323466945190615
mean_sdH,-0.25439275483049717
sd_maxpeakh,-0.25439275483049717
sd_meanpeakh,-0.25439275483049717
sd_stdpeakh,-0.2628853809401648
mean_nlayers,-0.2682897793735896
Cover0p25m_plot,-0.2760103485641965
X75thPerc_plot,-0.2779404908618482
mean_stdpeakh,-0.28373091775480336
meanH_plot,-0.2845029746738641
X25thPerc_plot,-0.2864331169715158
horzcover_woody,-0.2953117715407137
mean_VDRpeak,-0.2964698569193048
sd_FHD,-0.30148822689319926
mean_cvH,-0.30496248302897233
sd_VDRpeak,-0.3080507107052151
horzcover_ground,-0.31113893838145784
propMultiLayer,-0.3119109953005185
Cover0p5m_plot,-0.3138411375981703
mean_cvpeakh,-0.3231058206268985
mean_gapsize,-0.3339146174937482
cv_maxHgrasslayer,-0.3339146174937482
cv_herbh,-0.35707632506556886
horzcover_shrub,-0.3744476057444344
X50thPerc_plot,-0.3771498049611468
cv_CD_Ggrasslayer,-0.39567917101860334
sd_cvHgrasslayer,-0.46400620835547435
sd_cvH_vegtype_grass,-0.4694106067888992
sd_sdH_vegtype_grass,-0.4875539443868254
