,Correlation,pvalue
sd_nlayers,0.6877560120372911,0.00010571995673180974
meanH_plot,0.65844055667283,0.001270093503939429
cv_nlayers,0.6406969915838141,0.002806314200903249
Cover1p5m_plot,0.6214105077914055,5.3802776453172595e-05
horzcover_tree,0.6190961297363164,0.0006316809120992764
mean_stdpeakh,0.6125387252468975,8.008744849158997e-05
X25thPerc_plot,0.6075242394608712,0.04295100485083524
mean_gapsize,0.6017382943231486,6.506056447844847e-05
sd_cscore,0.5882377556684626,0.0005696602205446108
mean_maxpeakh,0.5832232698824364,0.000214112332789837
X50thPerc_plot,0.575508676365473,0.00793013326452891
mean_nlayers,0.5697227312277504,0.006609594540110881
stdH_plot,0.5662511641451168,0.014195423476530567
cscore_plot,0.5655790373937333,0.004036666040893274
mean_VDRpeak,0.5654797047934205,0.00014810423651372113
mean_cvpeakh,0.5647082454417242,0.0001441348646076104
propMultiLayer,0.5639367860900277,0.00013224446666507537
sd_VDRpeak,0.5581508409523052,0.001577901261907162
mean_maxH,0.555450733221368,0.00028750535962392853
Cover0p25m_plot,0.5550650035455198,0.00031920282349024527
Cover0p5m_plot,0.5542935441938235,0.00020938659535359535
mean_CD_AboveG,0.5535220848421272,0.00029370798575474816
sd_CD_AboveG,0.5515934364628863,0.0005197882338451484
horzcover_woody,0.5504362474353418,0.00019264846891663056
mean_meanpeakh,0.5496647880836454,0.0004163637358135852
sd_stdpeakh,0.5461932210010119,0.0020326982740768054
mean_sdH,0.5454217616493156,0.000525210253224132
sd_gapsize,0.5450360319734674,0.001957874551451824
sd_maxH,0.5411787352149856,0.002527510576912833
sd_meanpeakh,0.5404072758632893,0.0026731966864477767
X100thPerc_plot,0.539635816511593,0.004586343545158983
sd_maxpeakh,0.539635816511593,0.0023805884066374055
sd_cvpeakh,0.5346213307255667,0.0011249288168280836
sd_FHD,0.5323069526704777,0.000564025088569541
cv_cscore,0.5311497636429331,0.014634087778316273
X98thPerc_plot,0.5288353855878442,0.011487753079938809
FHD_plot,0.5222779810984252,0.0009611295537764115
mean_sdH_vegtype_woody,0.5126347392022209,0.09787604797012914
sd_sdH_vegtype_tree,0.510798807691366,0.07856030076880763
X75thPerc_plot,0.5060773347128019,0.009528741375901392
sd_sdH,0.49797701151999035,0.004901575727938055
sd_sdH_vegtype_woody,0.4956626334649013,0.04999584115211114
mean_cscore,0.49489117411320493,0.002256667397275828
mean_sdH_vegtype_shrub,0.4875623102720897,0.017371144217799776
mean_CD_AboveGgrasslayer,0.4817763651343671,0.006117735830749514
sd_CD_AboveGgrasslayer,0.48100490578267074,0.0035287322880149514
mean_PAI_AboveG,0.4806191761068226,0.00809586495377354
cv_VDR,0.4709759342106183,0.15358641642802157
sd_PAI_AboveG,0.4651899890728957,0.004803285049089022
sd_herbh,0.4567039362042359,0.003954547760118049
mean_sdH_vegtype_tree,0.45278323004580523,0.08728750178107667
sd_sdHgrasslayer,0.452460909769906,0.005214553176281236
sd_CD_G,0.44783215365972795,0.004852911501711274
sd_maxHgrasslayer,0.44166047884615717,0.00584820265355441
sd_sdH_vegtype_shrub,0.43973183046691633,0.035180306045837155
mean_cvHgrasslayer,0.4289313995431675,0.010059445663219611
sd_VDR,0.42854566986731935,0.10818329947484627
mean_FHD,0.4281599401914712,0.0045233813276848904
cv_herbh,0.4081019970473662,0.02079059559225865
gapsize_plot,0.40370908065331373,0.05047863327287603
mean_cvH,0.40193032223379543,0.031632618163728254
sd_PAI_G,0.39807302547531376,0.016322700467697668
stdpeakh_plot,0.3972615235739311,0.07452193383440668
sd_CD_Ggrasslayer,0.38997270228250214,0.013433476658697863
Y,0.3841867571447795,0.027709556326833324
Cover0p05m_plot,0.38264383844138683,0.03395735918074168
mean_cvH_tree,0.38255384658012637,0.07569593501442697
sd_cvH_vegtype_tree,0.3712124554614453,0.09113283042662605
mean_CD_G,0.3676003810833081,0.03692235678821633
horzcover_shrub,0.3641288140006746,0.007195097513509356
meanpeakh_plot,0.3527604981375692,0.12673997152700064
maxpeakh_plot,0.3435808454876052,0.12246018378083713
mean_sdHgrasslayer,0.33519908831206163,0.01278915420729185
sd_cvHgrasslayer,0.33365616960866895,0.05274755281322442
mean_maxHgrasslayer,0.31282676711286767,0.020243840189070782
mean_sdH_vegtype_grass,0.31012665938193046,0.05800318087688979
X,0.29508320202385174,0.19377730452778275
mean_PAI_G,0.2877543381827365,0.1133638325459012
mean_CD_Ggrasslayer,0.2869828788310401,0.0864603406709458
mean_herbh,0.24918137059791926,0.043675081974148044
herbh_plot,0.24802418157037473,0.08409875073636502
mean_cvH_vegtype_grass,0.24069531772925948,0.07124598174618846
sd_sdH_vegtype_grass,0.2179372668542173,0.20729268538749301
nlayers_plot,0.21071714430266042,0.4535598181031894
Cover0p0m_plot,0.1762784618626147,0.5190318781154153
cvpeakh_plot,0.1665064083750862,0.532589035028882
VDRpeak_plot,0.0793132192202084,0.7666886966334535
sd_cvH,0.044358912722539806,0.9750191930830786
cv_maxHgrasslayer,0.03317275212294281,0.5909241617211544
sd_cvH_vegtype_shrub,0.01581491670977506,0.7171168398700456
cv_ptoh,-0.02468669925428302,0.9006174573508082
sd_cvH_vegtype_woody,-0.055159343646288626,0.6657561198821181
sd_cvH_vegtype_grass,-0.08408906933490154,0.7429936270462792
mean_ptoh,-0.09836106734128391,0.6047835981827233
sd_ptoh,-0.12844798205744135,0.821172613418448
horzcover_grass,-0.13847695362949383,0.6735507654311684
mean_cvH_vegtype_woody,-0.15930635612529512,0.5765243727940119
cv_FHD,-0.1596920858011433,0.43745383461863696
cv_CD_Ggrasslayer,-0.1666352199664104,0.4849906756315248
horzcover_ground,-0.1793642992694001,0.21018637169520316
ptoh_plot,-0.1820644070003373,0.8081949829065526
VDR_plot,-0.24652442100385,0.22332288155656477
cv_meanpeakh,-0.24840991124622291,0.26875808249131206
mean_cvH_vegtype_shrub,-0.25458158605979364,0.3732323034107117
cv_CD_G,-0.27965401498992487,0.176669345651594
cv_maxH,-0.3444566005324178,0.1474107753314511
cv_CD_AboveGgrasslayer,-0.39961594417870644,0.02055250535401202
cv_maxpeakh,-0.4439748569012462,0.030714633093818815
mean_VDR,-0.4748332309691,0.15438464621597525
cv_CD_AboveG,-0.5188064140157916,0.056033490548420765
cv_gapsize,-0.5481218693802528,0.16334099106146324
cv_stdpeakh,-0.5481218693802528,0.16306439783371335
cv_VDRpeak,-0.5623938673866351,0.13250511967681639
cv_cvpeakh,-0.5639367860900277,0.1433001821666569
