,Simpson
Cover1p5m_plot,0.6789767388533916
X25thPerc_plot,0.6738461538461539
Cover0p5m_plot,0.6676923076923077
Cover0p25m_plot,0.6569230769230769
sd_CD_AboveG,0.6530769230769231
mean_CD_AboveG,0.6492307692307693
sd_herbh,0.6253846153846154
sd_CD_G,0.6176923076923077
horzcover_woody,0.5969230769230769
X50thPerc_plot,0.59
sd_cvpeakh,0.5853846153846154
FHD_plot,0.5853846153846154
sd_VDRpeak,0.5838461538461538
mean_VDRpeak,0.5769230769230769
mean_cvpeakh,0.573076923076923
propMultiLayer,0.5723076923076923
mean_nlayers,0.5692307692307692
sd_gapsize,0.5684615384615385
sd_maxHgrasslayer,0.5684615384615385
mean_maxpeakh,0.566923076923077
mean_gapsize,0.5607692307692308
sd_FHD,0.5607692307692308
mean_maxH,0.5561538461538461
sd_PAI_AboveG,0.5546153846153846
sd_meanpeakh,0.5461538461538461
mean_meanpeakh,0.5438461538461539
mean_PAI_AboveG,0.5430769230769231
mean_sdH,0.5407692307692308
mean_cscore,0.54
sd_CD_AboveGgrasslayer,0.5392307692307692
mean_stdpeakh,0.5361538461538462
mean_CD_AboveGgrasslayer,0.5353846153846153
sd_maxH,0.5353846153846153
sd_sdHgrasslayer,0.5346153846153846
sd_stdpeakh,0.5323076923076923
sd_CD_Ggrasslayer,0.5223076923076924
sd_maxpeakh,0.5192307692307693
sd_cscore,0.5123076923076924
sd_PAI_G,0.4976923076923077
horzcover_tree,0.4903511452793842
mean_FHD,0.4876923076923077
cv_herbh,0.47846153846153844
sd_nlayers,0.47384615384615386
mean_CD_G,0.4707692307692308
sd_sdH,0.4653846153846154
horzcover_shrub,0.4453846153846154
mean_sdHgrasslayer,0.4430769230769231
mean_herbh,0.44
meanH_plot,0.43846153846153846
mean_cvHgrasslayer,0.4338461538461538
Cover0p05m_plot,0.4323076923076923
mean_maxHgrasslayer,0.4230769230769231
mean_cvH,0.38769230769230767
mean_PAI_G,0.3823076923076923
mean_sdH_vegtype_shrub,0.37538461538461537
mean_CD_Ggrasslayer,0.3707692307692308
cv_nlayers,0.36923076923076925
cv_cscore,0.36615384615384616
sd_VDR,0.35923076923076924
cv_VDR,0.35923076923076924
X75thPerc_plot,0.35846153846153844
sd_cvHgrasslayer,0.3376923076923077
herbh_plot,0.3330769230769231
mean_sdH_vegtype_woody,0.3026086956521739
Cover0p0m_plot,0.29846153846153844
mean_sdH_vegtype_grass,0.2907692307692308
cscore_plot,0.25452462111375174
X98thPerc_plot,0.2469230769230769
Y,0.2423076923076923
mean_cvH_vegtype_grass,0.23923076923076922
sd_sdH_vegtype_woody,0.2382608695652174
X100thPerc_plot,0.2376923076923077
stdH_plot,0.23
sd_sdH_vegtype_grass,0.18461538461538463
mean_sdH_vegtype_tree,0.17894736842105263
sd_sdH_vegtype_shrub,0.14307692307692307
cv_ptoh,0.10461538461538461
mean_cvH_tree,0.10225563909774436
X,0.07307692307692308
VDRpeak_plot,0.05476302253382004
gapsize_plot,0.04030341774879027
sd_cvH,0.02076923076923077
cv_maxHgrasslayer,0.013076923076923076
horzcover_grass,-0.022307692307692306
stdpeakh_plot,-0.05165780973734818
maxpeakh_plot,-0.05787064600853446
meanpeakh_plot,-0.06630703936435736
sd_cvH_vegtype_grass,-0.07461538461538461
cvpeakh_plot,-0.10485764364596048
mean_ptoh,-0.10692307692307693
sd_ptoh,-0.1123076923076923
sd_cvH_vegtype_tree,-0.12481203007518797
nlayers_plot,-0.1274662295836015
sd_sdH_vegtype_tree,-0.13383458646616542
cv_CD_Ggrasslayer,-0.21384615384615385
horzcover_ground,-0.23615384615384616
VDR_plot,-0.2363753438229563
sd_cvH_vegtype_woody,-0.2382608695652174
mean_cvH_vegtype_woody,-0.24956521739130436
cv_FHD,-0.26
cv_meanpeakh,-0.27615384615384614
cv_CD_G,-0.31461538461538463
mean_cvH_vegtype_shrub,-0.3176923076923077
sd_cvH_vegtype_shrub,-0.3507692307692308
mean_VDR,-0.37153846153846154
ptoh_plot,-0.4076923076923077
cv_maxH,-0.4238461538461539
cv_maxpeakh,-0.44846153846153847
cv_CD_AboveGgrasslayer,-0.5453846153846154
cv_cvpeakh,-0.5607692307692308
cv_gapsize,-0.5653846153846154
cv_stdpeakh,-0.5653846153846154
cv_VDRpeak,-0.5746153846153846
cv_CD_AboveG,-0.5838461538461538
