,Simpson
cv_maxHgrasslayer,0.3869230769230769
sd_ptoh,0.35
cv_ptoh,0.33384615384615385
cv_CD_Ggrasslayer,0.33153846153846156
sd_cvH_vegtype_grass,0.32153846153846155
sd_cvHgrasslayer,0.3169230769230769
horzcover_ground,0.3153846153846154
cv_herbh,0.2976923076923077
cv_CD_G,0.2969230769230769
sd_sdH_vegtype_grass,0.27384615384615385
horzcover_shrub,0.2453846153846154
cv_CD_AboveGgrasslayer,0.1853846153846154
ptoh_plot,0.17923076923076922
VDR_plot,0.17503366355710662
mean_cvH_vegtype_grass,0.16538461538461538
mean_sdH_vegtype_grass,0.16076923076923078
cv_FHD,0.14846153846153845
VDRpeak_plot,0.1351623391903061
stdpeakh_plot,0.12543286807656306
mean_VDR,0.12153846153846154
X50thPerc_plot,0.12076923076923077
mean_cvHgrasslayer,0.11461538461538462
mean_ptoh,0.11076923076923077
gapsize_plot,0.10911929393395015
maxpeakh_plot,0.09529366376072008
sd_FHD,0.0876923076923077
mean_cvH,0.08538461538461538
sd_VDRpeak,0.07769230769230769
meanH_plot,0.07230769230769231
meanpeakh_plot,0.06928408519495231
horzcover_woody,0.06692307692307692
X25thPerc_plot,0.06615384615384616
Cover0p5m_plot,0.05923076923076923
mean_VDRpeak,0.05615384615384615
X75thPerc_plot,0.040769230769230766
mean_cvpeakh,0.038461538461538464
propMultiLayer,0.038461538461538464
sd_cscore,0.026153846153846153
nlayers_plot,0.02169022001602394
Cover0p25m_plot,0.019230769230769232
cv_cscore,0.015384615384615385
sd_sdHgrasslayer,0.010769230769230769
mean_CD_AboveG,0.01
sd_maxHgrasslayer,0.01
cv_meanpeakh,0.004615384615384616
cv_maxpeakh,0.003076923076923077
sd_cvpeakh,-0.0038461538461538464
cv_cvpeakh,-0.0038461538461538464
mean_cscore,-0.023076923076923078
mean_stdpeakh,-0.024615384615384615
mean_gapsize,-0.027692307692307693
cv_stdpeakh,-0.02846153846153846
sd_sdH_vegtype_tree,-0.02923076923076923
sd_herbh,-0.03461538461538462
Cover1p5m_plot,-0.036923076923076927
mean_nlayers,-0.038461538461538464
cv_CD_AboveG,-0.04153846153846154
cv_gapsize,-0.043076923076923075
cv_VDRpeak,-0.04461538461538461
sd_nlayers,-0.06615384615384616
FHD_plot,-0.07307692307692308
sd_CD_AboveG,-0.07538461538461538
mean_maxH,-0.07923076923076923
cv_maxH,-0.08076923076923077
mean_sdH_vegtype_shrub,-0.08076923076923077
mean_FHD,-0.09
mean_meanpeakh,-0.09230769230769231
X98thPerc_plot,-0.09538461538461539
Y,-0.09615384615384616
mean_maxpeakh,-0.09923076923076923
sd_maxpeakh,-0.10461538461538461
sd_meanpeakh,-0.10923076923076923
mean_sdH,-0.11
sd_PAI_AboveG,-0.11076923076923077
cscore_plot,-0.11608218156816782
X,-0.1176923076923077
sd_sdH_vegtype_woody,-0.12076923076923077
sd_gapsize,-0.12692307692307692
mean_sdH_vegtype_tree,-0.12923076923076923
X100thPerc_plot,-0.13307692307692306
sd_stdpeakh,-0.13307692307692306
stdH_plot,-0.13615384615384615
sd_maxH,-0.13692307692307693
horzcover_tree,-0.13846153846153847
cv_VDR,-0.15076923076923077
cv_nlayers,-0.15692307692307692
mean_sdHgrasslayer,-0.16307692307692306
sd_CD_AboveGgrasslayer,-0.16615384615384615
mean_PAI_AboveG,-0.16692307692307692
sd_VDR,-0.17692307692307693
cvpeakh_plot,-0.1769911635436166
sd_cvH,-0.1776923076923077
mean_CD_AboveGgrasslayer,-0.19153846153846155
Cover0p05m_plot,-0.20307692307692307
sd_sdH,-0.20461538461538462
sd_cvH_vegtype_tree,-0.21307692307692308
mean_sdH_vegtype_woody,-0.23
mean_cvH_vegtype_shrub,-0.25
horzcover_grass,-0.2523076923076923
sd_cvH_vegtype_shrub,-0.25846153846153846
mean_maxHgrasslayer,-0.26076923076923075
sd_sdH_vegtype_shrub,-0.26384615384615384
Cover0p0m_plot,-0.2692307692307692
mean_herbh,-0.27153846153846156
mean_PAI_G,-0.27307692307692305
herbh_plot,-0.27615384615384614
mean_CD_G,-0.2853846153846154
mean_CD_Ggrasslayer,-0.2946153846153846
sd_PAI_G,-0.30538461538461537
mean_cvH_vegtype_woody,-0.3123076923076923
sd_CD_G,-0.3230769230769231
sd_CD_Ggrasslayer,-0.3353846153846154
sd_cvH_vegtype_woody,-0.3376923076923077
mean_cvH_tree,-0.3484615384615385
