,Simpson
sd_FHD,0.4956062424969988
cscore_plot,0.4846507287538515
X100thPerc_plot,0.47975990396158463
stdpeakh_plot,0.4688760942125756
sd_VDRpeak,0.46881152460984393
cv_herbh,0.4618967587034814
X25thPerc_plot,0.46036014405762304
maxpeakh_plot,0.4562420285307446
mean_VDRpeak,0.44979591836734695
mean_sdH_vegtype_shrub,0.4484513805522209
gapsize_plot,0.447045448808992
meanH_plot,0.4466266506602641
X50thPerc_plot,0.44307322929171666
sd_cvHgrasslayer,0.4426890756302521
propMultiLayer,0.43951980792316925
horzcover_woody,0.435390156062425
meanpeakh_plot,0.43274013205135586
Cover1p5m_plot,0.42770708283313325
horzcover_shrub,0.4269387755102041
X98thPerc_plot,0.4265546218487395
mean_cvpeakh,0.4244417767106843
sd_CD_AboveG,0.4214645858343337
sd_cscore,0.4197358943577431
mean_gapsize,0.4197358943577431
mean_stdpeakh,0.4157983193277311
Cover0p5m_plot,0.4136854741896759
sd_nlayers,0.41272509003601443
mean_nlayers,0.4018727490996399
mean_maxpeakh,0.3978391356542617
sd_maxpeakh,0.39687875150060026
sd_maxH,0.3967827130852341
sd_stdpeakh,0.3939015606242497
Cover0p25m_plot,0.3883313325330132
mean_CD_AboveG,0.38823529411764707
sd_cvpeakh,0.38804321728691477
mean_meanpeakh,0.3877551020408163
mean_maxH,0.38698679471788716
sd_meanpeakh,0.38593037214885956
sd_gapsize,0.3810324129651861
horzcover_tree,0.36979591836734693
X75thPerc_plot,0.3695078031212485
sd_CD_G,0.3630732292917167
sd_sdH_vegtype_tree,0.36278511404561825
mean_sdH,0.3626890756302521
sd_maxHgrasslayer,0.3572148859543818
stdH_plot,0.35596638655462187
sd_sdH_vegtype_grass,0.35596638655462187
mean_cscore,0.3551020408163265
cv_nlayers,0.3546218487394958
FHD_plot,0.35327731092436976
sd_sdH,0.3422328931572629
cv_cscore,0.34175270108043215
sd_sdHgrasslayer,0.3306122448979592
sd_cvH_vegtype_grass,0.3205282112845138
mean_FHD,0.31918367346938775
nlayers_plot,0.3167833881130989
sd_herbh,0.31015606242497
sd_PAI_AboveG,0.29200480192076833
mean_cvHgrasslayer,0.28605042016806725
mean_cvH,0.27702280912364946
sd_CD_Ggrasslayer,0.26444177671068425
sd_CD_AboveGgrasslayer,0.26165666266506604
mean_CD_AboveGgrasslayer,0.2606962785114046
mean_PAI_AboveG,0.2573349339735894
mean_sdH_vegtype_grass,0.24888355342136856
VDRpeak_plot,0.24574888506165618
mean_sdHgrasslayer,0.23851140456182474
mean_maxHgrasslayer,0.22919567827130852
Cover0p05m_plot,0.2256422569027611
mean_CD_G,0.2202641056422569
mean_herbh,0.20662665066026412
mean_sdH_vegtype_tree,0.19971188475390156
sd_sdH_vegtype_woody,0.19817527010804323
sd_PAI_G,0.19539015606242496
sd_sdH_vegtype_shrub,0.1851140456182473
mean_PAI_G,0.18319327731092436
sd_VDR,0.18165666266506603
mean_cvH_vegtype_grass,0.17675870348139255
mean_CD_Ggrasslayer,0.17368547418967586
Y,0.1634093637454982
mean_sdH_vegtype_woody,0.16283313325330132
herbh_plot,0.15630252100840336
cv_VDR,0.14333733493397358
sd_cvH,0.11126050420168067
cv_ptoh,0.1076110444177671
sd_cvH_vegtype_tree,0.09695078031212485
Cover0p0m_plot,0.09647058823529411
cv_maxHgrasslayer,0.08696278511404562
ptoh_plot,0.08667466986794718
mean_cvH_tree,0.08494597839135654
X,0.05565426170468187
sd_ptoh,0.0007202881152460984
mean_ptoh,-0.014645858343337335
cvpeakh_plot,-0.028049952778134005
sd_cvH_vegtype_shrub,-0.056134453781512605
VDR_plot,-0.09219092106295056
sd_cvH_vegtype_woody,-0.09637454981992798
cv_CD_Ggrasslayer,-0.11644657863145258
cv_FHD,-0.12384153661464586
horzcover_ground,-0.14103241296518607
horzcover_grass,-0.14929171668667468
cv_CD_G,-0.1592797118847539
mean_VDR,-0.21565426170468188
mean_cvH_vegtype_woody,-0.23361344537815126
cv_meanpeakh,-0.23735894357743098
cv_CD_AboveGgrasslayer,-0.25157262905162064
mean_cvH_vegtype_shrub,-0.2845138055222089
cv_maxH,-0.33800720288115244
cv_maxpeakh,-0.35798319327731093
cv_CD_AboveG,-0.3666266506602641
cv_stdpeakh,-0.43078031212484996
cv_gapsize,-0.43673469387755104
cv_VDRpeak,-0.44172869147659066
cv_cvpeakh,-0.44729891956782714
