,logRichness
horzcover_grass,0.6049065960840502
mean_cvH_tree,0.5161200503920709
X,0.5134178511753585
mean_cvH_vegtype_woody,0.5022230258489785
cv_maxH,0.4809914605748095
cv_stdpeakh,0.4798333751962185
cv_gapsize,0.4763591190604454
sd_cvH_vegtype_tree,0.47442897676279366
cv_CD_AboveG,0.4717267775460813
cv_maxpeakh,0.4701826637079599
cv_cvpeakh,0.46400620835547435
cv_VDRpeak,0.4562856391648675
mean_PAI_G,0.43273790313351645
sd_cvH_vegtype_woody,0.42347322010478816
mean_CD_Ggrasslayer,0.41536662245465095
cv_meanpeakh,0.41459456553559026
mean_herbh,0.3883446302875268
mean_maxHgrasslayer,0.38602845953034476
herbh_plot,0.38062406109691993
sd_PAI_G,0.362866751958524
mean_CD_G,0.32156170678877716
mean_sdH_vegtype_tree,0.31268305221957926
mean_cvH_vegtype_shrub,0.30534851148850267
mean_PAI_AboveG,0.28681914543104614
Cover0p05m_plot,0.2864331169715158
mean_sdHgrasslayer,0.28180077545715165
Y,0.2771684339427875
mean_CD_AboveGgrasslayer,0.27292212088795376
Cover0p0m_plot,0.2547787832900275
sd_PAI_AboveG,0.24783027101848132
sd_CD_AboveGgrasslayer,0.24358395796364754
mean_cvH_vegtype_grass,0.22080827885135718
sd_CD_Ggrasslayer,0.20922742506544684
sd_sdH_vegtype_tree,0.20266494125343099
VDRpeak_plot,0.18475015017719915
sd_sdH_vegtype_shrub,0.18181940443879238
sd_cvH_vegtype_shrub,0.17834514830301926
gapsize_plot,0.14580988884213025
sd_sdH_vegtype_woody,0.13742613159280273
sd_herbh,0.12468719242830135
ptoh_plot,0.07952186266325102
cscore_plot,0.06383399230322233
X100thPerc_plot,0.048639585900823436
maxpeakh_plot,0.04735227269857879
mean_sdH_vegtype_woody,0.04169107362927723
stdpeakh_plot,0.03957552851235718
mean_cvHgrasslayer,0.028952134464775854
meanpeakh_plot,0.015060903691350172
sd_maxHgrasslayer,0.0034742561357731026
sd_sdHgrasslayer,-0.037830789033973786
mean_sdH_vegtype_grass,-0.08261009033949378
nlayers_plot,-0.11328847633215058
mean_VDR,-0.1381981885118634
sd_CD_G,-0.13858421697139375
mean_sdH_vegtype_shrub,-0.1493930138382434
sd_cvH,-0.17062457911241238
VDR_plot,-0.18915394516986891
cv_cscore,-0.23007296188008547
mean_cvH,-0.24590012872082959
mean_FHD,-0.24821629947801166
stdH_plot,-0.2516905556137848
cvpeakh_plot,-0.25347643383768287
sd_CD_AboveG,-0.25670892558767927
sd_sdH,-0.2740802062665448
cv_CD_AboveGgrasslayer,-0.2895213446477585
X98thPerc_plot,-0.30148822689319926
horzcover_shrub,-0.3018742553527296
cv_FHD,-0.30843673916474545
cv_CD_G,-0.3211756783292468
cv_VDR,-0.3451094428201282
cv_ptoh,-0.3536020689297958
cv_nlayers,-0.36556895117523647
FHD_plot,-0.38602845953034476
sd_gapsize,-0.39490711409954266
mean_CD_AboveG,-0.40108356945202817
mean_ptoh,-0.40841811018310475
sd_ptoh,-0.41112030939981714
sd_meanpeakh,-0.41652470783324197
cv_maxHgrasslayer,-0.4211570493476061
sd_cvpeakh,-0.43544010235022884
Cover0p25m_plot,-0.441230529243184
sd_maxpeakh,-0.44161655770271435
sd_maxH,-0.4443187569194268
mean_meanpeakh,-0.4485650699742606
horzcover_tree,-0.44895109843379094
Cover1p5m_plot,-0.4497231553528516
mean_sdH,-0.45088124073144265
horzcover_woody,-0.45319741148862475
horzcover_ground,-0.4562856391648675
propMultiLayer,-0.45782975300298884
mean_VDRpeak,-0.4597598953006406
mean_cscore,-0.46014592376017094
sd_stdpeakh,-0.4609179806792316
mean_maxpeakh,-0.46207606605782264
sd_cscore,-0.463620179895944
mean_stdpeakh,-0.46400620835547435
mean_nlayers,-0.4651642937340654
mean_gapsize,-0.46902457832936884
mean_maxH,-0.4694106067888992
cv_herbh,-0.4701826637079599
Cover0p5m_plot,-0.47751720443903645
sd_cvHgrasslayer,-0.4779032328985668
sd_nlayers,-0.47867528981762747
cv_CD_Ggrasslayer,-0.4871679159272951
mean_cvpeakh,-0.4875539443868254
sd_VDRpeak,-0.4995208266322661
sd_VDR,-0.5118737373372371
sd_FHD,-0.5385097010448309
meanH_plot,-0.5566530386427571
X50thPerc_plot,-0.5570390671022875
X25thPerc_plot,-0.5813588600526992
X75thPerc_plot,-0.5917816284600185
sd_cvH_vegtype_grass,-0.6126271652746571
sd_sdH_vegtype_grass,-0.6670571780684357
