,logRichness
X,0.40890374993986267
Y,0.35572749435747497
mean_PAI_G,0.34167548835742323
sd_PAI_G,0.3307996206998489
mean_CD_Ggrasslayer,0.31751758763130683
mean_PAI_AboveG,0.31607388838472616
cv_cscore,0.31150217410388736
sd_PAI_AboveG,0.3110209410216938
mean_maxHgrasslayer,0.3087110222271648
mean_CD_AboveGgrasslayer,0.29903823727507434
sd_sdH_vegtype_shrub,0.2947552628435517
mean_herbh,0.29263783728190007
cvpeakh_plot,0.2917103924745603
sd_CD_AboveGgrasslayer,0.2906647816449065
herbh_plot,0.2878255064599645
sd_herbh,0.28392751849419673
mean_sdH_vegtype_tree,0.2824349078835405
mean_sdHgrasslayer,0.28007765383664834
mean_cvH_tree,0.26745148800125235
mean_sdH_vegtype_shrub,0.2578928087475255
mean_sdH_vegtype_woody,0.2572190824324545
sd_cvH_vegtype_tree,0.2562522765533988
sd_maxHgrasslayer,0.24263772004198983
mean_CD_G,0.24258959673377048
sd_CD_Ggrasslayer,0.2412902674118479
meanpeakh_plot,0.2411980227403387
cv_nlayers,0.23941345839129302
Cover0p05m_plot,0.23657418320635107
sd_CD_G,0.2363335666652543
stdpeakh_plot,0.2349661996470555
maxpeakh_plot,0.23130664479422422
mean_cvHgrasslayer,0.2294038102816671
sd_sdH_vegtype_woody,0.2285375907337187
Cover0p0m_plot,0.2213190945008154
sd_sdHgrasslayer,0.21900917570628634
sd_CD_AboveG,0.21564054413093148
X98thPerc_plot,0.20736333511720234
gapsize_plot,0.2047711378412101
sd_sdH_vegtype_tree,0.19994939160323072
stdH_plot,0.19514001482948606
horzcover_grass,0.19206012310344733
nlayers_plot,0.18716679403215714
mean_cvH_vegtype_grass,0.18407165393903432
X25thPerc_plot,0.18123237875409237
cscore_plot,0.178892567181747
Cover1p5m_plot,0.17136710056912452
X100thPerc_plot,0.16708412613760187
FHD_plot,0.15707447802797597
X50thPerc_plot,0.1563045050964663
sd_sdH,0.15495705246632432
sd_cvpeakh,0.15481268254166627
mean_VDRpeak,0.15163654419918882
propMultiLayer,0.14884539232246619
mean_CD_AboveG,0.14879726901424684
cv_VDR,0.14855665247315006
mean_FHD,0.14821978931561458
sd_VDRpeak,0.14629485698684036
sd_nlayers,0.14465866450738227
Cover0p25m_plot,0.14461054119916292
Cover0p5m_plot,0.1436480750347758
sd_FHD,0.14297434871970485
mean_cvpeakh,0.14282997879504677
sd_cvH_vegtype_woody,0.1409531697744919
sd_cscore,0.14027944345942095
horzcover_tree,0.14018319684298222
horzcover_woody,0.13748829158269832
mean_meanpeakh,0.1365739487265306
mean_maxpeakh,0.1349377562470725
mean_sdH_vegtype_grass,0.13301282391829827
mean_sdH,0.13123226151418213
mean_nlayers,0.1300773021169176
mean_cscore,0.12675679384978208
mean_maxH,0.1259868209182724
mean_stdpeakh,0.12584245099361432
mean_gapsize,0.12184821641140782
meanH_plot,0.12107824347989814
sd_meanpeakh,0.12078950363058201
horzcover_shrub,0.11222355476753675
sd_gapsize,0.10726685402094314
sd_maxpeakh,0.10312824951407858
sd_maxH,0.10303200289763988
sd_stdpeakh,0.10043334425379469
mean_cvH,0.0965353562880269
sd_VDR,0.09485104050034945
X75thPerc_plot,0.09432168410993655
mean_cvH_vegtype_woody,0.08811377734963971
cv_herbh,0.08079903450029768
sd_cvH_vegtype_shrub,0.07439863450712342
sd_cvHgrasslayer,0.032531356356284236
VDRpeak_plot,0.004307760139783111
mean_cvH_vegtype_shrub,-0.007747852623316217
ptoh_plot,-0.056015530767329666
cv_meanpeakh,-0.057603599938568395
sd_cvH,-0.05875855933583292
sd_sdH_vegtype_grass,-0.06833509767148464
cv_maxH,-0.10077020741133016
cv_CD_AboveG,-0.1020214134250334
cv_maxpeakh,-0.12589057430183367
cv_cvpeakh,-0.14335933518545968
cv_stdpeakh,-0.14629485698684036
cv_gapsize,-0.14865289908958879
cv_VDRpeak,-0.15139592765809204
cv_ptoh,-0.152069653973163
cv_maxHgrasslayer,-0.15904753366496954
VDR_plot,-0.16977923747598042
cv_FHD,-0.18310918777464721
sd_cvH_vegtype_grass,-0.2181910794665573
mean_VDR,-0.2303662764460542
mean_ptoh,-0.2561603696516287
cv_CD_G,-0.26169455009685455
sd_ptoh,-0.27531344632293214
horzcover_ground,-0.27940392752157733
cv_CD_AboveGgrasslayer,-0.2836869019531
cv_CD_Ggrasslayer,-0.30948099515867444
