,logRichness
meanH_plot,0.6804271481961758
stdH_plot,0.6781127701410867
Cover1p5m_plot,0.643011369638903
mean_gapsize,0.638382613528725
mean_stdpeakh,0.633753857418547
sd_gapsize,0.6333681277426988
sd_nlayers,0.6314394793634579
horzcover_tree,0.6279679122808244
X98thPerc_plot,0.6264249935774316
sd_meanpeakh,0.62256769681895
sd_stdpeakh,0.6206390484397091
sd_maxpeakh,0.6040526723782377
sd_maxH,0.5959523491854261
sd_cscore,0.5951808898337297
X25thPerc_plot,0.593637971130337
sd_FHD,0.5924807821027925
mean_VDRpeak,0.5917093227510962
sd_sdH,0.58669483696507
sd_sdH_vegtype_woody,0.5851519182616772
propMultiLayer,0.5816803511790437
mean_cvpeakh,0.5797517027998028
sd_VDRpeak,0.5785945137722583
mean_maxpeakh,0.5774373247447138
mean_meanpeakh,0.5762801357171693
horzcover_woody,0.5685655422002058
mean_maxH,0.5666368938209649
sd_cvpeakh,0.5612366783590906
sd_CD_AboveG,0.5612366783590906
X50thPerc_plot,0.5593080299798497
Cover0p5m_plot,0.553136355166279
cv_nlayers,0.54657895067686
mean_sdH,0.5458074913251637
mean_CD_AboveG,0.544264572621771
Cover0p25m_plot,0.5361642494289593
mean_nlayers,0.5361642494289593
sd_sdH_vegtype_tree,0.5188064140157916
X75thPerc_plot,0.5110918204988282
cscore_plot,0.5083021054817666
FHD_plot,0.5072345237403465
X100thPerc_plot,0.5022200379543202
mean_PAI_AboveG,0.5010628489267757
sd_PAI_AboveG,0.49257679605811594
mean_sdH_vegtype_woody,0.4902624180030269
sd_CD_AboveGgrasslayer,0.48640512124454516
mean_cscore,0.48370501351360795
mean_CD_AboveGgrasslayer,0.4833192838377598
mean_sdH_vegtype_tree,0.47406177161740365
mean_sdH_vegtype_shrub,0.47251885291401097
sd_herbh,0.4709759342106183
sd_maxHgrasslayer,0.4690472858313774
sd_sdHgrasslayer,0.4540038284732987
cv_cscore,0.43896037111521996
sd_CD_Ggrasslayer,0.43548880403258644
mean_cvHgrasslayer,0.43124577759825655
mean_FHD,0.42931712921901566
mean_cvH,0.42237399505374856
cv_VDR,0.42160253570205225
sd_CD_G,0.4204453466745077
mean_CD_G,0.41465940153678515
sd_VDR,0.40655907834397353
Cover0p05m_plot,0.39691583644776923
sd_PAI_G,0.38804405390326124
cv_herbh,0.3849582164964759
Y,0.3841867571447795
mean_sdH_vegtype_grass,0.38380102746893136
mean_sdHgrasslayer,0.3834152977930832
horzcover_shrub,0.3745435152485752
mean_maxHgrasslayer,0.3637430843248264
sd_sdH_vegtype_shrub,0.3537141127527739
sd_sdH_vegtype_grass,0.3456137895599623
mean_cvH_vegtype_grass,0.32594157609170554
mean_herbh,0.3201556309539829
mean_CD_Ggrasslayer,0.31166957808532314
mean_PAI_G,0.3043407142442079
cv_ptoh,0.2985547691064853
X,0.29508320202385174
sd_cvHgrasslayer,0.2885257975344328
mean_cvH_tree,0.27502525887974677
herbh_plot,0.26692493568693515
gapsize_plot,0.25265807457715717
sd_cvH_vegtype_tree,0.2387666693500186
meanpeakh_plot,0.21119730474631698
maxpeakh_plot,0.1847552752701629
stdpeakh_plot,0.18146751961749355
sd_ptoh,0.18129294764864096
Cover0p0m_plot,0.1623921935320805
sd_cvH_vegtype_shrub,0.16123500450453598
nlayers_plot,0.12912561880891926
cvpeakh_plot,0.10540560182037392
sd_cvH,0.08987501447262412
sd_cvH_vegtype_grass,0.007328863841115272
sd_cvH_vegtype_woody,0.005014485786026239
cv_maxHgrasslayer,-0.03934442693651357
horzcover_grass,-0.03973015661236174
mean_cvH_vegtype_woody,-0.16894959802149942
mean_cvH_vegtype_shrub,-0.1816786773244891
cv_meanpeakh,-0.18360732570372998
mean_ptoh,-0.19093618954484526
horzcover_ground,-0.2136942404198874
cv_FHD,-0.2221802932885472
VDRpeak_plot,-0.2248842314635169
cv_CD_Ggrasslayer,-0.23645229129492956
VDR_plot,-0.2611491622997261
ptoh_plot,-0.3008691471615743
cv_CD_G,-0.31552687484380487
cv_maxH,-0.3895869726066539
cv_maxpeakh,-0.4335601556533456
cv_CD_AboveGgrasslayer,-0.4594040439351731
mean_VDR,-0.4597897736110213
cv_CD_AboveG,-0.5434931132700747
cv_gapsize,-0.5496647880836454
cv_stdpeakh,-0.5558364628972162
cv_VDRpeak,-0.577823054420562
cv_cvpeakh,-0.5882377556684626
