,shannonH
meanH_plot,0.8323076923076923
Cover1p5m_plot,0.8269230769230769
sd_CD_AboveG,0.7961538461538461
mean_stdpeakh,0.7930769230769231
Cover0p25m_plot,0.7930769230769231
mean_CD_AboveG,0.7907692307692308
mean_gapsize,0.79
Cover0p5m_plot,0.7853846153846153
sd_nlayers,0.7715384615384615
X50thPerc_plot,0.7715384615384615
propMultiLayer,0.77
mean_VDRpeak,0.7684615384615384
X25thPerc_plot,0.7676923076923077
sd_VDRpeak,0.7607692307692308
horzcover_woody,0.7607692307692308
mean_cvpeakh,0.7584615384615384
sd_cscore,0.7546153846153846
mean_maxpeakh,0.7538461538461538
horzcover_tree,0.7484615384615385
sd_gapsize,0.7476923076923077
mean_nlayers,0.7407692307692307
sd_stdpeakh,0.7338461538461538
sd_cvpeakh,0.7330769230769231
X75thPerc_plot,0.7315384615384616
sd_meanpeakh,0.7269230769230769
mean_meanpeakh,0.7261538461538461
sd_maxH,0.7238461538461538
mean_maxH,0.7223076923076923
sd_maxpeakh,0.7223076923076923
stdH_plot,0.7161538461538461
sd_FHD,0.7138461538461538
X98thPerc_plot,0.7076923076923077
mean_sdH,0.6984615384615385
cscore_plot,0.6868267012983219
FHD_plot,0.6861538461538461
X100thPerc_plot,0.6784615384615384
sd_CD_AboveGgrasslayer,0.6738461538461539
sd_PAI_AboveG,0.6661538461538462
sd_sdH,0.6630769230769231
mean_cscore,0.6569230769230769
sd_CD_G,0.6569230769230769
mean_PAI_AboveG,0.6561538461538462
mean_CD_AboveGgrasslayer,0.6453846153846153
sd_sdHgrasslayer,0.6353846153846154
cv_nlayers,0.6338461538461538
cv_cscore,0.6323076923076923
sd_herbh,0.6307692307692307
sd_maxHgrasslayer,0.6176923076923077
mean_sdH_vegtype_shrub,0.6153846153846154
mean_FHD,0.5838461538461538
sd_PAI_G,0.5776923076923077
horzcover_shrub,0.5723076923076923
sd_CD_Ggrasslayer,0.566923076923077
sd_sdH_vegtype_woody,0.55
cv_herbh,0.536923076923077
mean_cvHgrasslayer,0.5361538461538462
Cover0p05m_plot,0.5238461538461539
mean_CD_G,0.5123076923076924
mean_cvH,0.51
mean_sdH_vegtype_woody,0.48846153846153845
mean_sdHgrasslayer,0.48615384615384616
sd_sdH_vegtype_shrub,0.48538461538461536
sd_cvHgrasslayer,0.4815384615384615
mean_maxHgrasslayer,0.47384615384615386
mean_sdH_vegtype_tree,0.46347826086956523
mean_herbh,0.4453846153846154
mean_PAI_G,0.43923076923076926
mean_CD_Ggrasslayer,0.43153846153846154
sd_VDR,0.42615384615384616
cv_VDR,0.4246153846153846
sd_sdH_vegtype_tree,0.4226086956521739
mean_sdH_vegtype_grass,0.41
herbh_plot,0.3984615384615385
gapsize_plot,0.35554741744158785
sd_sdH_vegtype_grass,0.34307692307692306
VDRpeak_plot,0.3382721364064865
mean_cvH_tree,0.3373913043478261
stdpeakh_plot,0.33397463033882435
Y,0.3330769230769231
mean_cvH_vegtype_grass,0.32384615384615384
sd_cvH_vegtype_tree,0.3139130434782609
Cover0p0m_plot,0.3069230769230769
maxpeakh_plot,0.27144870293109863
meanpeakh_plot,0.22782378242621162
nlayers_plot,0.13041212720215864
X,0.11384615384615385
sd_cvH,0.09692307692307692
cv_maxHgrasslayer,0.03
cv_ptoh,0.021538461538461538
sd_cvH_vegtype_grass,-0.018461538461538463
cvpeakh_plot,-0.039245866698801944
mean_ptoh,-0.045384615384615384
horzcover_grass,-0.08692307692307692
sd_cvH_vegtype_shrub,-0.10153846153846154
sd_ptoh,-0.1423076923076923
cv_meanpeakh,-0.20153846153846153
sd_cvH_vegtype_woody,-0.21153846153846154
cv_FHD,-0.21461538461538462
cv_CD_Ggrasslayer,-0.2630769230769231
horzcover_ground,-0.27153846153846156
VDR_plot,-0.29569009634301846
mean_cvH_vegtype_woody,-0.3415384615384615
cv_maxH,-0.4
cv_CD_G,-0.41384615384615386
ptoh_plot,-0.41923076923076924
mean_cvH_vegtype_shrub,-0.4330769230769231
mean_VDR,-0.45
cv_maxpeakh,-0.5169230769230769
cv_CD_AboveGgrasslayer,-0.5707692307692308
cv_CD_AboveG,-0.7115384615384616
cv_stdpeakh,-0.7584615384615384
cv_gapsize,-0.7584615384615384
cv_VDRpeak,-0.7653846153846153
cv_cvpeakh,-0.77
