,shannonH
cvpeakh_plot,0.3385266460005579
cv_cscore,0.31384615384615383
cv_FHD,0.3
nlayers_plot,0.2858489258481132
cv_CD_AboveG,0.23923076923076922
cv_CD_G,0.22538461538461538
meanpeakh_plot,0.19392075309996254
cv_CD_AboveGgrasslayer,0.19
ptoh_plot,0.18615384615384614
horzcover_ground,0.17461538461538462
maxpeakh_plot,0.16862375471333757
cv_maxH,0.16846153846153847
VDR_plot,0.16230769230769232
X,0.15461538461538463
mean_sdH_vegtype_shrub,0.14461538461538462
cv_maxpeakh,0.13692307692307693
cv_meanpeakh,0.13615384615384615
stdpeakh_plot,0.13387190091840243
cv_stdpeakh,0.13
cv_cvpeakh,0.12538461538461537
cv_maxHgrasslayer,0.10307692307692308
cv_VDRpeak,0.10076923076923076
cv_gapsize,0.09692307692307692
sd_ptoh,0.09538461538461539
cv_CD_Ggrasslayer,0.08923076923076922
mean_ptoh,0.08692307692307692
horzcover_grass,0.07076923076923076
mean_VDR,0.06230769230769231
gapsize_plot,0.05909670953410645
sd_FHD,0.05384615384615385
sd_cvHgrasslayer,0.043076923076923075
X50thPerc_plot,0.02923076923076923
cscore_plot,0.0270482042134144
cv_nlayers,0.02
X100thPerc_plot,0.008461538461538461
sd_cvH_vegtype_shrub,0.006153846153846154
cv_herbh,0.005384615384615384
X25thPerc_plot,-0.0015384615384615385
sd_cvH_vegtype_grass,-0.003076923076923077
cv_ptoh,-0.018461538461538463
sd_VDRpeak,-0.02923076923076923
sd_sdH_vegtype_shrub,-0.03461538461538462
Y,-0.03538461538461538
X98thPerc_plot,-0.03769230769230769
sd_cscore,-0.04461538461538461
sd_CD_G,-0.046153846153846156
VDRpeak_plot,-0.053856511863725115
Cover1p5m_plot,-0.05615384615384615
sd_sdH_vegtype_tree,-0.06538461538461539
sd_sdH_vegtype_woody,-0.06615384615384616
mean_VDRpeak,-0.07
mean_cvH_vegtype_shrub,-0.07230769230769231
meanH_plot,-0.07307692307692308
sd_nlayers,-0.07461538461538461
X75thPerc_plot,-0.08538461538461538
mean_sdH_vegtype_tree,-0.09384615384615384
sd_cvH_vegtype_woody,-0.09615384615384616
Cover0p5m_plot,-0.09923076923076923
mean_PAI_G,-0.1
sd_cvH_vegtype_tree,-0.10461538461538461
mean_sdH_vegtype_woody,-0.10846153846153846
horzcover_woody,-0.11076923076923077
Cover0p0m_plot,-0.11153846153846154
cv_VDR,-0.11384615384615385
mean_cvH_vegtype_woody,-0.12307692307692308
mean_cscore,-0.12307692307692308
mean_cvpeakh,-0.12384615384615384
stdH_plot,-0.12846153846153846
propMultiLayer,-0.13
mean_nlayers,-0.13153846153846155
mean_meanpeakh,-0.1376923076923077
FHD_plot,-0.14
sd_VDR,-0.1423076923076923
sd_cvpeakh,-0.14384615384615385
herbh_plot,-0.15076923076923077
sd_sdH_vegtype_grass,-0.1523076923076923
Cover0p25m_plot,-0.15538461538461537
horzcover_tree,-0.15923076923076923
mean_CD_Ggrasslayer,-0.15923076923076923
mean_cvH_vegtype_grass,-0.16153846153846155
mean_maxpeakh,-0.16153846153846155
sd_CD_Ggrasslayer,-0.1646153846153846
mean_maxH,-0.16538461538461538
mean_cvH_tree,-0.16923076923076924
sd_CD_AboveG,-0.17307692307692307
mean_maxHgrasslayer,-0.17384615384615384
mean_CD_AboveG,-0.18615384615384614
mean_herbh,-0.18846153846153846
mean_FHD,-0.19076923076923077
horzcover_shrub,-0.19384615384615383
mean_sdH,-0.20076923076923076
sd_cvH,-0.2076923076923077
mean_stdpeakh,-0.20846153846153845
sd_PAI_G,-0.21
mean_sdHgrasslayer,-0.2123076923076923
mean_cvHgrasslayer,-0.21384615384615385
sd_maxHgrasslayer,-0.21846153846153846
mean_gapsize,-0.21923076923076923
Cover0p05m_plot,-0.24
mean_CD_G,-0.24307692307692308
mean_sdH_vegtype_grass,-0.24384615384615385
mean_PAI_AboveG,-0.2561538461538462
sd_PAI_AboveG,-0.27
sd_sdHgrasslayer,-0.27153846153846156
sd_meanpeakh,-0.27384615384615385
sd_sdH,-0.2784615384615385
mean_CD_AboveGgrasslayer,-0.2815384615384615
sd_herbh,-0.28384615384615386
sd_maxpeakh,-0.28923076923076924
sd_maxH,-0.2907692307692308
mean_cvH,-0.3030769230769231
sd_CD_AboveGgrasslayer,-0.3038461538461538
sd_stdpeakh,-0.3069230769230769
sd_gapsize,-0.3376923076923077
