,shannonH
mean_sdH_vegtype_shrub,0.4592076830732293
cscore_plot,0.432002658517198
X25thPerc_plot,0.4256902761104442
X100thPerc_plot,0.4244417767106843
sd_VDRpeak,0.4238655462184874
sd_CD_AboveG,0.4157983193277311
mean_VDRpeak,0.412436974789916
sd_FHD,0.40494597839135654
horzcover_woody,0.40264105642256903
propMultiLayer,0.40264105642256903
sd_maxHgrasslayer,0.39860744297719086
Cover1p5m_plot,0.39755102040816326
mean_cvpeakh,0.3915966386554622
horzcover_shrub,0.3900600240096038
Cover0p5m_plot,0.38804321728691477
mean_gapsize,0.38573829531812726
mean_stdpeakh,0.38285714285714284
meanH_plot,0.3793037214885954
X50thPerc_plot,0.3788235294117647
sd_cvpeakh,0.37795918367346937
Cover0p25m_plot,0.3771908763505402
mean_CD_AboveG,0.37709483793517407
sd_CD_G,0.37517406962785116
sd_cscore,0.37421368547418965
sd_nlayers,0.3730612244897959
sd_herbh,0.3717166866746699
mean_maxpeakh,0.368547418967587
mean_meanpeakh,0.3664345738295318
mean_nlayers,0.3660504201680672
sd_stdpeakh,0.36384153661464586
sd_PAI_AboveG,0.36345738295318125
mean_maxH,0.36316926770708285
sd_sdHgrasslayer,0.36009603841536614
cv_herbh,0.3591356542617047
sd_maxpeakh,0.3584633853541417
sd_maxH,0.3578871548619448
FHD_plot,0.3535654261704682
sd_meanpeakh,0.352797118847539
stdpeakh_plot,0.3527377623332468
mean_CD_G,0.35270108043217285
X98thPerc_plot,0.3515486194477791
Cover0p05m_plot,0.3503001200480192
horzcover_tree,0.34895558223289314
sd_gapsize,0.3485714285714286
sd_CD_Ggrasslayer,0.34463385354141657
mean_PAI_AboveG,0.34396158463385357
mean_CD_AboveGgrasslayer,0.34232893157262906
mean_maxHgrasslayer,0.34232893157262906
maxpeakh_plot,0.3418449178778524
mean_sdH,0.3407923169267707
gapsize_plot,0.3406792969743184
mean_cscore,0.3399279711884754
sd_cvHgrasslayer,0.33963985594237694
mean_FHD,0.33915966386554625
mean_sdHgrasslayer,0.3359903961584634
sd_CD_AboveGgrasslayer,0.3357022809123649
mean_herbh,0.33301320528211287
mean_cvHgrasslayer,0.3316686674669868
meanpeakh_plot,0.3285539464126178
sd_sdH,0.32600240096038413
mean_PAI_G,0.321968787515006
stdH_plot,0.3203361344537815
sd_PAI_G,0.3196638655462185
sd_sdH_vegtype_tree,0.313421368547419
mean_CD_Ggrasslayer,0.3076590636254502
X75thPerc_plot,0.3018007202881152
cv_nlayers,0.2998799519807923
sd_sdH_vegtype_shrub,0.29767106842737096
cv_cscore,0.2921968787515006
mean_sdH_vegtype_grass,0.28989195678271307
mean_cvH,0.276734693877551
herbh_plot,0.27452581032412965
sd_sdH_vegtype_grass,0.2659783913565426
mean_cvH_vegtype_grass,0.2564705882352941
mean_sdH_vegtype_tree,0.2430252100840336
Y,0.23265306122448978
nlayers_plot,0.21858747393728375
Cover0p0m_plot,0.21450180072028813
sd_sdH_vegtype_woody,0.2107563025210084
mean_sdH_vegtype_woody,0.1958703481392557
mean_cvH_tree,0.1919327731092437
X,0.18972388955582234
sd_cvH_vegtype_tree,0.1757983193277311
cv_VDR,0.16801920768307324
sd_cvH_vegtype_grass,0.15649459783913566
sd_VDR,0.14737094837935175
VDRpeak_plot,0.09722356203377484
sd_cvH,0.0468187274909964
sd_cvH_vegtype_shrub,0.028667466986794718
cv_ptoh,0.0236734693877551
sd_cvH_vegtype_woody,-0.012533013205282113
horzcover_grass,-0.016086434573829533
cv_maxHgrasslayer,-0.03625450180072029
ptoh_plot,-0.038463385354141656
sd_ptoh,-0.05392557022809124
cvpeakh_plot,-0.05677233593108629
mean_ptoh,-0.123937575030012
mean_cvH_vegtype_woody,-0.13747899159663865
VDR_plot,-0.203676497317051
mean_cvH_vegtype_shrub,-0.23418967587034814
cv_FHD,-0.24388955582232894
horzcover_ground,-0.25032412965186074
cv_meanpeakh,-0.25214885954381755
cv_CD_Ggrasslayer,-0.26252100840336134
cv_CD_G,-0.28278511404561824
mean_VDR,-0.3074669867947179
cv_maxH,-0.3266746698679472
cv_CD_AboveGgrasslayer,-0.34127250900360145
cv_maxpeakh,-0.3504921968787515
cv_CD_AboveG,-0.35961584633853544
cv_stdpeakh,-0.39841536614645856
cv_gapsize,-0.4012004801920768
cv_VDRpeak,-0.40408163265306124
cv_cvpeakh,-0.4087875150060024
